district,year,office,candidate,party,writein,candidatevotes,totalvotes,
alabama1,2016,US House,Bradley Byrne,republican,FALSE,208083,215893,
alabama1,2016,US House,NA,NA,TRUE,7810,215893,
alabama2,2016,US House,Nathan Mathis,democrat,FALSE,112089,276584,
alabama2,2016,US House,NA,NA,TRUE,29609,276584,
alabama2,2016,US House,Martha Roby,republican,FALSE,134886,276584,
alabama3,2016,US House,NA,NA,TRUE,391,287104,
alabama3,2016,US House,Mike Rogers,republican,FALSE,192164,287104,
alabama3,2016,US House,Jesse Smith,democrat,FALSE,94549,287104,
alabama4,2016,US House,NA,NA,TRUE,3519,239444,
alabama4,2016,US House,Robert B. Aderholt,republican,FALSE,235925,239444,
alabama5,2016,US House,Mo Brooks,republican,FALSE,205647,308326,
alabama5,2016,US House,Will Boyd Jr,democrat,FALSE,102234,308326,
alabama5,2016,US House,NA,NA,TRUE,445,308326,
alabama6,2016,US House,David J. Putnam,democrat,FALSE,83709,329306,
alabama6,2016,US House,Gary J. Palmer,republican,FALSE,245313,329306,
alabama6,2016,US House,NA,NA,TRUE,284,329306,
alabama7,2016,US House,Terri A. Sewell,democrat,FALSE,229330,233028,
alabama7,2016,US House,NA,NA,TRUE,3698,233028,
alaska1,2016,US House,Bernie Souphanavong,none,FALSE,9093,308198,
alaska1,2016,US House,Don Young,republican,FALSE,155088,308198,
alaska1,2016,US House,NA,NA,TRUE,1228,308198,
alaska1,2016,US House,Steve Lindbeck,democrat,FALSE,111019,308198,
alaska1,2016,US House,Jim C. McDermott,libertarian,FALSE,31770,308198,
arizona1,2016,US House,Paul Babeu,republican,FALSE,121745,280710,
arizona1,2016,US House,Tom O'Halleran,democrat,FALSE,142219,280710,
arizona1,2016,US House,Ray Parrish,green,FALSE,16746,280710,
arizona2,2016,US House,Martha McSally,republican,FALSE,179806,315679,
arizona2,2016,US House,Matt Heinz,democrat,FALSE,135873,315679,
arizona3,2016,US House,NA,NA,TRUE,283,151035,
arizona3,2016,US House,Ra_l M. Grijalva,democrat,FALSE,148973,151035,
arizona3,2016,US House,NA,NA,TRUE,144,151035,
arizona3,2016,US House,Jaime Vasquez,republican,TRUE,332,151035,
arizona3,2016,US House,NA,NA,TRUE,1303,151035,
arizona4,2016,US House,Paul A. Gosar,republican,FALSE,203487,284783,
arizona4,2016,US House,Mikel Weisser,democrat,FALSE,81296,284783,
arizona5,2016,US House,Andy Biggs,republican,FALSE,205184,320124,
arizona5,2016,US House,Talia Fuentes,democrat,FALSE,114940,320124,
arizona6,2016,US House,W. John Williamson,democrat,FALSE,122866,324444,
arizona6,2016,US House,David Schweikert,republican,FALSE,201578,324444,
arizona7,2016,US House,Eve Nunez,republican,FALSE,39286,158811,
arizona7,2016,US House,Ruben Gallego,democrat,FALSE,119465,158811,
arizona7,2016,US House,NA,NA,TRUE,60,158811,
arizona8,2016,US House,Hayden Keener III,republican,TRUE,75,298971,
arizona8,2016,US House,Trent Franks,republican,FALSE,204942,298971,
arizona8,2016,US House,Mark Salazar,green,FALSE,93954,298971,
arizona9,2016,US House,NA,NA,TRUE,46,277507,
arizona9,2016,US House,Kyrsten Sinema,democrat,FALSE,169055,277507,
arizona9,2016,US House,NA,NA,TRUE,56,277507,
arizona9,2016,US House,Dave Giles,republican,FALSE,108350,277507,
arkansas1,2016,US House,Mark West,libertarian,FALSE,57181,241047,
arkansas1,2016,US House,"Eric A. """"Rick"""" Crawford",republican,FALSE,183866,241047,
arkansas2,2016,US House,NA,NA,TRUE,303,302464,
arkansas2,2016,US House,J. French Hill,republican,FALSE,176472,302464,
arkansas2,2016,US House,Chris Hayes,libertarian,FALSE,14342,302464,
arkansas2,2016,US House,Dianne Curry,democrat,FALSE,111347,302464,
arkansas3,2016,US House,Steve Womack,republican,FALSE,217192,280907,
arkansas3,2016,US House,Steve Isaacson,libertarian,FALSE,63715,280907,
arkansas4,2016,US House,Kerry Hicks,libertarian,FALSE,61274,244159,
arkansas4,2016,US House,Bruce Westerman,republican,FALSE,182885,244159,
california1,2016,US House,Jim Reed,democrat,FALSE,128588,314036,
california1,2016,US House,Doug LaMalfa,republican,FALSE,185448,314036,
california2,2016,US House,Jared Huffman,democrat,FALSE,254194,330766,
california2,2016,US House,Dale K. Mensing,republican,FALSE,76572,330766,
california3,2016,US House,John Garamendi,democrat,FALSE,152513,256966,
california3,2016,US House,N. Eugene Cleek,republican,FALSE,104453,256966,
california4,2016,US House,Tom McClintock,republican,FALSE,220133,350978,
california4,2016,US House,Robert W. Derlet,democrat,FALSE,130845,350978,
california5,2016,US House,Carlos Santamaria,republican,FALSE,67565,292091,
california5,2016,US House,Mike Thompson,democrat,FALSE,224526,292091,
california6,2016,US House,Doris O. Matsui,democrat,FALSE,177565,235413,
california6,2016,US House,"Robert """"Bob"""" Evans",republican,FALSE,57848,235413,
california7,2016,US House,Ami Bera,democrat,FALSE,152133,297301,
california7,2016,US House,Scott R. Jones,republican,FALSE,145168,297301,
california8,2016,US House,Rita Ramirez,democrat,FALSE,83035,220007,
california8,2016,US House,Paul Cook,republican,FALSE,136972,220007,
california9,2016,US House,Jerry McNerney,democrat,FALSE,133163,232155,
california9,2016,US House,"Antonio C. """"Tony"""" Amador",republican,FALSE,98992,232155,
california10,2016,US House,Jeff Denham,republican,FALSE,124671,241141,
california10,2016,US House,Michael Eggman,democrat,FALSE,116470,241141,
california11,2016,US House,Mark DeSaulnier,democrat,FALSE,214868,298209,
california11,2016,US House,Roger Allen Petersen,republican,FALSE,83341,298209,
california12,2016,US House,Nancy Pelosi,democrat,FALSE,274035,338845,
california12,2016,US House,Preston Picus,none,FALSE,64810,338845,
california13,2016,US House,Sue Caro,republican,FALSE,29754,322871,
california13,2016,US House,Barbara Lee,democrat,FALSE,293117,322871,
california14,2016,US House,Jackie Speier,democrat,FALSE,231630,286447,
california14,2016,US House,Angel Cardenas,republican,FALSE,54817,286447,
california15,2016,US House,Danny R. Turner,republican,FALSE,70619,269197,
california15,2016,US House,Eric Swalwell,democrat,FALSE,198578,269197,
california16,2016,US House,Jim Costa,democrat,FALSE,97473,167956,
california16,2016,US House,Johnny M. Tacherra,republican,FALSE,70483,167956,
california17,2016,US House,Ro Khanna,democrat,FALSE,142268,233192,
california17,2016,US House,Michael M. Honda,democrat,FALSE,90924,233192,
california18,2016,US House,Richard B. Fox,republican,FALSE,93470,323930,
california18,2016,US House,Anna G. Eshoo,democrat,FALSE,230460,323930,
california19,2016,US House,Zoe Lofgren,democrat,FALSE,181802,245863,
california19,2016,US House,G. Burt Lancaster,republican,FALSE,64061,245863,
california20,2016,US House,Casey Lucius,republican,FALSE,74811,255791,
california20,2016,US House,Jimmy Panetta,democrat,FALSE,180980,255791,
