district,year,office,candidate,party,writein,candidatevotes,totalvotes
alabama,2016,US President,"Trump, Donald J.",republican,FALSE,1318255,2123372
alabama,2016,US President,"Clinton, Hillary",democrat,FALSE,729547,2123372
alabama,2016,US President,"Johnson, Gary",libertarian,FALSE,44467,2123372
alabama,2016,US President,,,TRUE,21712,2123372
alabama,2016,US President,"Stein, Jill",green,FALSE,9391,2123372
alaska,2016,US President,"Trump, Donald J.",republican,FALSE,163387,318608
alaska,2016,US President,"Clinton, Hillary",democrat,FALSE,116454,318608
alaska,2016,US President,"Johnson, Gary",libertarian,FALSE,18725,318608
alaska,2016,US President,,,TRUE,9201,318608
alaska,2016,US President,"Stein, Jill",green,FALSE,5735,318608
alaska,2016,US President,"Castle, Darrell L.",constitution party,FALSE,3866,318608
alaska,2016,US President,"De La Fuente, Roque """"Rocky""""",no party affiliation,FALSE,1240,318608
arizona,2016,US President,"Trump, Donald J.",republican,FALSE,1252401,2573165
arizona,2016,US President,"Clinton, Hillary",democrat,FALSE,1161167,2573165
arizona,2016,US President,"Johnson, Gary",libertarian,FALSE,106327,2573165
arizona,2016,US President,"Stein, Jill",green,FALSE,34345,2573165
arizona,2016,US President,,independent,TRUE,17473,2573165
arizona,2016,US President,"Castle, Darrell L.",constitution party,TRUE,1058,2573165
arizona,2016,US President,,no party affiliation,TRUE,311,2573165
arizona,2016,US President,,democrat,TRUE,42,2573165
arizona,2016,US President,"De La Fuente, Roque """"Rocky""""",american delta party,TRUE,29,2573165
arizona,2016,US President,"Tittle, Sheila """"Samm""""",we the people,TRUE,12,2573165
arkansas,2016,US President,"Trump, Donald J.",republican,FALSE,684872,1130635
arkansas,2016,US President,"Clinton, Hillary",democrat,FALSE,380494,1130635
arkansas,2016,US President,"Johnson, Gary",libertarian,FALSE,29829,1130635
arkansas,2016,US President,"McMullin, Evan",better for america,FALSE,13255,1130635
arkansas,2016,US President,"Stein, Jill",green,FALSE,9473,1130635
arkansas,2016,US President,"Hedges, Jim",prohibition,FALSE,4709,1130635
arkansas,2016,US President,"Castle, Darrell L.",constitution party,FALSE,4613,1130635
arkansas,2016,US President,"Kahn, Lynn S.",independent,FALSE,3390,1130635
california,2016,US President,"Clinton, Hillary",democrat,FALSE,8753788,14181595
california,2016,US President,"Trump, Donald J.",republican,FALSE,4483810,14181595
california,2016,US President,"Johnson, Gary",libertarian,FALSE,478500,14181595
california,2016,US President,"Stein, Jill",green,FALSE,278657,14181595
california,2016,US President,,,TRUE,120739,14181595
california,2016,US President,"La Riva, Gloria Estella",peace & freedom,FALSE,66101,14181595
colorado,2016,US President,"Clinton, Hillary",democrat,FALSE,1338870,2780220
colorado,2016,US President,"Trump, Donald J.",republican,FALSE,1202484,2780220
colorado,2016,US President,"Johnson, Gary",libertarian,FALSE,144121,2780220
colorado,2016,US President,"Stein, Jill",green,FALSE,38437,2780220
colorado,2016,US President,Scattering,unaffiliated,FALSE,31485,2780220
colorado,2016,US President,"Castle, Darrell L.",american constitution party,FALSE,11699,2780220
colorado,2016,US President,"Keniston, Chris",veterans party of america,FALSE,5028,2780220
colorado,2016,US President,"De La Fuente, Roque """"Rocky""""",american delta party,FALSE,1255,2780220
colorado,2016,US President,"Kopitke, Kyle Kenley",independent american,FALSE,1096,2780220
colorado,2016,US President,"Maldonado, Joseph Allen",independent people of colorado,FALSE,872,2780220
colorado,2016,US President,"Maturen, Michael A.",american solidarity party,FALSE,862,2780220
colorado,2016,US President,"Silva, Rod",nutrition party,FALSE,751,2780220
colorado,2016,US President,"Hoefling, Tom",america's party,FALSE,710,2780220
colorado,2016,US President,"La Riva, Gloria Estella",socialism and liberation party,FALSE,531,2780220
colorado,2016,US President,"Kennedy, Alyson",socialist workers,FALSE,452,2780220
colorado,2016,US President,"Kotlikoff, Laurence",kotlikoff for president,FALSE,392,2780220
colorado,2016,US President,"Lyttle, Bradford",nonviolent resistance/pacifist,FALSE,382,2780220
colorado,2016,US President,"Atwood, Frank",approval voting party,FALSE,337,2780220
colorado,2016,US President,"Emidio """"Mimi"""", Soltysik",socialist party usa,FALSE,271,2780220
colorado,2016,US President,"Hedges, James",prohibition,FALSE,185,2780220
connecticut,2016,US President,"Clinton, Hillary",democrat,FALSE,897572,1644920
connecticut,2016,US President,"Trump, Donald J.",republican,FALSE,673215,1644920
