district,year,office,candidate,party,writein,candidatevotes,totalvotes
alabama,2016,US Senate,Ron Crumpton,democrat,FALSE,748709,2087444
alabama,2016,US Senate,Richard C. Shelby,republican,FALSE,1335104,2087444
alabama,2016,US Senate,NA,NA,TRUE,3631,2087444
alaska,2016,US Senate,Joe Miller,libertarian,FALSE,90825,311441
alaska,2016,US Senate,Ted Gianoutsos,independent,FALSE,1758,311441
alaska,2016,US Senate,Ray Metcalfe,democrat,FALSE,36200,311441
alaska,2016,US Senate,Margaret Stock,independent,FALSE,41194,311441
alaska,2016,US Senate,Breck A. Craig,independent,FALSE,2609,311441
alaska,2016,US Senate,Lisa Murkowski,republican,FALSE,138149,311441
alaska,2016,US Senate,NA,NA,TRUE,706,311441
arizona,2016,US Senate,Anthony Camboni,none,TRUE,45,2530730
arizona,2016,US Senate,Ann Kirkpatrick,democrat,FALSE,1031245,2530730
arizona,2016,US Senate,NA,NA,TRUE,4,2530730
arizona,2016,US Senate,NA,NA,TRUE,694,2530730
arizona,2016,US Senate,Leonard Clark,independent,TRUE,83,2530730
arizona,2016,US Senate,Sydney Dudikoff,republican,TRUE,494,2530730
arizona,2016,US Senate,NA,NA,TRUE,34,2530730
arizona,2016,US Senate,John McCain,republican,FALSE,1359267,2530730
arizona,2016,US Senate,NA,NA,TRUE,223,2530730
arizona,2016,US Senate,NA,NA,TRUE,7,2530730
arizona,2016,US Senate,Gary Swing,green,FALSE,138634,2530730
arkansas,2016,US Senate,John Boozman,republican,FALSE,661984,1107522
arkansas,2016,US Senate,NA,NA,TRUE,1070,1107522
arkansas,2016,US Senate,Conner Eldridge,democrat,FALSE,400602,1107522
arkansas,2016,US Senate,Frank Gilbert,libertarian,FALSE,43866,1107522
california,2016,US Senate,Loretta Sanchez,democrat,FALSE,4701417,12244170
california,2016,US Senate,Kamala D. Harris,democrat,FALSE,7542753,12244170
colorado,2016,US Senate,Paul Noel Fiorino,none,FALSE,3216,2743023
colorado,2016,US Senate,Dan Chapin,none,FALSE,8361,2743023
colorado,2016,US Senate,Michael F. Bennet,democrat,FALSE,1370710,2743023
colorado,2016,US Senate,Lily Tang Williams,libertarian,FALSE,99277,2743023
colorado,2016,US Senate,Bill Hammons,unity party of colorado,FALSE,9336,2743023
colorado,2016,US Senate,Darryl Glenn,republican,FALSE,1215318,2743023
colorado,2016,US Senate,Arn Menconi,green,FALSE,36805,2743023
connecticut,2016,US Senate,Richard Blumenthal,democrat,FALSE,920766,1596276
connecticut,2016,US Senate,Richard Blumenthal,working families,FALSE,87948,1596276
connecticut,2016,US Senate,NA,NA,TRUE,26,1596276
connecticut,2016,US Senate,Dan Carter,republican,FALSE,552621,1596276
connecticut,2016,US Senate,NA,NA,TRUE,12,1596276
connecticut,2016,US Senate,Richard Lion,libertarian,FALSE,18190,1596276
connecticut,2016,US Senate,Jeffery Russell,green,FALSE,16713,1596276
