districtID,lessThan9thGrade,9thTo12thGrade,highSchoolDiploma,someCollege,associatesDegree,bachelorsDegree,graduateOrProfessionalDegree,percentHighSchoolOrHigher,percentBachelorsOrHigher,Unnamed: 10
alabama1,14153,49808,163604,104405,39451,79243,40961,87.0,24.5,
alabama2,19977,45899,148622,99493,43450,65914,38477,85.7,22.6,
alabama3,19802,49538,150206,111716,41994,61435,42255,85.5,21.7,
alabama4,28976,51520,158561,101524,47199,51598,32086,82.9,17.7,
alabama5,17832,38653,135017,98665,41680,108527,62328,88.8,34.0,
alabama6,12499,32059,124269,108009,39121,113361,67024,91.0,36.3,
alabama7,18353,49110,146697,98175,35390,56008,32820,84.5,20.3,
alaska1,12023,20421,137293,129250,39938,89635,56793,93.3,30.2,
arizona1,26186,42508,134352,132999,44940,74290,54362,86.5,25.2,
arizona2,17098,29658,111678,132190,49327,99775,69966,90.8,33.3,
arizona3,51531,60406,137456,115270,42659,52489,26506,77.0,16.2,
arizona4,21608,47114,178608,177193,56634,78600,42303,88.6,20.1,
arizona5,13540,24543,112937,142714,52217,137435,76528,93.2,38.2,
arizona6,13785,25404,101388,127040,46037,159785,97325,93.1,45.0,
arizona7,75094,65809,138244,101891,35296,50561,26583,71.4,15.6,
