districtID,ownedUnits,medianOwned,nonmortgagedUnits,mortgagedUnits,rentedUnits,medianRent,Unnamed: 7
alabama1,272626,152100,98352,81811,81806,844,
alabama2,254315,129700,92260,75485,77921,778,
alabama3,264595,139500,98876,83347,73693,765,
alabama4,256963,124000,88104,100781,57173,657,
alabama5,290207,167300,118542,80349,81041,766,
alabama6,266268,204600,125656,75122,60481,969,
alabama7,250210,99700,72577,70995,96648,794,
alaska1,254551,276100,102706,64402,79691,1177,
arizona1,260716,194100,92037,95888,63602,971,
arizona2,299328,196700,110111,75972,108359,879,
arizona3,248402,169900,101195,54075,87375,914,
arizona4,324737,217700,142067,103924,70772,888,
arizona5,294051,299500,151832,66648,72755,1301,
arizona6,324886,367500,140409,67395,113724,1184,
arizona7,250303,182600,76385,38526,132232,954,
arizona8,294239,265200,151356,72069,66999,1247,
arizona9,317636,293300,107110,47368,158589,1080,
