districtID,medianIncome,meanIncome,withHealthInsurance,withoutHealthInsurance,percentBelowPovertyLine,Unnamed: 6
alabama1,46445,65685,618184,86785,12.0,
alabama2,48290,64712,588756,68864,12.9,
alabama3,45832,64442,631755,64505,13.2,
alabama4,45387,63553,609820,70129,13.6,
alabama5,57174,77865,652744,61961,9.9,
alabama6,66835,92608,651867,52937,7.1,
alabama7,37123,52653,575709,76078,18.6,
alaska1,74346,96080,622905,90128,7.5,
arizona1,55444,70752,666384,83489,12.8,
arizona2,53292,73595,641080,61030,9.0,
arizona3,50291,64660,680169,100965,16.2,
arizona4,52481,65483,712937,72889,8.6,
arizona5,78797,100027,779229,60603,5.6,
arizona6,73608,108200,714035,67459,5.8,
arizona7,46053,63126,680294,168890,19.4,
arizona8,68097,85871,733480,49950,4.8,
arizona9,60705,84863,707214,84702,10.0,
