electionID,name,party,numOfVotes,totalVotes,writeIn
1,Bradley Byrne,republican,208083,215893,FALSE
2,NA,NA,7810,215893,TRUE
3,Nathan Mathis,democrat,112089,276584,FALSE
4,NA,NA,29609,276584,TRUE
5,Martha Roby,republican,134886,276584,FALSE
6,NA,NA,391,287104,TRUE
7,Mike Rogers,republican,192164,287104,FALSE
8,Jesse Smith,democrat,94549,287104,FALSE
9,NA,NA,3519,239444,TRUE
10,Robert B. Aderholt,republican,235925,239444,FALSE
11,Mo Brooks,republican,205647,308326,FALSE
12,Will Boyd Jr,democrat,102234,308326,FALSE
13,NA,NA,445,308326,TRUE
14,David J. Putnam,democrat,83709,329306,FALSE
15,Gary J. Palmer,republican,245313,329306,FALSE
16,NA,NA,284,329306,TRUE
17,Terri A. Sewell,democrat,229330,233028,FALSE
18,NA,NA,3698,233028,TRUE
19,Bernie Souphanavong,none,9093,308198,FALSE
20,Don Young,republican,155088,308198,FALSE
21,NA,NA,1228,308198,TRUE
22,Steve Lindbeck,democrat,111019,308198,FALSE
23,Jim C. McDermott,libertarian,31770,308198,FALSE
24,Paul Babeu,republican,121745,280710,FALSE
25,Tom O'Halleran,democrat,142219,280710,FALSE
26,Ray Parrish,green,16746,280710,FALSE
27,Martha McSally,republican,179806,315679,FALSE
28,Matt Heinz,democrat,135873,315679,FALSE
29,NA,NA,283,151035,TRUE
30,Ra_l M. Grijalva,democrat,148973,151035,FALSE
31,NA,NA,144,151035,TRUE
32,Jaime Vasquez,republican,332,151035,TRUE
33,NA,NA,1303,151035,TRUE
34,Paul A. Gosar,republican,203487,284783,FALSE
35,Mikel Weisser,democrat,81296,284783,FALSE
36,Andy Biggs,republican,205184,320124,FALSE
37,Talia Fuentes,democrat,114940,320124,FALSE
38,W. John Williamson,democrat,122866,324444,FALSE
39,David Schweikert,republican,201578,324444,FALSE
40,Eve Nunez,republican,39286,158811,FALSE
41,Ruben Gallego,democrat,119465,158811,FALSE
42,NA,NA,60,158811,TRUE
43,Hayden Keener III,republican,75,298971,TRUE
44,Trent Franks,republican,204942,298971,FALSE
45,Mark Salazar,green,93954,298971,FALSE
46,NA,NA,46,277507,TRUE
47,Kyrsten Sinema,democrat,169055,277507,FALSE
48,NA,NA,56,277507,TRUE
49,Dave Giles,republican,108350,277507,FALSE
50,Mark West,libertarian,57181,241047,FALSE
51,Eric A. ""Rick"" Crawford,republican,183866,241047,FALSE
52,NA,NA,303,302464,TRUE
53,J. French Hill,republican,176472,302464,FALSE
54,Chris Hayes,libertarian,14342,302464,FALSE
55,Dianne Curry,democrat,111347,302464,FALSE
56,Steve Womack,republican,217192,280907,FALSE
57,Steve Isaacson,libertarian,63715,280907,FALSE
58,Kerry Hicks,libertarian,61274,244159,FALSE
59,Bruce Westerman,republican,182885,244159,FALSE
60,Jim Reed,democrat,128588,314036,FALSE
61,Doug LaMalfa,republican,185448,314036,FALSE
62,Jared Huffman,democrat,254194,330766,FALSE
63,Dale K. Mensing,republican,76572,330766,FALSE
64,John Garamendi,democrat,152513,256966,FALSE
65,N. Eugene Cleek,republican,104453,256966,FALSE
66,Tom McClintock,republican,220133,350978,FALSE
67,Robert W. Derlet,democrat,130845,350978,FALSE
68,Carlos Santamaria,republican,67565,292091,FALSE
69,Mike Thompson,democrat,224526,292091,FALSE
70,Doris O. Matsui,democrat,177565,235413,FALSE
71,Robert ""Bob"" Evans,republican,57848,235413,FALSE
72,Ami Bera,democrat,152133,297301,FALSE
73,Scott R. Jones,republican,145168,297301,FALSE
74,Rita Ramirez,democrat,83035,220007,FALSE
75,Paul Cook,republican,136972,220007,FALSE
76,Jerry McNerney,democrat,133163,232155,FALSE
77,Antonio C. ""Tony"" Amador,republican,98992,232155,FALSE
78,Jeff Denham,republican,124671,241141,FALSE
79,Michael Eggman,democrat,116470,241141,FALSE
80,Mark DeSaulnier,democrat,214868,298209,FALSE
81,Roger Allen Petersen,republican,83341,298209,FALSE
82,Nancy Pelosi,democrat,274035,338845,FALSE
83,Preston Picus,none,64810,338845,FALSE
84,Sue Caro,republican,29754,322871,FALSE
85,Barbara Lee,democrat,293117,322871,FALSE
86,Jackie Speier,democrat,231630,286447,FALSE
87,Angel Cardenas,republican,54817,286447,FALSE
88,Danny R. Turner,republican,70619,269197,FALSE
89,Eric Swalwell,democrat,198578,269197,FALSE
90,Jim Costa,democrat,97473,167956,FALSE
91,Johnny M. Tacherra,republican,70483,167956,FALSE
92,Ro Khanna,democrat,142268,233192,FALSE
93,Michael M. Honda,democrat,90924,233192,FALSE
94,Richard B. Fox,republican,93470,323930,FALSE
95,Anna G. Eshoo,democrat,230460,323930,FALSE
96,Zoe Lofgren,democrat,181802,245863,FALSE
97,G. Burt Lancaster,republican,64061,245863,FALSE
98,Casey Lucius,republican,74811,255791,FALSE
99,Jimmy Panetta,democrat,180980,255791,FALSE
100,David G. Valadao,republican,75126,132408,FALSE
101,Emilio Huerta,democrat,57282,132408,FALSE
102,Louie J. Campos,democrat,76211,234966,FALSE
103,Devin Nunes,republican,158755,234966,FALSE
104,Kevin McCarthy,republican,167116,241584,FALSE
105,Wendy Reed,democrat,74468,241584,FALSE
106,Salud Carbajal,democrat,166034,310814,FALSE
107,Justin Donald Fareed,republican,144780,310814,FALSE
108,Stephen Knight,republican,138755,261161,FALSE
109,Bryan Caforio,democrat,122406,261161,FALSE
110,Rafael A. Dagnesses,republican,111059,280307,FALSE
111,Julia Brownley,democrat,169248,280307,FALSE
112,Jack Orswell,republican,81655,250632,FALSE
113,Judy Chu,democrat,168977,250632,FALSE
114,Lenore Solis,republican,59526,270409,FALSE
115,Adam B. Schiff,democrat,210883,270409,FALSE
116,Tony C_rdenas,democrat,128407,171824,FALSE
117,Richard Alarcon,democrat,43417,171824,FALSE
118,Mark Reed,republican,77325,282604,FALSE
119,Brad Sherman,democrat,205279,282604,FALSE
120,Pete Aguilar,democrat,121070,215936,FALSE
121,Paul Chabot,republican,94866,215936,FALSE
122,Grace F. Napolitano,democrat,114926,186646,FALSE
123,Roger Hern_ndez,democrat,71720,186646,FALSE
124,Kenneth W. Wright,republican,110822,330219,FALSE
125,Ted Lieu,democrat,219397,330219,FALSE
126,Adrienne Nicole Edwards,democrat,36314,159156,FALSE
127,Xavier Becerra,democrat,122842,159156,FALSE
128,Tyler Fischella,republican,47309,171353,FALSE
129,Norma J. Torres,democrat,124044,171353,FALSE
130,Jeff Stone,republican,88269,232617,FALSE
131,Raul Ruiz,democrat,144348,232617,FALSE
132,Karen Bass,democrat,192490,237272,FALSE
133,Chris Blake Wiggins,democrat,44782,237272,FALSE
134,Linda T. S_nchez,democrat,163590,232114,FALSE
135,Ryan Downing,republican,68524,232114,FALSE
136,Brett Murdock,democrat,112679,263456,FALSE
137,Edward R. Royce,republican,150777,263456,FALSE
138,Roman Gabriel Gonzalez,none,42743,149297,FALSE
139,Lucille Roybal-Allard,democrat,106554,149297,FALSE
140,Doug Shepherd,republican,69159,197323,FALSE
141,Mark Takano,democrat,128164,197323,FALSE
142,Tim Sheridan,democrat,104689,254236,FALSE
143,Ken Calvert,republican,149547,254236,FALSE
144,Maxine Waters,democrat,167017,219516,FALSE
145,Omar Navarro,republican,52499,219516,FALSE
146,Nanette Diaz Barragê___ê__çn,democrat,93124,178413,FALSE
147,Isadore Hall III,democrat,85289,178413,FALSE
148,Ron Varasteh,democrat,129231,311849,FALSE
149,Mimi Walters,republican,182618,311849,FALSE
150,Bao Nguyen,democrat,49345,164593,FALSE
151,Lou Correa,democrat,115248,164593,FALSE
152,Andy Whallon,republican,88109,242868,FALSE
153,Alan S. Lowenthal,democrat,154759,242868,FALSE
154,Dana Rohrabacher,republican,178701,306416,FALSE
155,Suzanne Savary,democrat,127715,306416,FALSE
156,Darrell E. Issa,republican,155888,310155,FALSE
157,Doug Applegate,democrat,154267,310155,FALSE
158,Duncan Hunter,republican,179937,283583,FALSE
159,Patrick Malloy,democrat,103646,283583,FALSE
160,Juan M. Hidalgo Jr,republican,54362,199524,FALSE
161,Juan Vargas,democrat,145162,199524,FALSE
162,Denise Gitsham,republican,139403,320656,FALSE
163,Scott H. Peters,democrat,181253,320656,FALSE
164,James Veltmeyer,republican,97968,296956,FALSE
165,Susan A. Davis,democrat,198988,296956,FALSE
166,Diana DeGette,democrat,257254,379036,FALSE
167,Darrell Dinges,libertarian,16752,379036,FALSE
168,Charles ""Casper"" Stockham,republican,105030,379036,FALSE
169,Jared Polis,democrat,260175,457312,FALSE
170,Richard Longstreth,libertarian,27136,457312,FALSE
171,Nicholas Morse,republican,170001,457312,FALSE
172,Gaylon Kent,libertarian,18903,374037,FALSE
173,Scott R. Tipton,republican,204220,374037,FALSE
174,Gail Schwartz,democrat,150914,374037,FALSE
175,Ken Buck,republican,248230,390633,FALSE
176,Bruce Griffith,libertarian,18761,390633,FALSE
177,Bob Seay,democrat,123642,390633,FALSE
178,Doug Lamborn,republican,225445,361993,FALSE
179,Misty Plowright,democrat,111676,361993,FALSE
180,Mike McRedmond,libertarian,24872,361993,FALSE
181,Mike Coffman,republican,191626,376417,FALSE
182,Norm Olsen,libertarian,18778,376417,FALSE
183,Morgan Carroll,democrat,160372,376417,FALSE
184,Robert Lee Worthey,green,5641,376417,FALSE
185,Ed Perlmutter,democrat,199758,362010,FALSE
