electionID,districtID,year,office
0,alabama1,2016,US House
1,alabama2,2016,US House
2,alabama3,2016,US House
3,alabama4,2016,US House
4,alabama5,2016,US House
5,alabama6,2016,US House
6,alabama7,2016,US House
7,alaska1,2016,US House
8,arizona1,2016,US House
9,arizona2,2016,US House
10,arizona3,2016,US House
11,arizona4,2016,US House
12,arizona5,2016,US House
13,arizona6,2016,US House
14,arizona7,2016,US House
15,arizona8,2016,US House
16,arizona9,2016,US House
17,arkansas1,2016,US House
18,arkansas2,2016,US House
19,arkansas3,2016,US House
20,arkansas4,2016,US House
21,california1,2016,US House
22,california2,2016,US House
23,california3,2016,US House
24,california4,2016,US House
25,california5,2016,US House
26,california6,2016,US House
27,california7,2016,US House
28,california8,2016,US House
29,california9,2016,US House
30,california10,2016,US House
31,california11,2016,US House
32,california12,2016,US House
33,california13,2016,US House
34,california14,2016,US House
35,california15,2016,US House
36,california16,2016,US House
37,california17,2016,US House
38,california18,2016,US House
39,california19,2016,US House
40,california20,2016,US House
41,california21,2016,US House
42,california22,2016,US House
43,california23,2016,US House
44,california24,2016,US House
45,california25,2016,US House
46,california26,2016,US House
47,california27,2016,US House
48,california28,2016,US House
49,california29,2016,US House
50,california30,2016,US House
51,california31,2016,US House
52,california32,2016,US House
53,california33,2016,US House
54,california34,2016,US House
55,california35,2016,US House
56,california36,2016,US House
57,california37,2016,US House
58,california38,2016,US House
59,california39,2016,US House
60,california40,2016,US House
61,california41,2016,US House
62,california42,2016,US House
63,california43,2016,US House
64,california44,2016,US House
65,california45,2016,US House
66,california46,2016,US House
67,california47,2016,US House
68,california48,2016,US House
69,california49,2016,US House
70,california50,2016,US House
71,california51,2016,US House
72,california52,2016,US House
73,california53,2016,US House
74,colorado1,2016,US House
75,colorado2,2016,US House
76,colorado3,2016,US House
77,colorado4,2016,US House
78,colorado5,2016,US House
79,colorado6,2016,US House
80,colorado7,2016,US House
81,connecticut1,2016,US House
82,connecticut2,2016,US House
83,connecticut3,2016,US House
84,connecticut4,2016,US House
85,connecticut5,2016,US House
86,delaware1,2016,US House
87,florida1,2016,US House
88,florida2,2016,US House
89,florida3,2016,US House
90,florida4,2016,US House
91,florida5,2016,US House
92,florida6,2016,US House
93,florida7,2016,US House
94,florida8,2016,US House
95,florida9,2016,US House
96,florida10,2016,US House
97,florida11,2016,US House
98,florida12,2016,US House
99,florida13,2016,US House
100,florida14,2016,US House
101,florida15,2016,US House
102,florida16,2016,US House
103,florida17,2016,US House
104,florida18,2016,US House
105,florida19,2016,US House
106,florida20,2016,US House
107,florida21,2016,US House
108,florida22,2016,US House
109,florida23,2016,US House
110,florida25,2016,US House
111,florida26,2016,US House
112,florida27,2016,US House
113,georgia1,2016,US House
114,georgia2,2016,US House
115,georgia3,2016,US House
116,georgia4,2016,US House
117,georgia5,2016,US House
118,georgia6,2016,US House
119,georgia7,2016,US House
120,georgia8,2016,US House
121,georgia9,2016,US House
122,georgia10,2016,US House
123,georgia11,2016,US House
124,georgia12,2016,US House
125,georgia13,2016,US House
126,georgia14,2016,US House
127,hawaii1,2016,US House
128,hawaii2,2016,US House
129,idaho1,2016,US House
130,idaho2,2016,US House
131,illinois1,2016,US House
132,illinois2,2016,US House
133,illinois3,2016,US House
134,illinois4,2016,US House
135,illinois5,2016,US House
136,illinois6,2016,US House
137,illinois7,2016,US House
138,illinois8,2016,US House
139,illinois9,2016,US House
140,illinois10,2016,US House
141,illinois11,2016,US House
142,illinois12,2016,US House
143,illinois13,2016,US House
144,illinois14,2016,US House
145,illinois15,2016,US House
146,illinois16,2016,US House
147,illinois17,2016,US House
148,illinois18,2016,US House
149,indiana1,2016,US House
150,indiana2,2016,US House
151,indiana3,2016,US House
152,indiana4,2016,US House
153,indiana5,2016,US House
154,indiana6,2016,US House
155,indiana7,2016,US House
156,indiana8,2016,US House
157,indiana9,2016,US House
158,iowa1,2016,US House
159,iowa2,2016,US House
160,iowa3,2016,US House
161,iowa4,2016,US House
162,kansas1,2016,US House
163,kansas2,2016,US House
164,kansas3,2016,US House
165,kansas4,2016,US House
166,kentucky1,2016,US House
167,kentucky2,2016,US House
168,kentucky3,2016,US House
169,kentucky4,2016,US House
170,kentucky5,2016,US House
171,kentucky6,2016,US House
172,louisiana1,2016,US House
173,louisiana2,2016,US House
174,louisiana3,2016,US House
175,louisiana4,2016,US House
176,louisiana5,2016,US House
177,louisiana6,2016,US House
178,maine1,2016,US House
179,maine2,2016,US House
180,maryland1,2016,US House
181,maryland2,2016,US House
182,maryland3,2016,US House
183,maryland4,2016,US House
184,maryland5,2016,US House
185,maryland6,2016,US House
186,maryland7,2016,US House
187,maryland8,2016,US House
188,massachusetts1,2016,US House
189,massachusetts2,2016,US House
190,massachusetts3,2016,US House
191,massachusetts4,2016,US House
192,massachusetts5,2016,US House
193,massachusetts6,2016,US House
194,massachusetts7,2016,US House
195,massachusetts8,2016,US House
196,massachusetts9,2016,US House
197,michigan1,2016,US House
198,michigan2,2016,US House
199,michigan3,2016,US House
200,michigan4,2016,US House
201,michigan5,2016,US House
202,michigan6,2016,US House
203,michigan7,2016,US House
204,michigan8,2016,US House
205,michigan9,2016,US House
206,michigan10,2016,US House
207,michigan11,2016,US House
208,michigan12,2016,US House
209,michigan13,2016,US House
210,michigan14,2016,US House
211,minnesota1,2016,US House
212,minnesota2,2016,US House
213,minnesota3,2016,US House
214,minnesota4,2016,US House
215,minnesota5,2016,US House
216,minnesota6,2016,US House
217,minnesota7,2016,US House
218,minnesota8,2016,US House
219,mississippi1,2016,US House
220,mississippi2,2016,US House
221,mississippi3,2016,US House
222,mississippi4,2016,US House
223,missouri1,2016,US House
224,missouri2,2016,US House
225,missouri3,2016,US House
226,missouri4,2016,US House
227,missouri5,2016,US House
228,missouri6,2016,US House
229,missouri7,2016,US House
230,missouri8,2016,US House
231,montana1,2016,US House
232,nebraska1,2016,US House
233,nebraska2,2016,US House
234,nebraska3,2016,US House
235,nevada1,2016,US House
236,nevada2,2016,US House
237,nevada3,2016,US House
238,nevada4,2016,US House
239,new hampshire1,2016,US House
240,new hampshire2,2016,US House
241,new jersey1,2016,US House
242,new jersey2,2016,US House
243,new jersey3,2016,US House
244,new jersey4,2016,US House
245,new jersey5,2016,US House
246,new jersey6,2016,US House
247,new jersey7,2016,US House
248,new jersey8,2016,US House
249,new jersey9,2016,US House
250,new jersey10,2016,US House
251,new jersey11,2016,US House
252,new jersey12,2016,US House
253,new mexico1,2016,US House
254,new mexico2,2016,US House
255,new mexico3,2016,US House
256,new york1,2016,US House
257,new york2,2016,US House
258,new york3,2016,US House
259,new york4,2016,US House
260,new york5,2016,US House
261,new york6,2016,US House
262,new york7,2016,US House
263,new york8,2016,US House
264,new york9,2016,US House
265,new york10,2016,US House
266,new york11,2016,US House
267,new york12,2016,US House
268,new york13,2016,US House
269,new york14,2016,US House
270,new york15,2016,US House
271,new york16,2016,US House
272,new york17,2016,US House
273,new york18,2016,US House
274,new york19,2016,US House
275,new york20,2016,US House
276,new york21,2016,US House
277,new york22,2016,US House
278,new york23,2016,US House
279,new york24,2016,US House
280,new york25,2016,US House
281,new york26,2016,US House
282,new york27,2016,US House
283,north carolina1,2016,US House
284,north carolina2,2016,US House
285,north carolina3,2016,US House
286,north carolina4,2016,US House
287,north carolina5,2016,US House
288,north carolina6,2016,US House
289,north carolina7,2016,US House
290,north carolina8,2016,US House
291,north carolina9,2016,US House
292,north carolina10,2016,US House
293,north carolina11,2016,US House
294,north carolina12,2016,US House
