electionID,districtID,year,office
1,alabama1,2016,US House
2,alabama2,2016,US House
3,alabama3,2016,US House
4,alabama4,2016,US House
5,alabama5,2016,US House
6,alabama6,2016,US House
7,alabama7,2016,US House
8,alaska1,2016,US House
9,arizona1,2016,US House
10,arizona2,2016,US House
11,arizona3,2016,US House
12,arizona4,2016,US House
13,arizona5,2016,US House
14,arizona6,2016,US House
15,arizona7,2016,US House
16,arizona8,2016,US House
17,arizona9,2016,US House
18,arkansas1,2016,US House
19,arkansas2,2016,US House
20,arkansas3,2016,US House
21,arkansas4,2016,US House
22,california1,2016,US House
23,california2,2016,US House
24,california3,2016,US House
25,california4,2016,US House
26,california5,2016,US House
27,california6,2016,US House
28,california7,2016,US House
29,california8,2016,US House
30,california9,2016,US House
31,california10,2016,US House
32,california11,2016,US House
33,california12,2016,US House
34,california13,2016,US House
35,california14,2016,US House
36,california15,2016,US House
37,california16,2016,US House
38,california17,2016,US House
39,california18,2016,US House
40,california19,2016,US House
41,california20,2016,US House
42,california21,2016,US House
43,california22,2016,US House
44,california23,2016,US House
45,california24,2016,US House
46,california25,2016,US House
47,california26,2016,US House
48,california27,2016,US House
49,california28,2016,US House
50,california29,2016,US House
51,california30,2016,US House
52,california31,2016,US House
53,california32,2016,US House
54,california33,2016,US House
55,california34,2016,US House
56,california35,2016,US House
57,california36,2016,US House
58,california37,2016,US House
59,california38,2016,US House
60,california39,2016,US House
61,california40,2016,US House
62,california41,2016,US House
63,california42,2016,US House
64,california43,2016,US House
65,california44,2016,US House
66,california45,2016,US House
67,california46,2016,US House
68,california47,2016,US House
69,california48,2016,US House
70,california49,2016,US House
71,california50,2016,US House
72,california51,2016,US House
73,california52,2016,US House
74,california53,2016,US House
75,colorado1,2016,US House
76,colorado2,2016,US House
77,colorado3,2016,US House
78,colorado4,2016,US House
79,colorado5,2016,US House
80,colorado6,2016,US House
81,colorado7,2016,US House
82,connecticut1,2016,US House
83,connecticut2,2016,US House
84,connecticut3,2016,US House
85,connecticut4,2016,US House
86,connecticut5,2016,US House
87,delaware1,2016,US House
88,florida1,2016,US House
89,florida2,2016,US House
90,florida3,2016,US House
91,florida4,2016,US House
92,florida5,2016,US House
93,florida6,2016,US House
94,florida7,2016,US House
95,florida8,2016,US House
96,florida9,2016,US House
97,florida10,2016,US House
98,florida11,2016,US House
99,florida12,2016,US House
100,florida13,2016,US House
101,florida14,2016,US House
102,florida15,2016,US House
103,florida16,2016,US House
104,florida17,2016,US House
105,florida18,2016,US House
106,florida19,2016,US House
107,florida20,2016,US House
108,florida21,2016,US House
109,florida22,2016,US House
110,florida23,2016,US House
111,florida25,2016,US House
112,florida26,2016,US House
113,florida27,2016,US House
114,georgia1,2016,US House
115,georgia2,2016,US House
116,georgia3,2016,US House
117,georgia4,2016,US House
118,georgia5,2016,US House
119,georgia6,2016,US House
120,georgia7,2016,US House
121,georgia8,2016,US House
122,georgia9,2016,US House
123,georgia10,2016,US House
124,georgia11,2016,US House
125,georgia12,2016,US House
126,georgia13,2016,US House
127,georgia14,2016,US House
128,hawaii1,2016,US House
129,hawaii2,2016,US House
130,idaho1,2016,US House
131,idaho2,2016,US House
132,illinois1,2016,US House
133,illinois2,2016,US House
134,illinois3,2016,US House
135,illinois4,2016,US House
136,illinois5,2016,US House
137,illinois6,2016,US House
138,illinois7,2016,US House
139,illinois8,2016,US House
140,illinois9,2016,US House
141,illinois10,2016,US House
142,illinois11,2016,US House
143,illinois12,2016,US House
144,illinois13,2016,US House
145,illinois14,2016,US House
146,illinois15,2016,US House
147,illinois16,2016,US House
148,illinois17,2016,US House
149,illinois18,2016,US House
150,indiana1,2016,US House
151,indiana2,2016,US House
152,indiana3,2016,US House
153,indiana4,2016,US House
154,indiana5,2016,US House
155,indiana6,2016,US House
156,indiana7,2016,US House
157,indiana8,2016,US House
158,indiana9,2016,US House
159,iowa1,2016,US House
160,iowa2,2016,US House
161,iowa3,2016,US House
162,iowa4,2016,US House
163,kansas1,2016,US House
164,kansas2,2016,US House
165,kansas3,2016,US House
166,kansas4,2016,US House
167,kentucky1,2016,US House
168,kentucky2,2016,US House
169,kentucky3,2016,US House
170,kentucky4,2016,US House
171,kentucky5,2016,US House
172,kentucky6,2016,US House
173,louisiana1,2016,US House
174,louisiana2,2016,US House
175,louisiana3,2016,US House
176,louisiana4,2016,US House
177,louisiana5,2016,US House
178,louisiana6,2016,US House
179,maine1,2016,US House
180,maine2,2016,US House
181,maryland1,2016,US House
182,maryland2,2016,US House
183,maryland3,2016,US House
184,maryland4,2016,US House
185,maryland5,2016,US House
186,maryland6,2016,US House
187,maryland7,2016,US House
188,maryland8,2016,US House
189,massachusetts1,2016,US House
190,massachusetts2,2016,US House
191,massachusetts3,2016,US House
192,massachusetts4,2016,US House
193,massachusetts5,2016,US House
194,massachusetts6,2016,US House
195,massachusetts7,2016,US House
196,massachusetts8,2016,US House
197,massachusetts9,2016,US House
198,michigan1,2016,US House
199,michigan2,2016,US House
200,michigan3,2016,US House
201,michigan4,2016,US House
202,michigan5,2016,US House
203,michigan6,2016,US House
204,michigan7,2016,US House
205,michigan8,2016,US House
206,michigan9,2016,US House
207,michigan10,2016,US House
208,michigan11,2016,US House
209,michigan12,2016,US House
210,michigan13,2016,US House
211,michigan14,2016,US House
212,minnesota1,2016,US House
213,minnesota2,2016,US House
214,minnesota3,2016,US House
215,minnesota4,2016,US House
216,minnesota5,2016,US House
217,minnesota6,2016,US House
218,minnesota7,2016,US House
219,minnesota8,2016,US House
220,mississippi1,2016,US House
221,mississippi2,2016,US House
222,mississippi3,2016,US House
223,mississippi4,2016,US House
224,missouri1,2016,US House
225,missouri2,2016,US House
226,missouri3,2016,US House
227,missouri4,2016,US House
228,missouri5,2016,US House
229,missouri6,2016,US House
230,missouri7,2016,US House
231,missouri8,2016,US House
232,montana1,2016,US House
233,nebraska1,2016,US House
234,nebraska2,2016,US House
235,nebraska3,2016,US House
236,nevada1,2016,US House
237,nevada2,2016,US House
238,nevada3,2016,US House
239,nevada4,2016,US House
240,new hampshire1,2016,US House
241,new hampshire2,2016,US House
242,new jersey1,2016,US House
243,new jersey2,2016,US House
244,new jersey3,2016,US House
245,new jersey4,2016,US House
246,new jersey5,2016,US House
247,new jersey6,2016,US House
248,new jersey7,2016,US House
249,new jersey8,2016,US House
250,new jersey9,2016,US House
251,new jersey10,2016,US House
252,new jersey11,2016,US House
253,new jersey12,2016,US House
254,new mexico1,2016,US House
255,new mexico2,2016,US House
256,new mexico3,2016,US House
257,new york1,2016,US House
258,new york2,2016,US House
259,new york3,2016,US House
260,new york4,2016,US House
261,new york5,2016,US House
262,new york6,2016,US House
263,new york7,2016,US House
264,new york8,2016,US House
265,new york9,2016,US House
266,new york10,2016,US House
267,new york11,2016,US House
268,new york12,2016,US House
269,new york13,2016,US House
270,new york14,2016,US House
271,new york15,2016,US House
272,new york16,2016,US House
273,new york17,2016,US House
274,new york18,2016,US House
275,new york19,2016,US House
276,new york20,2016,US House
277,new york21,2016,US House
278,new york22,2016,US House
279,new york23,2016,US House
280,new york24,2016,US House
281,new york25,2016,US House
282,new york26,2016,US House
283,new york27,2016,US House
284,north carolina1,2016,US House
285,north carolina2,2016,US House
286,north carolina3,2016,US House
287,north carolina4,2016,US House
288,north carolina5,2016,US House
289,north carolina6,2016,US House
290,north carolina7,2016,US House
291,north carolina8,2016,US House
292,north carolina9,2016,US House
293,north carolina10,2016,US House
294,north carolina11,2016,US House
295,north carolina12,2016,US House
296,north carolina13,2016,US House
297,north dakota1,2016,US House
298,ohio1,2016,US House
299,ohio2,2016,US House
300,ohio3,2016,US House
301,ohio4,2016,US House
302,ohio5,2016,US House
303,ohio6,2016,US House
304,ohio7,2016,US House
305,ohio8,2016,US House
306,ohio9,2016,US House
307,ohio10,2016,US House
308,ohio11,2016,US House
309,ohio12,2016,US House
310,ohio13,2016,US House
311,ohio14,2016,US House
312,ohio15,2016,US House
313,ohio16,2016,US House
314,oklahoma1,2016,US House
315,oklahoma2,2016,US House
316,oklahoma3,2016,US House
317,oklahoma4,2016,US House
318,oklahoma5,2016,US House
319,oregon1,2016,US House
320,oregon2,2016,US House
321,oregon3,2016,US House
322,oregon4,2016,US House
323,oregon5,2016,US House
324,pennsylvania1,2016,US House
325,pennsylvania2,2016,US House
326,pennsylvania3,2016,US House
327,pennsylvania4,2016,US House
328,pennsylvania5,2016,US House
329,pennsylvania6,2016,US House
330,pennsylvania7,2016,US House
331,pennsylvania8,2016,US House
332,pennsylvania9,2016,US House
333,pennsylvania10,2016,US House
334,pennsylvania11,2016,US House
335,pennsylvania12,2016,US House
336,pennsylvania13,2016,US House
337,pennsylvania14,2016,US House
338,pennsylvania15,2016,US House
339,pennsylvania16,2016,US House
340,pennsylvania17,2016,US House
341,pennsylvania18,2016,US House
342,rhode island1,2016,US House
343,rhode island2,2016,US House
344,south carolina1,2016,US House
345,south carolina2,2016,US House
346,south carolina3,2016,US House
347,south carolina4,2016,US House
348,south carolina5,2016,US House
349,south carolina6,2016,US House
350,south carolina7,2016,US House
351,south dakota,2016,US House
352,tennessee1,2016,US House
353,tennessee2,2016,US House
354,tennessee3,2016,US House
355,tennessee4,2016,US House
356,tennessee5,2016,US House
357,tennessee6,2016,US House
358,tennessee7,2016,US House
359,tennessee8,2016,US House
360,tennessee9,2016,US House
361,texas1,2016,US House
362,texas2,2016,US House
363,texas3,2016,US House
364,texas4,2016,US House
365,texas5,2016,US House
366,texas6,2016,US House
367,texas7,2016,US House
368,texas8,2016,US House
369,texas9,2016,US House
370,texas10,2016,US House
371,texas11,2016,US House
372,texas12,2016,US House
373,texas13,2016,US House
374,texas14,2016,US House
375,texas15,2016,US House
376,texas16,2016,US House
377,texas17,2016,US House
378,texas18,2016,US House
379,texas19,2016,US House
380,texas20,2016,US House
381,texas21,2016,US House
382,texas22,2016,US House
383,texas23,2016,US House
384,texas24,2016,US House
385,texas25,2016,US House
386,texas26,2016,US House
387,texas27,2016,US House
388,texas28,2016,US House
389,texas29,2016,US House
390,texas30,2016,US House
391,texas31,2016,US House
392,texas32,2016,US House
393,texas33,2016,US House
394,texas34,2016,US House
395,texas35,2016,US House
396,texas36,2016,US House
397,utah1,2016,US House
398,utah2,2016,US House
399,utah3,2016,US House
400,utah4,2016,US House
401,vermont1,2016,US House
402,virginia1,2016,US House
403,virginia2,2016,US House
404,virginia3,2016,US House
405,virginia4,2016,US House
406,virginia5,2016,US House
407,virginia6,2016,US House
408,virginia7,2016,US House
409,virginia8,2016,US House
410,virginia9,2016,US House
411,virginia10,2016,US House
412,virginia11,2016,US House
413,washington1,2016,US House
414,washington2,2016,US House
415,washington3,2016,US House
416,washington4,2016,US House
417,washington5,2016,US House
418,washington6,2016,US House
419,washington7,2016,US House
420,washington8,2016,US House
421,washington9,2016,US House
422,washington10,2016,US House
423,west virginia1,2016,US House
424,west virginia2,2016,US House
425,west virginia3,2016,US House
426,wisconsin1,2016,US House
427,wisconsin2,2016,US House
428,wisconsin3,2016,US House
429,wisconsin4,2016,US House
430,wisconsin5,2016,US House
431,wisconsin6,2016,US House
432,wisconsin7,2016,US House
433,wisconsin8,2016,US House
434,wyoming,2016,US House
435,alabama1,2018,US House
436,alabama2,2018,US House
437,alabama3,2018,US House
438,alabama4,2018,US House
439,alabama5,2018,US House
440,alabama6,2018,US House
441,alabama7,2018,US House
442,alaska1,2018,US House
443,arizona1,2018,US House
444,arizona2,2018,US House
445,arizona3,2018,US House
446,arizona4,2018,US House
447,arizona5,2018,US House
