nonLaborForce,unemploymentRate,meanCommute,
253918,5.0,26.0,
242007,5.9,23.7,
253852,6.6,25.9,
247378,4.8,25.9,
234625,4.6,23.2,
224542,4.0,27.3,
242644,9.1,24.6,
183995,6.8,19.1,
304547,7.4,25.3,
253788,5.7,23.8,
253256,5.9,26.6,
350436,7.5,25.7,
233750,4.2,27.2,
225546,3.5,24.1,
209288,6.8,27.0,
274332,4.6,30.1,
193187,3.7,22.6,
262678,5.9,21.5,
235283,4.0,23.0,
240160,3.4,20.0,
268735,5.1,22.7,
276871,6.7,22.9,
222104,5.1,26.4,
233568,5.3,29.1,
264275,4.9,28.8,
207079,4.9,30.9,
219707,6.4,27.4,
227562,5.0,28.9,
233323,7.8,31.7,
229785,5.9,38.6,
227373,7.7,34.8,
210555,4.7,37.7,
186373,3.5,32.5,
205159,4.5,33.3,
193255,4.0,31.2,
206001,3.6,37.1,
224391,11.0,26.7,
195966,3.7,29.1,
203084,3.2,27.9,
197381,4.7,32.5,
213465,5.5,26.1,
223081,10.3,22.7,
218209,6.8,22.7,
241065,8.7,25.8,
238393,5.5,22.2,
210889,5.6,37.4,
204407,4.4,26.5,
226718,3.8,30.6,
199989,5.6,30.9,
195082,5.8,32.8,
199513,5.7,33.5,
214771,7.1,30.4,
201563,5.9,32.1,
205598,4.7,29.1,
213692,6.5,33.4,
208371,5.9,31.2,
287831,8.6,26.3,
200986,5.2,31.5,
211838,4.8,32.0,
201447,4.6,33.1,
182325,7.3,32.0,
217864,6.6,33.3,
227922,4.9,39.1,
197375,4.9,30.9,
211002,7.7,31.9,
225328,4.1,27.2,
187868,4.5,27.1,
197309,4.3,31.5,
213434,3.6,27.4,
203180,4.1,28.4,
222394,4.6,29.8,
225162,9.9,27.0,
206451,4.3,23.1,
207726,5.2,27.0,
182560,3.6,25.5,
210237,3.7,24.3,
234951,5.0,22.5,
211263,3.7,27.0,
221396,5.2,23.8,
183208,3.6,28.9,
188118,3.3,28.3,
197235,5.3,23.7,
204430,5.1,25.9,
201551,5.5,25,
193946,6.4,32.1,
200243,5.3,27.5,
298593,5.7,26.4,
171790,7.5,30.9,
253694,5.3,25.7,
291359,6.1,24.9,
265406,7.6,26.7,
231871,3.6,25.6,
233448,7.6,25.6,
309118,4.4,26.8,
224830,4.3,26.3,
302079,5.2,24.9,
279165,4.9,32.5,
213294,4.6,28.4,
403370,7.1,28.3,
302744,5.6,30.9,
253195,5.0,22.9,
217269,5.3,27.4,
250126,4.7,28.2,
314694,4.9,26.8,
362676,5.3,26.7,
297053,4.3,26.3,
348992,4.2,26.1,
227670,7.7,27.8,
268614,5.5,27.7,
242470,4.3,26.8,
222943,5.0,29.9,
227059,6.0,32.5,
240718,4.1,30.0,
231826,4.7,36.8,
229802,3.8,31.1,
218521,6.1,23.2,
239312,9.4,21.7,
237349,3.9,28.0,
207558,5.4,36.0,
212021,5.6,29.6,
172963,2.8,29.5,
188605,3.5,34.4,
243653,4.8,23.2,
247658,3.8,28.6,
237656,4.6,29.6,
196516,4.0,31.9,
242616,6.2,24.5,
189934,5.0,33.3,
231856,4.0,28.3,
196193,3.4,27.9,
198768,4.2,27.3,
279878,3.8,22.4,
