Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",770392,"(+/- 10069 )",724747,"(+/- 11285 )",798359,"(+/- 16938 )",809426,"(+/- 13838 )",841344,"(+/- 12880 )",783621,"(+/- 16444 )",854749,"(+/- 19640 )",794820,"(+/- 13025 )",794188,"(+/- 17433 )"
People,"Sex and Age",Male,388546,"(+/- 7430 )",357878,"(+/- 6864 )",401906,"(+/- 8980 )",405816,"(+/- 8383 )",412423,"(+/- 8707 )",386905,"(+/- 10583 )",427152,"(+/- 11720 )",381950,"(+/- 8998 )",402553,"(+/- 10302 )"
People,"Sex and Age",Female,381846,"(+/- 4923 )",366869,"(+/- 6526 )",396453,"(+/- 10929 )",403610,"(+/- 7994 )",428921,"(+/- 8199 )",396716,"(+/- 10316 )",427597,"(+/- 11767 )",412870,"(+/- 8803 )",391635,"(+/- 10297 )"
People,"Sex and Age","Under 5 years",44672,"(+/- 2392 )",40127,"(+/- 2582 )",54521,"(+/- 3754 )",37887,"(+/- 2391 )",54435,"(+/- 3829 )",42785,"(+/- 4026 )",70950,"(+/- 4898 )",41603,"(+/- 3878 )",47052,"(+/- 4092 )"
People,"Sex and Age","5 to 9 years",47934,"(+/- 3537 )",38296,"(+/- 2705 )",55369,"(+/- 4055 )",42804,"(+/- 4050 )",62663,"(+/- 3795 )",37978,"(+/- 3655 )",70590,"(+/- 5138 )",45080,"(+/- 3648 )",40899,"(+/- 3888 )"
People,"Sex and Age","10 to 14 years",57017,"(+/- 3552 )",41255,"(+/- 3354 )",65496,"(+/- 4657 )",44249,"(+/- 4118 )",66658,"(+/- 4109 )",44015,"(+/- 3717 )",74668,"(+/- 5741 )",50029,"(+/- 4664 )",45351,"(+/- 4459 )"
People,"Sex and Age","15 to 19 years",56893,"(+/- 3846 )",40506,"(+/- 3382 )",64407,"(+/- 3939 )",43113,"(+/- 3067 )",55451,"(+/- 3788 )",45390,"(+/- 3634 )",74328,"(+/- 4675 )",50221,"(+/- 3995 )",46997,"(+/- 4385 )"
People,"Sex and Age","20 to 24 years",54239,"(+/- 3766 )",54871,"(+/- 4200 )",72249,"(+/- 5396 )",39313,"(+/- 3937 )",42223,"(+/- 3762 )",42689,"(+/- 4153 )",70735,"(+/- 5606 )",38518,"(+/- 3356 )",74816,"(+/- 5537 )"
People,"Sex and Age","25 to 34 years",92362,"(+/- 4764 )",94367,"(+/- 3313 )",115429,"(+/- 5892 )",82755,"(+/- 4218 )",100831,"(+/- 5416 )",106108,"(+/- 7242 )",143244,"(+/- 6257 )",91205,"(+/- 6677 )",153027,"(+/- 6651 )"
People,"Sex and Age","35 to 44 years",90025,"(+/- 4070 )",82827,"(+/- 3361 )",97965,"(+/- 5138 )",84556,"(+/- 3870 )",117702,"(+/- 4774 )",96923,"(+/- 5366 )",114188,"(+/- 5707 )",97171,"(+/- 5507 )",101261,"(+/- 5749 )"
People,"Sex and Age","45 to 54 years",85856,"(+/- 3921 )",80258,"(+/- 2991 )",91693,"(+/- 4104 )",87074,"(+/- 4284 )",106401,"(+/- 5265 )",109160,"(+/- 5286 )",98483,"(+/- 4604 )",98020,"(+/- 4841 )",95517,"(+/- 5391 )"
People,"Sex and Age","55 to 59 years",46072,"(+/- 2739 )",43752,"(+/- 3504 )",40982,"(+/- 3243 )",56897,"(+/- 4319 )",47794,"(+/- 3405 )",54326,"(+/- 3870 )",40834,"(+/- 3401 )",51211,"(+/- 4173 )",48599,"(+/- 4507 )"
People,"Sex and Age","60 to 64 years",46493,"(+/- 2644 )",51286,"(+/- 3364 )",40829,"(+/- 3432 )",66460,"(+/- 4083 )",46043,"(+/- 3363 )",54893,"(+/- 3605 )",36133,"(+/- 3097 )",48543,"(+/- 3105 )",45646,"(+/- 3572 )"
People,"Sex and Age","65 to 74 years",87392,"(+/- 3242 )",88441,"(+/- 2703 )",61082,"(+/- 3716 )",130764,"(+/- 3501 )",82199,"(+/- 4192 )",84644,"(+/- 3666 )",38983,"(+/- 2881 )",99686,"(+/- 5021 )",54765,"(+/- 3250 )"
People,"Sex and Age","75 to 84 years",49791,"(+/- 3430 )",50357,"(+/- 3000 )",30766,"(+/- 2646 )",73074,"(+/- 3219 )",43063,"(+/- 2902 )",47370,"(+/- 3519 )",16439,"(+/- 2073 )",60408,"(+/- 3975 )",27140,"(+/- 2573 )"
People,"Sex and Age","85 years and over",11646,"(+/- 1438 )",18404,"(+/- 2377 )",7571,"(+/- 1532 )",20480,"(+/- 2280 )",15881,"(+/- 1936 )",17340,"(+/- 2585 )",5174,"(+/- 1309 )",23125,"(+/- 2575 )",13118,"(+/- 1972 )"
People,"Sex and Age","Median age (years)",38.4,"(+/- 1.0 )",40.9,"(+/- 0.6 )",32.4,"(+/- 0.6 )",48.5,"(+/- 1.1 )",38.2,"(+/- 0.7 )",42.7,"(+/- 0.9 )",29.1,"(+/- 0.6 )",43.2,"(+/- 1.3 )",34.1,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",592187,"(+/- 8613 )",582856,"(+/- 8555 )",586774,"(+/- 12059 )",658309,"(+/- 11068 )",623120,"(+/- 10697 )",627417,"(+/- 13142 )",595184,"(+/- 13607 )",626839,"(+/- 9669 )",636961,"(+/- 13213 )"
People,"Sex and Age","65 years and over",148829,"(+/- 4511 )",157202,"(+/- 3902 )",99419,"(+/- 5276 )",224318,"(+/- 4233 )",141143,"(+/- 5667 )",149354,"(+/- 5401 )",60596,"(+/- 3818 )",183219,"(+/- 6696 )",95023,"(+/- 4743 )"
People,Race,"Total population",770392,"(+/- 10069 )",724747,"(+/- 11285 )",798359,"(+/- 16938 )",809426,"(+/- 13838 )",841344,"(+/- 12880 )",783621,"(+/- 16444 )",854749,"(+/- 19640 )",794820,"(+/- 13025 )",794188,"(+/- 17433 )"
People,Race,"One race",741752,"(+/- 10082 )",688737,"(+/- 10750 )",762857,"(+/- 16959 )",782681,"(+/- 14171 )",811278,"(+/- 12979 )",757829,"(+/- 17088 )",818685,"(+/- 20264 )",764523,"(+/- 13423 )",756324,"(+/- 16290 )"
People,Race,White,504227,"(+/- 10423 )",584070,"(+/- 9712 )",564199,"(+/- 18755 )",723818,"(+/- 13370 )",700892,"(+/- 14466 )",663178,"(+/- 16119 )",607405,"(+/- 21652 )",656356,"(+/- 13136 )",586360,"(+/- 16650 )"
People,Race,"Black or African American",19319,"(+/- 2535 )",28469,"(+/- 3628 )",40208,"(+/- 6395 )",14247,"(+/- 2618 )",35213,"(+/- 5755 )",26842,"(+/- 4452 )",82671,"(+/- 8648 )",39285,"(+/- 7393 )",50086,"(+/- 6760 )"
People,Race,"American Indian and Alaska Native",180970,"(+/- 5410 )",13349,"(+/- 3760 )",40005,"(+/- 4347 )",11383,"(+/- 1884 )",10581,"(+/- 3030 )",12702,"(+/- 3353 )",30209,"(+/- 7606 )",6764,"(+/- 1628 )",24636,"(+/- 5057 )"
People,Race,Asian,11798,"(+/- 2207 )",21765,"(+/- 2922 )",16746,"(+/- 3728 )",11679,"(+/- 2031 )",41526,"(+/- 5270 )",35839,"(+/- 5115 )",19817,"(+/- 4504 )",33004,"(+/- 4683 )",45699,"(+/- 4970 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1188,"(+/- 909 )",1139,"(+/- 608 )",2281,"(+/- 1626 )",2348,"(+/- 1423 )",1031,"(+/- 574 )",838,"(+/- 446 )",176,"(+/- 119 )",2259,"(+/- 1593 )",4401,"(+/- 1780 )"
People,Race,"Some other race",24250,"(+/- 4533 )",39945,"(+/- 5415 )",99418,"(+/- 12068 )",19206,"(+/- 4995 )",22035,"(+/- 4120 )",18430,"(+/- 3692 )",78407,"(+/- 8619 )",26855,"(+/- 4710 )",45142,"(+/- 7123 )"
People,Race,"Two or more races",28640,"(+/- 3746 )",36010,"(+/- 5156 )",35502,"(+/- 5230 )",26745,"(+/- 4061 )",30066,"(+/- 3864 )",25792,"(+/- 4304 )",36064,"(+/- 5748 )",30297,"(+/- 4831 )",37864,"(+/- 5184 )"
People,"Hispanic or Latino and Race","Total population",770392,"(+/- 10069 )",724747,"(+/- 11285 )",798359,"(+/- 16938 )",809426,"(+/- 13838 )",841344,"(+/- 12880 )",783621,"(+/- 16444 )",854749,"(+/- 19640 )",794820,"(+/- 13025 )",794188,"(+/- 17433 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",177124,"(+/- 7843 )",211844,"(+/- 10899 )",506933,"(+/- 16877 )",160649,"(+/- 9348 )",146748,"(+/- 10689 )",140297,"(+/- 12290 )",548361,"(+/- 19215 )",160989,"(+/- 14548 )",213397,"(+/- 12576 )"
People,"Hispanic or Latino and Race",Mexican,157701,"(+/- 7704 )",183103,"(+/- 10947 )",468304,"(+/- 17094 )",138139,"(+/- 9419 )",117980,"(+/- 10819 )",114042,"(+/- 11629 )",497512,"(+/- 19284 )",117273,"(+/- 10743 )",184941,"(+/- 11729 )"
People,"Hispanic or Latino and Race","Puerto Rican",3044,"(+/- 943 )",9123,"(+/- 3475 )",8167,"(+/- 3180 )",6647,"(+/- 2323 )",6395,"(+/- 2246 )",5598,"(+/- 1605 )",7711,"(+/- 2595 )",7803,"(+/- 2224 )",8031,"(+/- 2772 )"
People,"Hispanic or Latino and Race",Cuban,565,"(+/- 410 )",721,"(+/- 396 )",2091,"(+/- 1014 )",1401,"(+/- 924 )",1949,"(+/- 1593 )",2018,"(+/- 1114 )",5158,"(+/- 2252 )",1535,"(+/- 855 )",1947,"(+/- 1203 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15814,"(+/- 3431 )",18897,"(+/- 3592 )",28371,"(+/- 6226 )",14462,"(+/- 2708 )",20424,"(+/- 4905 )",18639,"(+/- 3362 )",37980,"(+/- 6235 )",34378,"(+/- 8412 )",18478,"(+/- 3746 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",593268,"(+/- 8265 )",512903,"(+/- 8073 )",291426,"(+/- 9634 )",648777,"(+/- 10350 )",694596,"(+/- 13230 )",643324,"(+/- 14542 )",306388,"(+/- 13084 )",633831,"(+/- 11448 )",580791,"(+/- 16667 )"
People,"Place of Birth","Total population",770392,"(+/- 10069 )",724747,"(+/- 11285 )",798359,"(+/- 16938 )",809426,"(+/- 13838 )",841344,"(+/- 12880 )",783621,"(+/- 16444 )",854749,"(+/- 19640 )",794820,"(+/- 13025 )",794188,"(+/- 17433 )"
People,"Place of Birth",Native,722968,"(+/- 11581 )",646802,"(+/- 11674 )",628244,"(+/- 16090 )",750466,"(+/- 13488 )",759540,"(+/- 13462 )",676796,"(+/- 14745 )",637696,"(+/- 16581 )",719789,"(+/- 11841 )",669070,"(+/- 15949 )"
People,"Place of Birth","Born in United States",716324,"(+/- 11403 )",631602,"(+/- 11567 )",615358,"(+/- 16580 )",741017,"(+/- 13139 )",747856,"(+/- 13108 )",667890,"(+/- 14672 )",626953,"(+/- 16614 )",708642,"(+/- 12053 )",655082,"(+/- 16420 )"
People,"Place of Birth","State of residence",403661,"(+/- 11377 )",269436,"(+/- 11382 )",385893,"(+/- 15299 )",239655,"(+/- 10844 )",312243,"(+/- 11418 )",251140,"(+/- 10683 )",420632,"(+/- 15726 )",269310,"(+/- 12167 )",298191,"(+/- 11678 )"
People,"Place of Birth","Different state",312663,"(+/- 8982 )",362166,"(+/- 8382 )",229465,"(+/- 8308 )",501362,"(+/- 10069 )",435613,"(+/- 11739 )",416750,"(+/- 11858 )",206321,"(+/- 10871 )",439332,"(+/- 10328 )",356891,"(+/- 11830 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",6644,"(+/- 1852 )",15200,"(+/- 1931 )",12886,"(+/- 2388 )",9449,"(+/- 2658 )",11684,"(+/- 2246 )",8906,"(+/- 1517 )",10743,"(+/- 2442 )",11147,"(+/- 1944 )",13988,"(+/- 3139 )"
People,"Place of Birth","Foreign born",47424,"(+/- 5309 )",77945,"(+/- 5373 )",170115,"(+/- 9326 )",58960,"(+/- 5958 )",81804,"(+/- 6313 )",106825,"(+/- 7907 )",217053,"(+/- 9215 )",75031,"(+/- 6519 )",125118,"(+/- 8803 )"
People,Ancestry,"Total population",770392,"(+/- 10069 )",724747,"(+/- 11285 )",798359,"(+/- 16938 )",809426,"(+/- 13838 )",841344,"(+/- 12880 )",783621,"(+/- 16444 )",854749,"(+/- 19640 )",794820,"(+/- 13025 )",794188,"(+/- 17433 )"
People,Ancestry,American,27415,"(+/- 3266 )",22774,"(+/- 3159 )",18731,"(+/- 2947 )",32523,"(+/- 4842 )",37860,"(+/- 4482 )",44854,"(+/- 5043 )",16303,"(+/- 3095 )",38128,"(+/- 5578 )",21993,"(+/- 3112 )"
People,Ancestry,Arab,1393,"(+/- 879 )",6274,"(+/- 2615 )",1865,"(+/- 1016 )",1601,"(+/- 1515 )",6432,"(+/- 3073 )",7887,"(+/- 2120 )",3559,"(+/- 1543 )",5556,"(+/- 1990 )",7474,"(+/- 2548 )"
People,Ancestry,Czech,3263,"(+/- 1152 )",1804,"(+/- 677 )",911,"(+/- 401 )",3017,"(+/- 821 )",2261,"(+/- 759 )",4284,"(+/- 1343 )",1240,"(+/- 704 )",3224,"(+/- 747 )",3414,"(+/- 1044 )"
People,Ancestry,Danish,7861,"(+/- 3106 )",3115,"(+/- 1263 )",3211,"(+/- 1879 )",8103,"(+/- 1839 )",7163,"(+/- 1455 )",5571,"(+/- 1529 )",717,"(+/- 305 )",4033,"(+/- 1126 )",3524,"(+/- 946 )"
People,Ancestry,Dutch,7166,"(+/- 1533 )",8971,"(+/- 2384 )",4272,"(+/- 1304 )",14066,"(+/- 2603 )",9358,"(+/- 1795 )",10019,"(+/- 2097 )",4468,"(+/- 1503 )",10376,"(+/- 1663 )",8355,"(+/- 2076 )"
People,Ancestry,English,56309,"(+/- 4769 )",67885,"(+/- 5718 )",27374,"(+/- 3614 )",86549,"(+/- 6600 )",82890,"(+/- 6199 )",71727,"(+/- 4612 )",20710,"(+/- 3015 )",70500,"(+/- 5671 )",65591,"(+/- 5984 )"
People,Ancestry,"French (except Basque)",16001,"(+/- 2760 )",16835,"(+/- 2569 )",8170,"(+/- 2415 )",26442,"(+/- 3414 )",19672,"(+/- 2853 )",22508,"(+/- 3571 )",9324,"(+/- 2580 )",18993,"(+/- 2794 )",18054,"(+/- 2933 )"
People,Ancestry,"French Canadian",3566,"(+/- 1156 )",4410,"(+/- 1365 )",1506,"(+/- 487 )",4433,"(+/- 1134 )",3822,"(+/- 1112 )",5302,"(+/- 1515 )",1162,"(+/- 498 )",4914,"(+/- 1506 )",2881,"(+/- 734 )"
People,Ancestry,German,82749,"(+/- 6631 )",106344,"(+/- 5351 )",48431,"(+/- 5107 )",137590,"(+/- 7589 )",112633,"(+/- 7411 )",119816,"(+/- 6815 )",38374,"(+/- 5031 )",125959,"(+/- 7184 )",90374,"(+/- 6568 )"
People,Ancestry,Greek,1876,"(+/- 844 )",2522,"(+/- 1252 )",1295,"(+/- 566 )",1367,"(+/- 511 )",2784,"(+/- 1314 )",5328,"(+/- 1606 )",950,"(+/- 591 )",2765,"(+/- 950 )",4327,"(+/- 1387 )"
People,Ancestry,Hungarian,2527,"(+/- 879 )",4741,"(+/- 1737 )",1374,"(+/- 555 )",4489,"(+/- 1677 )",3784,"(+/- 1415 )",4992,"(+/- 1362 )",1134,"(+/- 645 )",3954,"(+/- 1008 )",2439,"(+/- 713 )"
People,Ancestry,Irish,56827,"(+/- 5170 )",79142,"(+/- 6476 )",34627,"(+/- 4151 )",94528,"(+/- 8119 )",74234,"(+/- 6055 )",88325,"(+/- 6326 )",29903,"(+/- 4095 )",82038,"(+/- 6309 )",74908,"(+/- 6370 )"
People,Ancestry,Italian,24655,"(+/- 4130 )",32377,"(+/- 3943 )",19114,"(+/- 4352 )",30987,"(+/- 4020 )",38816,"(+/- 3950 )",49430,"(+/- 4321 )",15978,"(+/- 2980 )",43734,"(+/- 4786 )",38386,"(+/- 4145 )"
People,Ancestry,Lithuanian,701,"(+/- 314 )",1435,"(+/- 707 )",971,"(+/- 1174 )",969,"(+/- 451 )",1745,"(+/- 934 )",1957,"(+/- 846 )",345,"(+/- 251 )",1425,"(+/- 528 )",1954,"(+/- 930 )"
People,Ancestry,Norwegian,12333,"(+/- 3345 )",13494,"(+/- 2634 )",6580,"(+/- 1420 )",19322,"(+/- 2557 )",19711,"(+/- 2666 )",15405,"(+/- 2625 )",5505,"(+/- 1905 )",17767,"(+/- 2616 )",13535,"(+/- 3044 )"
People,Ancestry,Polish,14212,"(+/- 2697 )",17696,"(+/- 2536 )",8505,"(+/- 2721 )",20962,"(+/- 4248 )",22210,"(+/- 3137 )",27925,"(+/- 3521 )",4823,"(+/- 1090 )",27802,"(+/- 3449 )",20275,"(+/- 2785 )"
People,Ancestry,Portuguese,1276,"(+/- 544 )",1751,"(+/- 824 )",856,"(+/- 466 )",2277,"(+/- 731 )",2109,"(+/- 1067 )",1540,"(+/- 690 )",1035,"(+/- 543 )",2000,"(+/- 1056 )",1503,"(+/- 671 )"
People,Ancestry,Russian,3230,"(+/- 1261 )",5482,"(+/- 1405 )",2118,"(+/- 730 )",5356,"(+/- 1920 )",5218,"(+/- 1257 )",10939,"(+/- 2415 )",1918,"(+/- 662 )",4783,"(+/- 1785 )",5428,"(+/- 1403 )"
People,Ancestry,Scotch-Irish,7515,"(+/- 2579 )",6617,"(+/- 1614 )",2220,"(+/- 799 )",7213,"(+/- 1380 )",6812,"(+/- 1473 )",7170,"(+/- 1508 )",2184,"(+/- 843 )",7636,"(+/- 1929 )",6629,"(+/- 1612 )"
People,Ancestry,Scottish,13665,"(+/- 2377 )",17224,"(+/- 2816 )",6910,"(+/- 1695 )",18581,"(+/- 2853 )",16450,"(+/- 2221 )",14637,"(+/- 2619 )",4328,"(+/- 1159 )",14765,"(+/- 2531 )",13973,"(+/- 1855 )"
People,Ancestry,Slovak,831,"(+/- 953 )",407,"(+/- 385 )",299,"(+/- 237 )",1349,"(+/- 611 )",1988,"(+/- 1146 )",1991,"(+/- 695 )",164,"(+/- 161 )",1824,"(+/- 873 )",2412,"(+/- 2571 )"
People,Ancestry,"Subsaharan African",1615,"(+/- 968 )",6959,"(+/- 2895 )",7963,"(+/- 3050 )",2790,"(+/- 1618 )",5220,"(+/- 2306 )",4530,"(+/- 1806 )",13352,"(+/- 4620 )",8856,"(+/- 4252 )",10311,"(+/- 3977 )"
People,Ancestry,Swedish,9114,"(+/- 1753 )",12712,"(+/- 1935 )",5607,"(+/- 1153 )",15550,"(+/- 2337 )",16902,"(+/- 2162 )",15203,"(+/- 2782 )",2557,"(+/- 798 )",12362,"(+/- 2126 )",9555,"(+/- 1673 )"
People,Ancestry,Swiss,1386,"(+/- 533 )",1818,"(+/- 592 )",469,"(+/- 287 )",2535,"(+/- 1109 )",1774,"(+/- 806 )",2228,"(+/- 960 )",793,"(+/- 406 )",2769,"(+/- 1100 )",1449,"(+/- 615 )"
People,Ancestry,Ukrainian,894,"(+/- 629 )",1548,"(+/- 693 )",947,"(+/- 555 )",1071,"(+/- 519 )",1878,"(+/- 644 )",1848,"(+/- 665 )",1445,"(+/- 889 )",2035,"(+/- 768 )",2043,"(+/- 940 )"
People,Ancestry,Welsh,4715,"(+/- 1138 )",6405,"(+/- 1469 )",1947,"(+/- 650 )",6456,"(+/- 1491 )",7809,"(+/- 2243 )",5031,"(+/- 1528 )",1616,"(+/- 699 )",6417,"(+/- 1793 )",4644,"(+/- 1136 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",414,"(+/- 363 )",891,"(+/- 491 )",459,"(+/- 423 )",479,"(+/- 345 )",2157,"(+/- 1261 )",1122,"(+/- 786 )",2249,"(+/- 1269 )",3648,"(+/- 2799 )",1763,"(+/- 738 )"
People,"Veteran Status","Civilian population 18 years and over",591765,"(+/- 8558 )",574000,"(+/- 8577 )",584099,"(+/- 12138 )",654867,"(+/- 10872 )",622923,"(+/- 10691 )",627365,"(+/- 13131 )",595125,"(+/- 13600 )",623608,"(+/- 9613 )",636911,"(+/- 13199 )"
People,"Veteran Status","Civilian veterans",53266,"(+/- 3244 )",77815,"(+/- 3856 )",37670,"(+/- 3218 )",89847,"(+/- 4650 )",56652,"(+/- 3400 )",46539,"(+/- 3959 )",25172,"(+/- 2433 )",69069,"(+/- 4037 )",40209,"(+/- 3212 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",749873,"(+/- 9734 )",702110,"(+/- 11180 )",781134,"(+/- 17399 )",785826,"(+/- 13759 )",839832,"(+/- 12834 )",781494,"(+/- 16416 )",849184,"(+/- 19695 )",783430,"(+/- 12674 )",791916,"(+/- 17235 )"
