Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",724622,"(+/- 3180 )",765124,"(+/- 1970 )",819235,"(+/- 3970 )",704844,"(+/- 5014 )"
People,"Sex and Age",Male,359868,"(+/- 2886 )",369461,"(+/- 1931 )",404966,"(+/- 2985 )",342385,"(+/- 3488 )"
People,"Sex and Age",Female,364754,"(+/- 2708 )",395663,"(+/- 2090 )",414269,"(+/- 3499 )",362459,"(+/- 3573 )"
People,"Sex and Age","Under 5 years",43867,"(+/- 1212 )",47252,"(+/- 1082 )",54442,"(+/- 1389 )",42531,"(+/- 1852 )"
People,"Sex and Age","5 to 9 years",42600,"(+/- 2762 )",49555,"(+/- 2651 )",56261,"(+/- 3070 )",44107,"(+/- 3126 )"
People,"Sex and Age","10 to 14 years",52901,"(+/- 2941 )",49197,"(+/- 2579 )",56375,"(+/- 3190 )",45029,"(+/- 2631 )"
People,"Sex and Age","15 to 19 years",46988,"(+/- 2242 )",52042,"(+/- 2178 )",58561,"(+/- 2418 )",50430,"(+/- 3285 )"
People,"Sex and Age","20 to 24 years",41098,"(+/- 2249 )",53731,"(+/- 1815 )",61115,"(+/- 2464 )",43804,"(+/- 2713 )"
People,"Sex and Age","25 to 34 years",92226,"(+/- 2918 )",104256,"(+/- 2256 )",117140,"(+/- 2683 )",79315,"(+/- 4273 )"
People,"Sex and Age","35 to 44 years",88669,"(+/- 2797 )",96178,"(+/- 1993 )",103568,"(+/- 2218 )",78638,"(+/- 2617 )"
People,"Sex and Age","45 to 54 years",88986,"(+/- 2604 )",95228,"(+/- 1979 )",100751,"(+/- 2327 )",85378,"(+/- 2838 )"
People,"Sex and Age","55 to 59 years",49191,"(+/- 2248 )",50591,"(+/- 2521 )",47973,"(+/- 3410 )",48279,"(+/- 2910 )"
People,"Sex and Age","60 to 64 years",46941,"(+/- 2194 )",45256,"(+/- 2422 )",45003,"(+/- 3024 )",50696,"(+/- 2434 )"
