Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Sex and Age","Total population",711282,"(+/- 5829 )",722370,"(+/- 5560 )",748104,"(+/- 6290 )",754525,"(+/- 7273 )",730955,"(+/- 8907 )",777985,"(+/- 11689 )",753640,"(+/- 10495 )",717107,"(+/- 10856 )",775148,"(+/- 7213 )",761485,"(+/- 4897 )",762290,"(+/- 8822 )",764043,"(+/- 7294 )",764304,"(+/- 4454 )",759415,"(+/- 9210 )",789174,"(+/- 7724 )",749967,"(+/- 13450 )",777468,"(+/- 13510 )",750295,"(+/- 13343 )",763028,"(+/- 15176 )",739352,"(+/- 6503 )",713625,"(+/- 16164 )",771095,"(+/- 14653 )",747852,"(+/- 14607 )",738707,"(+/- 1684 )",716257,"(+/- 11777 )",728927,"(+/- 4075 )",705509,"(+/- 8779 )",709450,"(+/- 16156 )",707741,"(+/- 17829 )",766513,"(+/- 21466 )",751527,"(+/- 11068 )",716199,"(+/- 11402 )",704818,"(+/- 14185 )",748812,"(+/- 15668 )",769589,"(+/- 11288 )",752138,"(+/- 7316 )",738174,"(+/- 20109 )",716331,"(+/- 13412 )",726541,"(+/- 9167 )",716470,"(+/- 13855 )",775626,"(+/- 7188 )",826801,"(+/- 9149 )",753696,"(+/- 15690 )",725177,"(+/- 15263 )",797608,"(+/- 8657 )",735139,"(+/- 9991 )",710853,"(+/- 11183 )",719486,"(+/- 7055 )",731513,"(+/- 10614 )",751551,"(+/- 11954 )",747510,"(+/- 16768 )",767172,"(+/- 16888 )",796701,"(+/- 18807 )"
People,"Sex and Age",Male,357637,"(+/- 4167 )",357376,"(+/- 4340 )",370187,"(+/- 4740 )",377608,"(+/- 4548 )",359113,"(+/- 6509 )",380830,"(+/- 7607 )",368543,"(+/- 7141 )",361408,"(+/- 7256 )",380595,"(+/- 5431 )",380532,"(+/- 3622 )",372843,"(+/- 5716 )",391594,"(+/- 5449 )",369844,"(+/- 4606 )",378809,"(+/- 6721 )",391330,"(+/- 6061 )",378254,"(+/- 8015 )",404033,"(+/- 8584 )",375370,"(+/- 8630 )",379974,"(+/- 9424 )",370199,"(+/- 4074 )",375964,"(+/- 9984 )",377846,"(+/- 8671 )",380613,"(+/- 8279 )",371237,"(+/- 1571 )",352672,"(+/- 8444 )",362214,"(+/- 2343 )",339827,"(+/- 6429 )",348013,"(+/- 9145 )",355538,"(+/- 10734 )",375891,"(+/- 12660 )",368078,"(+/- 8163 )",348260,"(+/- 7214 )",345390,"(+/- 9328 )",384917,"(+/- 11211 )",382031,"(+/- 8484 )",377080,"(+/- 5785 )",362793,"(+/- 11410 )",351312,"(+/- 8795 )",354671,"(+/- 6254 )",360732,"(+/- 9290 )",381077,"(+/- 6676 )",416463,"(+/- 7004 )",365298,"(+/- 9821 )",354717,"(+/- 10046 )",390442,"(+/- 6671 )",369917,"(+/- 7177 )",350075,"(+/- 8322 )",357234,"(+/- 5746 )",365247,"(+/- 8306 )",372451,"(+/- 8554 )",378733,"(+/- 9924 )",393839,"(+/- 11326 )",396902,"(+/- 12250 )"
People,"Sex and Age",Female,353645,"(+/- 4449 )",364994,"(+/- 3925 )",377917,"(+/- 4843 )",376917,"(+/- 5334 )",371842,"(+/- 5696 )",397155,"(+/- 7545 )",385097,"(+/- 7195 )",355699,"(+/- 8295 )",394553,"(+/- 4957 )",380953,"(+/- 3623 )",389447,"(+/- 5332 )",372449,"(+/- 4188 )",394460,"(+/- 4916 )",380606,"(+/- 5319 )",397844,"(+/- 5457 )",371713,"(+/- 7920 )",373435,"(+/- 8509 )",374925,"(+/- 8207 )",383054,"(+/- 8791 )",369153,"(+/- 3370 )",337661,"(+/- 9286 )",393249,"(+/- 8622 )",367239,"(+/- 8957 )",367470,"(+/- 1679 )",363585,"(+/- 8140 )",366713,"(+/- 2950 )",365682,"(+/- 7200 )",361437,"(+/- 10320 )",352203,"(+/- 9818 )",390622,"(+/- 11506 )",383449,"(+/- 7961 )",367939,"(+/- 7905 )",359428,"(+/- 8919 )",363895,"(+/- 7243 )",387558,"(+/- 7875 )",375058,"(+/- 6423 )",375381,"(+/- 11828 )",365019,"(+/- 8831 )",371870,"(+/- 6713 )",355738,"(+/- 8925 )",394549,"(+/- 6384 )",410338,"(+/- 7103 )",388398,"(+/- 10311 )",370460,"(+/- 9629 )",407166,"(+/- 7786 )",365222,"(+/- 7322 )",360778,"(+/- 8224 )",362252,"(+/- 5645 )",366266,"(+/- 9121 )",379100,"(+/- 7612 )",368777,"(+/- 9724 )",373333,"(+/- 8836 )",399799,"(+/- 10634 )"
People,"Sex and Age","Under 5 years",35578,"(+/- 1622 )",33269,"(+/- 1670 )",49810,"(+/- 2104 )",35893,"(+/- 1666 )",40865,"(+/- 2585 )",54012,"(+/- 3409 )",43848,"(+/- 2985 )",53385,"(+/- 3792 )",51656,"(+/- 2613 )",53135,"(+/- 1835 )",42060,"(+/- 2361 )",36065,"(+/- 1148 )",39334,"(+/- 2883 )",39092,"(+/- 1572 )",49625,"(+/- 2785 )",61074,"(+/- 3108 )",47633,"(+/- 3369 )",39537,"(+/- 3860 )",48153,"(+/- 3306 )",46726,"(+/- 1457 )",58205,"(+/- 4147 )",60473,"(+/- 3462 )",51441,"(+/- 4236 )",40930,"(+/- 702 )",49441,"(+/- 4450 )",42622,"(+/- 1454 )",38730,"(+/- 3142 )",29340,"(+/- 3439 )",43743,"(+/- 4280 )",43773,"(+/- 4046 )",53788,"(+/- 3931 )",41175,"(+/- 3626 )",36008,"(+/- 3871 )",39587,"(+/- 3645 )",51285,"(+/- 3889 )",42471,"(+/- 4069 )",41213,"(+/- 4051 )",46677,"(+/- 3971 )",45906,"(+/- 4001 )",46324,"(+/- 3646 )",54539,"(+/- 3615 )",55566,"(+/- 3922 )",51205,"(+/- 4338 )",54514,"(+/- 5125 )",47418,"(+/- 3892 )",50678,"(+/- 3135 )",40276,"(+/- 3318 )",32386,"(+/- 3260 )",41082,"(+/- 3977 )",48038,"(+/- 3713 )",51312,"(+/- 3618 )",47623,"(+/- 3955 )",49974,"(+/- 3988 )"
People,"Sex and Age","5 to 9 years",39118,"(+/- 3431 )",41847,"(+/- 3205 )",48577,"(+/- 2819 )",43685,"(+/- 3416 )",38662,"(+/- 3078 )",51188,"(+/- 3505 )",45229,"(+/- 3492 )",58479,"(+/- 4851 )",59717,"(+/- 3553 )",53578,"(+/- 3517 )",42615,"(+/- 3297 )",25629,"(+/- 2527 )",36490,"(+/- 3055 )",40003,"(+/- 3022 )",49344,"(+/- 3221 )",60421,"(+/- 3787 )",40760,"(+/- 3032 )",45103,"(+/- 3387 )",43269,"(+/- 3814 )",50549,"(+/- 3041 )",58131,"(+/- 4678 )",62877,"(+/- 4440 )",50690,"(+/- 3812 )",39746,"(+/- 2880 )",44364,"(+/- 3218 )",48348,"(+/- 3386 )",33422,"(+/- 2968 )",30859,"(+/- 3155 )",41458,"(+/- 3677 )",39206,"(+/- 3991 )",50386,"(+/- 4017 )",41951,"(+/- 3626 )",35547,"(+/- 3570 )",36547,"(+/- 3156 )",52188,"(+/- 3458 )",38253,"(+/- 3364 )",37385,"(+/- 3258 )",38790,"(+/- 3600 )",38123,"(+/- 3268 )",54282,"(+/- 3469 )",54440,"(+/- 3487 )",64756,"(+/- 4870 )",50518,"(+/- 4027 )",53838,"(+/- 4294 )",41222,"(+/- 3174 )",47513,"(+/- 3276 )",41729,"(+/- 3590 )",34485,"(+/- 3295 )",41021,"(+/- 4642 )",47090,"(+/- 4248 )",46904,"(+/- 3476 )",43821,"(+/- 3944 )",44741,"(+/- 4082 )"
People,"Sex and Age","10 to 14 years",40919,"(+/- 3378 )",42486,"(+/- 2876 )",50399,"(+/- 3259 )",46832,"(+/- 3383 )",46157,"(+/- 3097 )",56806,"(+/- 3716 )",49957,"(+/- 3388 )",51137,"(+/- 4478 )",62165,"(+/- 3326 )",60197,"(+/- 3120 )",48616,"(+/- 3364 )",27262,"(+/- 2390 )",40939,"(+/- 3400 )",42057,"(+/- 3322 )",55100,"(+/- 3437 )",67054,"(+/- 4459 )",47025,"(+/- 4387 )",52495,"(+/- 4024 )",50362,"(+/- 3951 )",50791,"(+/- 3102 )",64712,"(+/- 4562 )",61579,"(+/- 4002 )",65895,"(+/- 5364 )",44809,"(+/- 2869 )",56875,"(+/- 4158 )",49213,"(+/- 3154 )",39915,"(+/- 3495 )",30391,"(+/- 3467 )",46611,"(+/- 3534 )",40342,"(+/- 3920 )",59303,"(+/- 4945 )",49118,"(+/- 3439 )",38219,"(+/- 3456 )",39509,"(+/- 3433 )",59112,"(+/- 4946 )",39136,"(+/- 3763 )",40641,"(+/- 3678 )",46850,"(+/- 4104 )",47814,"(+/- 3926 )",61929,"(+/- 4478 )",61578,"(+/- 3982 )",71607,"(+/- 4591 )",48220,"(+/- 3982 )",60814,"(+/- 4627 )",51867,"(+/- 4428 )",54473,"(+/- 3645 )",41193,"(+/- 3512 )",41737,"(+/- 2945 )",49871,"(+/- 4795 )",52578,"(+/- 4026 )",58415,"(+/- 4419 )",38515,"(+/- 3405 )",44499,"(+/- 4677 )"
People,"Sex and Age","15 to 19 years",40511,"(+/- 1942 )",44420,"(+/- 2466 )",55547,"(+/- 2998 )",44108,"(+/- 2496 )",42430,"(+/- 3042 )",48911,"(+/- 2806 )",47542,"(+/- 2455 )",47916,"(+/- 3700 )",59280,"(+/- 2997 )",55428,"(+/- 2132 )",44970,"(+/- 2439 )",22732,"(+/- 2069 )",45114,"(+/- 2584 )",41880,"(+/- 2497 )",44819,"(+/- 2754 )",59811,"(+/- 2795 )",38745,"(+/- 3052 )",43666,"(+/- 2609 )",50671,"(+/- 2788 )",58289,"(+/- 1869 )",55009,"(+/- 3218 )",58322,"(+/- 3337 )",52345,"(+/- 3190 )",60790,"(+/- 1910 )",51678,"(+/- 3672 )",49150,"(+/- 1345 )",42025,"(+/- 2758 )",28962,"(+/- 2755 )",47769,"(+/- 3607 )",42900,"(+/- 4051 )",56411,"(+/- 3643 )",49890,"(+/- 3897 )",45932,"(+/- 3593 )",39380,"(+/- 2669 )",61650,"(+/- 3946 )",42428,"(+/- 3749 )",41197,"(+/- 3488 )",44593,"(+/- 3241 )",42705,"(+/- 3019 )",52458,"(+/- 3448 )",66004,"(+/- 4433 )",61818,"(+/- 4582 )",46717,"(+/- 3567 )",52090,"(+/- 2842 )",55077,"(+/- 3796 )",51023,"(+/- 2801 )",40171,"(+/- 3358 )",42326,"(+/- 3065 )",48154,"(+/- 4093 )",50005,"(+/- 3949 )",54512,"(+/- 3855 )",40877,"(+/- 4019 )",46312,"(+/- 3637 )"
People,"Sex and Age","20 to 24 years",49359,"(+/- 2563 )",41360,"(+/- 2671 )",63610,"(+/- 2767 )",37514,"(+/- 2709 )",43702,"(+/- 2966 )",50374,"(+/- 3030 )",44780,"(+/- 2890 )",47211,"(+/- 3401 )",53025,"(+/- 3186 )",51449,"(+/- 2292 )",45608,"(+/- 2315 )",37124,"(+/- 2473 )",53705,"(+/- 3125 )",43527,"(+/- 2598 )",42290,"(+/- 3072 )",57079,"(+/- 2853 )",40396,"(+/- 3978 )",40839,"(+/- 3569 )",53817,"(+/- 4072 )",60138,"(+/- 2548 )",61045,"(+/- 3934 )",52759,"(+/- 3310 )",45192,"(+/- 3795 )",78636,"(+/- 1484 )",46276,"(+/- 3847 )",49452,"(+/- 1644 )",38129,"(+/- 3425 )",38770,"(+/- 3613 )",53505,"(+/- 3658 )",52200,"(+/- 4382 )",56079,"(+/- 3551 )",55306,"(+/- 3930 )",39613,"(+/- 3995 )",52711,"(+/- 3211 )",67984,"(+/- 3947 )",40806,"(+/- 3402 )",62680,"(+/- 5380 )",48251,"(+/- 3541 )",52322,"(+/- 4147 )",54828,"(+/- 3669 )",70723,"(+/- 4625 )",51003,"(+/- 4108 )",51990,"(+/- 4204 )",50225,"(+/- 3537 )",52627,"(+/- 4088 )",60378,"(+/- 4337 )",50454,"(+/- 4226 )",41890,"(+/- 3348 )",48201,"(+/- 3995 )",48410,"(+/- 3982 )",59755,"(+/- 4234 )",56035,"(+/- 5087 )",65306,"(+/- 5427 )"
People,"Sex and Age","25 to 34 years",89957,"(+/- 3284 )",74703,"(+/- 3393 )",107369,"(+/- 3883 )",83032,"(+/- 3621 )",98840,"(+/- 4100 )",141243,"(+/- 4856 )",99062,"(+/- 4642 )",97271,"(+/- 5545 )",100177,"(+/- 4394 )",107199,"(+/- 3140 )",105959,"(+/- 3533 )",188821,"(+/- 3781 )",144531,"(+/- 4675 )",117558,"(+/- 4726 )",106212,"(+/- 4811 )",115983,"(+/- 5284 )",155323,"(+/- 6760 )",97084,"(+/- 5060 )",113634,"(+/- 5642 )",102308,"(+/- 2575 )",109660,"(+/- 4782 )",114685,"(+/- 5260 )",111043,"(+/- 4281 )",93591,"(+/- 1174 )",89989,"(+/- 5918 )",98973,"(+/- 2140 )",101136,"(+/- 5771 )",133134,"(+/- 7265 )",117192,"(+/- 6177 )",115520,"(+/- 6776 )",117822,"(+/- 5602 )",101695,"(+/- 4576 )",101051,"(+/- 6328 )",161955,"(+/- 7706 )",124133,"(+/- 5605 )",92650,"(+/- 5188 )",141692,"(+/- 7357 )",110606,"(+/- 5642 )",107269,"(+/- 5482 )",119136,"(+/- 5659 )",128553,"(+/- 5052 )",111091,"(+/- 5500 )",118978,"(+/- 6030 )",116764,"(+/- 6106 )",104477,"(+/- 6062 )",129938,"(+/- 5549 )",114042,"(+/- 6297 )",97736,"(+/- 5877 )",93186,"(+/- 6560 )",101648,"(+/- 6126 )",127171,"(+/- 6070 )",132934,"(+/- 6995 )",148682,"(+/- 8336 )"
People,"Sex and Age","35 to 44 years",75632,"(+/- 2393 )",88507,"(+/- 2374 )",87626,"(+/- 3571 )",92796,"(+/- 2854 )",95211,"(+/- 4260 )",105405,"(+/- 4558 )",102385,"(+/- 4223 )",88098,"(+/- 4901 )",98722,"(+/- 3968 )",99560,"(+/- 3392 )",99784,"(+/- 4091 )",125620,"(+/- 2540 )",111870,"(+/- 4038 )",106389,"(+/- 3665 )",124496,"(+/- 4268 )",95020,"(+/- 4101 )",115179,"(+/- 4640 )",108277,"(+/- 5044 )",108244,"(+/- 4670 )",93091,"(+/- 2107 )",100774,"(+/- 5196 )",94048,"(+/- 3911 )",93774,"(+/- 4765 )",82694,"(+/- 1203 )",89169,"(+/- 5154 )",91044,"(+/- 2239 )",90216,"(+/- 4788 )",104044,"(+/- 6227 )",98197,"(+/- 5606 )",108663,"(+/- 6227 )",97073,"(+/- 5595 )",94251,"(+/- 4994 )",92071,"(+/- 5733 )",113057,"(+/- 6348 )",107199,"(+/- 5002 )",86689,"(+/- 4517 )",102064,"(+/- 4886 )",90479,"(+/- 4192 )",88626,"(+/- 5160 )",102358,"(+/- 4628 )",96903,"(+/- 4522 )",115356,"(+/- 4839 )",104611,"(+/- 5322 )",100886,"(+/- 5385 )",105061,"(+/- 5447 )",99304,"(+/- 4961 )",97272,"(+/- 5236 )",91266,"(+/- 4948 )",92282,"(+/- 6598 )",99213,"(+/- 5892 )",92207,"(+/- 4489 )",107533,"(+/- 5279 )",114161,"(+/- 6070 )"
