Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",841497,"(+/- 5300 )",812357,"(+/- 5440 )",753595,"(+/- 4571 )",836061,"(+/- 6128 )",815466,"(+/- 1838 )",835273,"(+/- 8003 )",801315,"(+/- 8198 )"
People,"Sex and Age",Male,420311,"(+/- 3437 )",408573,"(+/- 4400 )",377844,"(+/- 4128 )",424597,"(+/- 4285 )",417279,"(+/- 1982 )",415318,"(+/- 5006 )",400839,"(+/- 4660 )"
People,"Sex and Age",Female,421186,"(+/- 3575 )",403784,"(+/- 4497 )",375751,"(+/- 4002 )",411464,"(+/- 4398 )",398187,"(+/- 2087 )",419955,"(+/- 4979 )",400476,"(+/- 5566 )"
People,"Sex and Age","Under 5 years",50157,"(+/- 1338 )",39270,"(+/- 1921 )",41344,"(+/- 2036 )",53058,"(+/- 1826 )",51847,"(+/- 915 )",51836,"(+/- 2063 )",48130,"(+/- 2103 )"
People,"Sex and Age","5 to 9 years",47008,"(+/- 3147 )",41254,"(+/- 3068 )",44991,"(+/- 2656 )",58367,"(+/- 2920 )",52458,"(+/- 2751 )",58528,"(+/- 2903 )",49539,"(+/- 3182 )"
People,"Sex and Age","10 to 14 years",43025,"(+/- 2938 )",49051,"(+/- 2771 )",48217,"(+/- 3063 )",60314,"(+/- 2885 )",52403,"(+/- 2548 )",58534,"(+/- 3277 )",52991,"(+/- 3108 )"
People,"Sex and Age","15 to 19 years",41459,"(+/- 1951 )",58392,"(+/- 2329 )",52322,"(+/- 3475 )",58465,"(+/- 2166 )",53216,"(+/- 1418 )",55733,"(+/- 2451 )",49246,"(+/- 1979 )"
People,"Sex and Age","20 to 24 years",49820,"(+/- 1675 )",71833,"(+/- 3014 )",44569,"(+/- 3634 )",46829,"(+/- 2526 )",61399,"(+/- 1246 )",49262,"(+/- 2573 )",50410,"(+/- 2270 )"
People,"Sex and Age","25 to 34 years",188387,"(+/- 2634 )",118425,"(+/- 4656 )",94030,"(+/- 4575 )",111821,"(+/- 3103 )",125689,"(+/- 1344 )",120559,"(+/- 3782 )",130745,"(+/- 3692 )"
People,"Sex and Age","35 to 44 years",130703,"(+/- 2224 )",102897,"(+/- 2849 )",92466,"(+/- 3265 )",112913,"(+/- 3288 )",103411,"(+/- 1791 )",123553,"(+/- 3072 )",115445,"(+/- 2656 )"
People,"Sex and Age","45 to 54 years",99453,"(+/- 1960 )",101782,"(+/- 2854 )",88154,"(+/- 2747 )",110243,"(+/- 3519 )",98178,"(+/- 1770 )",115410,"(+/- 3396 )",96998,"(+/- 3044 )"
People,"Sex and Age","55 to 59 years",46567,"(+/- 2649 )",52115,"(+/- 3488 )",53466,"(+/- 3325 )",53813,"(+/- 2901 )",52595,"(+/- 2664 )",52745,"(+/- 3192 )",50866,"(+/- 3397 )"
People,"Sex and Age","60 to 64 years",43924,"(+/- 2485 )",55249,"(+/- 3316 )",53850,"(+/- 3454 )",53435,"(+/- 2856 )",48957,"(+/- 2948 )",47931,"(+/- 2777 )",45657,"(+/- 3225 )"
People,"Sex and Age","65 to 74 years",62467,"(+/- 1353 )",78696,"(+/- 2373 )",85111,"(+/- 1885 )",72033,"(+/- 2270 )",72699,"(+/- 1365 )",64394,"(+/- 1638 )",67018,"(+/- 2125 )"
People,"Sex and Age","75 to 84 years",27091,"(+/- 1820 )",31782,"(+/- 2083 )",41406,"(+/- 2160 )",31822,"(+/- 1730 )",29821,"(+/- 1675 )",25936,"(+/- 1910 )",30173,"(+/- 1702 )"
People,"Sex and Age","85 years and over",11436,"(+/- 1542 )",11611,"(+/- 1477 )",13669,"(+/- 1600 )",12948,"(+/- 1424 )",12793,"(+/- 1454 )",10852,"(+/- 1441 )",14097,"(+/- 1543 )"
People,"Sex and Age","Median age (years)",35.1,"(+/- 0.3 )",37.7,"(+/- 0.5 )",40.4,"(+/- 0.6 )",37.3,"(+/- 0.3 )",36.0,"(+/- 0.3 )",37.0,"(+/- 0.5 )",36.4,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",676675,"(+/- 4177 )",655225,"(+/- 4994 )",590804,"(+/- 4737 )",628396,"(+/- 5208 )",627818,"(+/- 1952 )",629193,"(+/- 6582 )",620715,"(+/- 6695 )"
People,"Sex and Age","65 years and over",100994,"(+/- 1618 )",122089,"(+/- 2718 )",140186,"(+/- 2406 )",116803,"(+/- 2336 )",115313,"(+/- 1443 )",101182,"(+/- 2660 )",111288,"(+/- 2381 )"
People,Race,"Total population",841497,"(+/- 5300 )",812357,"(+/- 5440 )",753595,"(+/- 4571 )",836061,"(+/- 6128 )",815466,"(+/- 1838 )",835273,"(+/- 8003 )",801315,"(+/- 8198 )"
People,Race,"One race",810034,"(+/- 6804 )",783875,"(+/- 5622 )",737554,"(+/- 5017 )",807232,"(+/- 6936 )",767361,"(+/- 5244 )",795042,"(+/- 8564 )",766996,"(+/- 9267 )"
People,Race,White,658995,"(+/- 8455 )",733767,"(+/- 6480 )",675510,"(+/- 7229 )",749846,"(+/- 7508 )",661068,"(+/- 5510 )",614542,"(+/- 10693 )",696949,"(+/- 10788 )"
People,Race,"Black or African American",65739,"(+/- 3519 )",7708,"(+/- 1489 )",7103,"(+/- 1458 )",13167,"(+/- 1990 )",48818,"(+/- 3278 )",81416,"(+/- 4672 )",13627,"(+/- 2297 )"
People,Race,"American Indian and Alaska Native",7236,"(+/- 2105 )",3519,"(+/- 1185 )",17765,"(+/- 2440 )",5711,"(+/- 1572 )",6866,"(+/- 1919 )",7607,"(+/- 2571 )",6442,"(+/- 1365 )"
People,Race,Asian,29889,"(+/- 2084 )",25225,"(+/- 1908 )",6997,"(+/- 1275 )",20314,"(+/- 2609 )",21569,"(+/- 1929 )",51858,"(+/- 3022 )",24425,"(+/- 2789 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1253,"(+/- 320 )",265,"(+/- 165 )",160,"(+/- 170 )",1339,"(+/- 1078 )",2631,"(+/- 781 )",1486,"(+/- 450 )",451,"(+/- 478 )"
People,Race,"Some other race",46922,"(+/- 7636 )",13391,"(+/- 3814 )",30019,"(+/- 4923 )",16855,"(+/- 3372 )",26409,"(+/- 5006 )",38133,"(+/- 6051 )",25102,"(+/- 4887 )"
People,Race,"Two or more races",31463,"(+/- 3918 )",28482,"(+/- 3155 )",16041,"(+/- 2936 )",28829,"(+/- 3871 )",48105,"(+/- 5104 )",40231,"(+/- 4831 )",34319,"(+/- 6989 )"
People,"Hispanic or Latino and Race","Total population",841497,"(+/- 5300 )",812357,"(+/- 5440 )",753595,"(+/- 4571 )",836061,"(+/- 6128 )",815466,"(+/- 1838 )",835273,"(+/- 8003 )",801315,"(+/- 8198 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",227592,"(+/- 3278 )",92806,"(+/- 4601 )",187724,"(+/- 3802 )",178614,"(+/- 4240 )",135271,"(+/- 1348 )",177001,"(+/- 5374 )",236119,"(+/- 6501 )"
People,"Hispanic or Latino and Race",Mexican,172943,"(+/- 7016 )",67517,"(+/- 5459 )",133163,"(+/- 6232 )",144809,"(+/- 4767 )",83878,"(+/- 6199 )",127857,"(+/- 7233 )",181714,"(+/- 7607 )"
People,"Hispanic or Latino and Race","Puerto Rican",4776,"(+/- 1668 )",2705,"(+/- 1428 )",4593,"(+/- 1909 )",3670,"(+/- 1509 )",10146,"(+/- 2966 )",8234,"(+/- 3094 )",4164,"(+/- 2613 )"
People,"Hispanic or Latino and Race",Cuban,1823,"(+/- 996 )",1055,"(+/- 551 )",835,"(+/- 686 )",1948,"(+/- 1252 )",2897,"(+/- 1770 )",1548,"(+/- 1136 )",2077,"(+/- 937 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",48050,"(+/- 6014 )",21529,"(+/- 4825 )",49133,"(+/- 5689 )",28187,"(+/- 3327 )",38350,"(+/- 5304 )",39362,"(+/- 5822 )",48164,"(+/- 6484 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",613905,"(+/- 5025 )",719551,"(+/- 6548 )",565871,"(+/- 4084 )",657447,"(+/- 6386 )",680195,"(+/- 2111 )",658272,"(+/- 8063 )",565196,"(+/- 7559 )"
People,"Place of Birth","Total population",841497,"(+/- 5300 )",812357,"(+/- 5440 )",753595,"(+/- 4571 )",836061,"(+/- 6128 )",815466,"(+/- 1838 )",835273,"(+/- 8003 )",801315,"(+/- 8198 )"
People,"Place of Birth",Native,731973,"(+/- 7696 )",745959,"(+/- 7146 )",707079,"(+/- 5978 )",774173,"(+/- 7357 )",761388,"(+/- 5088 )",712053,"(+/- 11428 )",713758,"(+/- 9590 )"
People,"Place of Birth","Born in United States",718108,"(+/- 8143 )",734304,"(+/- 7578 )",698825,"(+/- 5739 )",761402,"(+/- 7792 )",736306,"(+/- 5800 )",696240,"(+/- 11740 )",700441,"(+/- 9458 )"
People,"Place of Birth","State of residence",339923,"(+/- 7817 )",288202,"(+/- 8937 )",363466,"(+/- 9157 )",393651,"(+/- 9627 )",260928,"(+/- 9280 )",353673,"(+/- 10159 )",388441,"(+/- 10283 )"
People,"Place of Birth","Different state",378185,"(+/- 7320 )",446102,"(+/- 8934 )",335359,"(+/- 9105 )",367751,"(+/- 9423 )",475378,"(+/- 9309 )",342567,"(+/- 9477 )",312000,"(+/- 8084 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",13865,"(+/- 2507 )",11655,"(+/- 1954 )",8254,"(+/- 1621 )",12771,"(+/- 2679 )",25082,"(+/- 2916 )",15813,"(+/- 2657 )",13317,"(+/- 3493 )"
People,"Place of Birth","Foreign born",109524,"(+/- 7049 )",66398,"(+/- 4968 )",46516,"(+/- 4380 )",61888,"(+/- 4284 )",54078,"(+/- 4684 )",123220,"(+/- 7906 )",87557,"(+/- 6690 )"
People,Ancestry,"Total population",841497,"(+/- 5300 )",812357,"(+/- 5440 )",753595,"(+/- 4571 )",836061,"(+/- 6128 )",815466,"(+/- 1838 )",835273,"(+/- 8003 )",801315,"(+/- 8198 )"
People,Ancestry,American,24190,"(+/- 3099 )",26658,"(+/- 3967 )",33367,"(+/- 3659 )",32150,"(+/- 3872 )",29822,"(+/- 3962 )",31900,"(+/- 4588 )",22333,"(+/- 2848 )"
People,Ancestry,Arab,7742,"(+/- 2930 )",4346,"(+/- 2046 )",2114,"(+/- 2033 )",1975,"(+/- 932 )",1371,"(+/- 687 )",5229,"(+/- 1663 )",2192,"(+/- 926 )"
People,Ancestry,Czech,4334,"(+/- 1223 )",7436,"(+/- 2172 )",2692,"(+/- 1034 )",4645,"(+/- 1158 )",5323,"(+/- 2127 )",5046,"(+/- 1558 )",6435,"(+/- 1580 )"
People,Ancestry,Danish,5921,"(+/- 1478 )",8073,"(+/- 1752 )",3516,"(+/- 1128 )",6195,"(+/- 1518 )",4373,"(+/- 1384 )",5085,"(+/- 1301 )",4898,"(+/- 1346 )"
People,Ancestry,Dutch,12883,"(+/- 1686 )",15994,"(+/- 2407 )",11833,"(+/- 2087 )",12994,"(+/- 2050 )",13357,"(+/- 2621 )",11928,"(+/- 2043 )",10795,"(+/- 1625 )"
People,Ancestry,English,68736,"(+/- 4810 )",96569,"(+/- 5875 )",73817,"(+/- 5728 )",83325,"(+/- 5876 )",77518,"(+/- 5603 )",69422,"(+/- 4562 )",62244,"(+/- 4553 )"
People,Ancestry,"French (except Basque)",18803,"(+/- 2674 )",23372,"(+/- 3159 )",17344,"(+/- 2477 )",20059,"(+/- 2800 )",20022,"(+/- 3005 )",20161,"(+/- 3625 )",17973,"(+/- 1904 )"
People,Ancestry,"French Canadian",4499,"(+/- 1280 )",6278,"(+/- 1375 )",2345,"(+/- 684 )",2430,"(+/- 952 )",4494,"(+/- 1303 )",3958,"(+/- 1252 )",3579,"(+/- 1075 )"
People,Ancestry,German,123325,"(+/- 5898 )",170426,"(+/- 9094 )",120317,"(+/- 6999 )",174839,"(+/- 7708 )",154276,"(+/- 9221 )",125821,"(+/- 5629 )",142400,"(+/- 7364 )"
People,Ancestry,Greek,5506,"(+/- 2010 )",2702,"(+/- 910 )",2339,"(+/- 974 )",2723,"(+/- 1013 )",2420,"(+/- 844 )",3069,"(+/- 1505 )",2352,"(+/- 1055 )"
People,Ancestry,Hungarian,4479,"(+/- 1186 )",5232,"(+/- 1665 )",1626,"(+/- 760 )",3100,"(+/- 1136 )",5002,"(+/- 1403 )",3161,"(+/- 988 )",2849,"(+/- 899 )"
People,Ancestry,Irish,87588,"(+/- 5895 )",99197,"(+/- 5336 )",85887,"(+/- 6312 )",87226,"(+/- 6457 )",83955,"(+/- 5164 )",81567,"(+/- 5216 )",84908,"(+/- 6113 )"
People,Ancestry,Italian,37421,"(+/- 3510 )",43593,"(+/- 3955 )",34257,"(+/- 5371 )",35756,"(+/- 3773 )",41252,"(+/- 5365 )",37305,"(+/- 4463 )",39006,"(+/- 4408 )"
People,Ancestry,Lithuanian,2295,"(+/- 1038 )",2479,"(+/- 825 )",391,"(+/- 264 )",1916,"(+/- 850 )",1137,"(+/- 671 )",1554,"(+/- 706 )",1689,"(+/- 657 )"
People,Ancestry,Norwegian,15444,"(+/- 2950 )",22890,"(+/- 2899 )",13667,"(+/- 2248 )",17724,"(+/- 2370 )",16457,"(+/- 2523 )",18132,"(+/- 2802 )",15341,"(+/- 2849 )"
People,Ancestry,Polish,21450,"(+/- 2845 )",24377,"(+/- 3181 )",13991,"(+/- 2724 )",17154,"(+/- 2562 )",20382,"(+/- 3525 )",19535,"(+/- 2703 )",16608,"(+/- 2162 )"
People,Ancestry,Portuguese,1846,"(+/- 838 )",1340,"(+/- 838 )",1520,"(+/- 588 )",1318,"(+/- 669 )",2036,"(+/- 1178 )",1065,"(+/- 439 )",2462,"(+/- 1594 )"
People,Ancestry,Russian,10744,"(+/- 1981 )",14249,"(+/- 3272 )",2996,"(+/- 1044 )",7242,"(+/- 1566 )",4399,"(+/- 1470 )",11201,"(+/- 2777 )",8581,"(+/- 1942 )"
People,Ancestry,Scotch-Irish,10125,"(+/- 1945 )",10150,"(+/- 2119 )",5522,"(+/- 1161 )",11672,"(+/- 2136 )",11931,"(+/- 2371 )",8260,"(+/- 1395 )",8410,"(+/- 1514 )"
People,Ancestry,Scottish,19512,"(+/- 2832 )",28079,"(+/- 2611 )",15771,"(+/- 2707 )",18330,"(+/- 2544 )",20314,"(+/- 3031 )",15890,"(+/- 2429 )",16563,"(+/- 2260 )"
People,Ancestry,Slovak,1464,"(+/- 544 )",1325,"(+/- 580 )",915,"(+/- 439 )",706,"(+/- 381 )",1313,"(+/- 599 )",1031,"(+/- 595 )",1402,"(+/- 941 )"
People,Ancestry,"Subsaharan African",14980,"(+/- 4258 )",1940,"(+/- 960 )",756,"(+/- 450 )",3412,"(+/- 1490 )",6663,"(+/- 2135 )",19146,"(+/- 4319 )",2109,"(+/- 904 )"
People,Ancestry,Swedish,16102,"(+/- 2351 )",22531,"(+/- 2634 )",15201,"(+/- 3137 )",20202,"(+/- 2564 )",16252,"(+/- 2810 )",13146,"(+/- 2264 )",18233,"(+/- 2831 )"
People,Ancestry,Swiss,3003,"(+/- 1040 )",5073,"(+/- 1221 )",4277,"(+/- 1666 )",2326,"(+/- 924 )",3246,"(+/- 1415 )",1967,"(+/- 602 )",2154,"(+/- 720 )"
People,Ancestry,Ukrainian,2224,"(+/- 608 )",2241,"(+/- 789 )",2007,"(+/- 1536 )",1423,"(+/- 635 )",1558,"(+/- 768 )",2540,"(+/- 946 )",1682,"(+/- 628 )"
People,Ancestry,Welsh,6151,"(+/- 1387 )",9497,"(+/- 2222 )",6195,"(+/- 1673 )",7161,"(+/- 1606 )",6408,"(+/- 1503 )",6085,"(+/- 1429 )",6234,"(+/- 1677 )"
