Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Sex and Age,Total population,715049,(+/- 6485 ),699657,(+/- 5425 ),712272,(+/- 7594 ),739090,(+/- 5104 ),706597,(+/- 9254 )
People,Sex and Age,Male,346571,(+/- 5021 ),348287,(+/- 4192 ),344386,(+/- 5674 ),359249,(+/- 4114 ),342040,(+/- 6851 )
People,Sex and Age,Female,368478,(+/- 3298 ),351370,(+/- 3436 ),367886,(+/- 4921 ),379841,(+/- 4058 ),364557,(+/- 6313 )
People,Sex and Age,Under 5 years,37939,(+/- 2035 ),29852,(+/- 1566 ),35206,(+/- 2296 ),41456,(+/- 1631 ),36771,(+/- 2865 )
People,Sex and Age,5 to 9 years,41328,(+/- 2702 ),32352,(+/- 2591 ),33809,(+/- 3273 ),44530,(+/- 2429 ),39860,(+/- 3097 )
People,Sex and Age,10 to 14 years,43150,(+/- 2619 ),40893,(+/- 2874 ),41271,(+/- 3389 ),50857,(+/- 2544 ),47855,(+/- 3876 )
People,Sex and Age,15 to 19 years,48333,(+/- 2380 ),48664,(+/- 2232 ),48439,(+/- 2591 ),53231,(+/- 2293 ),43627,(+/- 3483 )
People,Sex and Age,20 to 24 years,42843,(+/- 2102 ),52548,(+/- 2541 ),51151,(+/- 2906 ),44818,(+/- 2259 ),48486,(+/- 3930 )
People,Sex and Age,25 to 34 years,93877,(+/- 3221 ),88501,(+/- 3423 ),101414,(+/- 3184 ),84636,(+/- 2632 ),79463,(+/- 4283 )
People,Sex and Age,35 to 44 years,86709,(+/- 3407 ),76625,(+/- 2983 ),84191,(+/- 3372 ),92029,(+/- 2573 ),85019,(+/- 4264 )
People,Sex and Age,45 to 54 years,97926,(+/- 3054 ),95988,(+/- 2615 ),92542,(+/- 3613 ),109698,(+/- 2644 ),98488,(+/- 4256 )
People,Sex and Age,55 to 59 years,49790,(+/- 2722 ),54432,(+/- 2794 ),49693,(+/- 3167 ),53322,(+/- 2996 ),53283,(+/- 3255 )
People,Sex and Age,60 to 64 years,48302,(+/- 3686 ),53747,(+/- 2722 ),49676,(+/- 3163 ),49321,(+/- 3000 ),51577,(+/- 2998 )
People,Sex and Age,65 to 74 years,68742,(+/- 2616 ),73100,(+/- 2143 ),70713,(+/- 2590 ),62817,(+/- 2248 ),67688,(+/- 3799 )
People,Sex and Age,75 to 84 years,37694,(+/- 2126 ),35751,(+/- 1930 ),36677,(+/- 2888 ),34915,(+/- 2299 ),37354,(+/- 2586 )
People,Sex and Age,85 years and over,18416,(+/- 1992 ),17204,(+/- 1780 ),17490,(+/- 1751 ),17460,(+/- 1889 ),17126,(+/- 2261 )
People,Sex and Age,Median age (years),40.4,(+/- 0.8 ),42.5,(+/- 0.5 ),39.9,(+/- 0.7 ),40.6,(+/- 0.6 ),41.9,(+/- 0.7 )
People,Sex and Age,18 years and over,564374,(+/- 6167 ),570870,(+/- 4753 ),576540,(+/- 6852 ),570480,(+/- 4243 ),555335,(+/- 8066 )
People,Sex and Age,65 years and over,124852,(+/- 3679 ),126055,(+/- 2586 ),124880,(+/- 3839 ),115192,(+/- 3268 ),122168,(+/- 5457 )
People,Race,Total population,715049,(+/- 6485 ),699657,(+/- 5425 ),712272,(+/- 7594 ),739090,(+/- 5104 ),706597,(+/- 9254 )
