Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",967171,(*****)
People,"Sex and Age",Male,467924,"(+/- 1358 )"
People,"Sex and Age",Female,499247,"(+/- 1358 )"
People,"Sex and Age","Under 5 years",54335,"(+/- 334 )"
People,"Sex and Age","5 to 9 years",51828,"(+/- 2672 )"
People,"Sex and Age","10 to 14 years",62410,"(+/- 2746 )"
People,"Sex and Age","15 to 19 years",59345,"(+/- 1304 )"
People,"Sex and Age","20 to 24 years",59553,"(+/- 1582 )"
People,"Sex and Age","25 to 34 years",127399,"(+/- 1326 )"
People,"Sex and Age","35 to 44 years",112393,"(+/- 1254 )"
People,"Sex and Age","45 to 54 years",122887,"(+/- 1421 )"
People,"Sex and Age","55 to 59 years",68726,"(+/- 2938 )"
People,"Sex and Age","60 to 64 years",67539,"(+/- 2882 )"
People,"Sex and Age","65 to 74 years",107895,"(+/- 1169 )"
People,"Sex and Age","75 to 84 years",54257,"(+/- 2053 )"
People,"Sex and Age","85 years and over",18604,"(+/- 1812 )"
People,"Sex and Age","Median age (years)",41.1,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",764021,"(+/- 209 )"
People,"Sex and Age","65 years and over",180756,"(+/- 919 )"
People,Race,"Total population",967171,(*****)
People,Race,"One race",941343,"(+/- 3640 )"
People,Race,White,659781,"(+/- 4626 )"
People,Race,"Black or African American",217594,"(+/- 3408 )"
People,Race,"American Indian and Alaska Native",4397,"(+/- 1388 )"
People,Race,Asian,39023,"(+/- 1595 )"
People,Race,"Native Hawaiian and Other Pacific Islander",896,"(+/- 665 )"
People,Race,"Some other race",19652,"(+/- 4198 )"
People,Race,"Two or more races",25828,"(+/- 3640 )"
People,"Hispanic or Latino and Race","Total population",967171,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",91975,(*****)
People,"Hispanic or Latino and Race",Mexican,36782,"(+/- 5502 )"
People,"Hispanic or Latino and Race","Puerto Rican",24471,"(+/- 3800 )"
People,"Hispanic or Latino and Race",Cuban,1592,"(+/- 851 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",29130,"(+/- 5135 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",875196,(*****)
People,"Place of Birth","Total population",967171,(*****)
People,"Place of Birth",Native,875941,"(+/- 5598 )"
People,"Place of Birth","Born in United States",861150,"(+/- 5575 )"
People,"Place of Birth","State of residence",434235,"(+/- 12326 )"
