Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",702455,(*****)
People,"Sex and Age",Male,334208,"(+/- 1421 )"
People,"Sex and Age",Female,368247,"(+/- 1421 )"
People,"Sex and Age","Under 5 years",45490,"(+/- 4 )"
People,"Sex and Age","5 to 9 years",32857,"(+/- 2176 )"
People,"Sex and Age","10 to 14 years",33386,"(+/- 2148 )"
People,"Sex and Age","15 to 19 years",37568,"(+/- 1372 )"
People,"Sex and Age","20 to 24 years",52978,"(+/- 1409 )"
People,"Sex and Age","25 to 34 years",163467,"(+/- 635 )"
People,"Sex and Age","35 to 44 years",105535,"(+/- 227 )"
People,"Sex and Age","45 to 54 years",75526,"(+/- 304 )"
People,"Sex and Age","55 to 59 years",36869,"(+/- 2435 )"
People,"Sex and Age","60 to 64 years",33153,"(+/- 2493 )"
People,"Sex and Age","65 to 74 years",48833,"(+/- 952 )"
People,"Sex and Age","75 to 84 years",25892,"(+/- 1578 )"
People,"Sex and Age","85 years and over",10901,"(+/- 1405 )"
People,"Sex and Age","Median age (years)",33.9,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",575241,"(+/- 71 )"
People,"Sex and Age","65 years and over",85626,"(+/- 453 )"
People,Race,"Total population",702455,(*****)
People,Race,"One race",677288,"(+/- 2776 )"
People,Race,White,296747,"(+/- 4449 )"
People,Race,"Black or African American",319777,"(+/- 4282 )"
People,Race,"American Indian and Alaska Native",1932,"(+/- 589 )"
People,Race,Asian,27538,"(+/- 1377 )"
People,Race,"Native Hawaiian and Other Pacific Islander",397,"(+/- 171 )"
People,Race,"Some other race",30897,"(+/- 5312 )"
People,Race,"Two or more races",25167,"(+/- 2776 )"
People,"Hispanic or Latino and Race","Total population",702455,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",79249,(*****)
People,"Hispanic or Latino and Race",Mexican,12161,"(+/- 2783 )"
People,"Hispanic or Latino and Race","Puerto Rican",6146,"(+/- 1471 )"
People,"Hispanic or Latino and Race",Cuban,4776,"(+/- 1535 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",56166,"(+/- 3183 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",623206,(*****)
People,"Place of Birth","Total population",702455,(*****)
People,"Place of Birth",Native,604609,"(+/- 6609 )"
People,"Place of Birth","Born in United States",587702,"(+/- 6852 )"
People,"Place of Birth","State of residence",260576,"(+/- 7219 )"
People,"Place of Birth","Different state",327126,"(+/- 7117 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",16907,"(+/- 2835 )"
People,"Place of Birth","Foreign born",97846,"(+/- 6609 )"
People,Ancestry,"Total population",702455,(*****)
People,Ancestry,American,17370,"(+/- 2788 )"
People,Ancestry,Arab,5136,"(+/- 1545 )"
People,Ancestry,Czech,2295,"(+/- 934 )"
People,Ancestry,Danish,1558,"(+/- 573 )"
People,Ancestry,Dutch,4627,"(+/- 1553 )"
People,Ancestry,English,36283,"(+/- 3535 )"
People,Ancestry,"French (except Basque)",10166,"(+/- 2142 )"
People,Ancestry,"French Canadian",2114,"(+/- 747 )"
People,Ancestry,German,47446,"(+/- 3799 )"
People,Ancestry,Greek,2364,"(+/- 920 )"
People,Ancestry,Hungarian,2631,"(+/- 764 )"
People,Ancestry,Irish,45077,"(+/- 2537 )"
People,Ancestry,Italian,27316,"(+/- 2995 )"
People,Ancestry,Lithuanian,3429,"(+/- 1153 )"
People,Ancestry,Norwegian,3604,"(+/- 992 )"
People,Ancestry,Polish,13199,"(+/- 2096 )"
People,Ancestry,Portuguese,1734,"(+/- 836 )"
People,Ancestry,Russian,8424,"(+/- 1462 )"
People,Ancestry,Scotch-Irish,4431,"(+/- 1245 )"
People,Ancestry,Scottish,9371,"(+/- 1390 )"
People,Ancestry,Slovak,1255,"(+/- 642 )"
People,Ancestry,"Subsaharan African",25943,"(+/- 4241 )"
People,Ancestry,Swedish,6353,"(+/- 1678 )"
People,Ancestry,Swiss,1762,"(+/- 580 )"
People,Ancestry,Ukrainian,3240,"(+/- 1101 )"
People,Ancestry,Welsh,3958,"(+/- 1220 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",9625,"(+/- 2679 )"
People,"Veteran Status","Civilian population 18 years and over",572730,"(+/- 700 )"
People,"Veteran Status","Civilian veterans",23254,"(+/- 2045 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",692817,"(+/- 606 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",80368,"(+/- 4363 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",126932,"(+/- 388 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4383,"(+/- 1392 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",482425,"(+/- 886 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",45920,"(+/- 3838 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",83460,"(+/- 594 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",30065,"(+/- 2304 )"
People,"Residence 1 Year Ago","Population 1 year and over",693798,"(+/- 1873 )"
People,"Residence 1 Year Ago","Same house",568201,"(+/- 6930 )"
People,"Residence 1 Year Ago","Different house in the U.S.",116158,"(+/- 6459 )"
People,"Residence 1 Year Ago","Same county",68603,"(+/- 5579 )"
People,"Residence 1 Year Ago","Different county",47555,"(+/- 4011 )"
People,"Residence 1 Year Ago","Same state",0,"(+/- 213 )"
People,"Residence 1 Year Ago","Different state",47555,"(+/- 4011 )"
People,"Residence 1 Year Ago",Abroad,9439,"(+/- 1788 )"
Workers,"Employment Status","Population 16 years and over",586358,"(+/- 881 )"
Workers,"Employment Status","In labor force",414568,"(+/- 5658 )"
Workers,"Employment Status","Civilian labor force",412057,"(+/- 5570 )"
Workers,"Employment Status",Employed,380983,"(+/- 5579 )"
Workers,"Employment Status",Unemployed,31074,"(+/- 3282 )"
Workers,"Employment Status","Armed Forces",2511,"(+/- 700 )"
Workers,"Employment Status","Not in labor force",171790,"(+/- 5859 )"
Workers,"Employment Status","Civilian labor force",412057,"(+/- 5570 )"
Workers,"Employment Status","Unemployment Rate",7.5,"(+/- 0.8 )"
Workers,"Commuting to Work","Workers 16 years and over",378255,"(+/- 5717 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",129349,"(+/- 6208 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",19352,"(+/- 2740 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",130216,"(+/- 5441 )"
Workers,"Commuting to Work",Walked,50327,"(+/- 3557 )"
Workers,"Commuting to Work","Other means",25812,"(+/- 2673 )"
Workers,"Commuting to Work","Worked at home",23199,"(+/- 2792 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",30.9,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",380983,"(+/- 5579 )"
Workers,Occupation,"Management, business, science, and arts occupations",246486,"(+/- 5141 )"
Workers,Occupation,"Service occupations",55031,"(+/- 3800 )"
Workers,Occupation,"Sales and office occupations",56162,"(+/- 4161 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",9644,"(+/- 1923 )"
Workers,Occupation,"Production, transportation, and material moving occupations",13660,"(+/- 2094 )"
Workers,Industry,"Civilian employed population 16 years and over",380983,"(+/- 5579 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",1196,"(+/- 534 )"
Workers,Industry,Construction,10184,"(+/- 1754 )"
Workers,Industry,Manufacturing,4768,"(+/- 1124 )"
Workers,Industry,"Wholesale trade",1623,"(+/- 632 )"
Workers,Industry,"Retail trade",16725,"(+/- 2391 )"
Workers,Industry,"Transportation and warehousing, and utilities",12842,"(+/- 1905 )"
Workers,Industry,Information,14872,"(+/- 1953 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",24643,"(+/- 2702 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",90880,"(+/- 4485 )"
Workers,Industry,"Educational services, and health care and social assistance",71631,"(+/- 5362 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36991,"(+/- 3577 )"
Workers,Industry,"Other services, except public administration",33531,"(+/- 3311 )"
Workers,Industry,"Public administration",61097,"(+/- 3619 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",380983,"(+/- 5579 )"
Workers,"Class of Worker","Private wage and salary workers",274903,"(+/- 6099 )"
Workers,"Class of Worker","Government workers",87601,"(+/- 4268 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",18058,"(+/- 2236 )"
Workers,"Class of Worker","Unpaid family workers",421,"(+/- 288 )"
Housing,"Housing Occupancy","Total housing units",319579,"(+/- 105 )"
Housing,"Housing Occupancy","Occupied housing units",287476,"(+/- 2752 )"
Housing,"Housing Occupancy","Vacant housing units",32103,"(+/- 2760 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.4,"(+/- 0.6 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.8,"(+/- 1.0 )"
Housing,"Housing Tenure","Occupied housing units",287476,"(+/- 2752 )"
Housing,"Housing Tenure",Owner-occupied,121540,"(+/- 3817 )"
Housing,"Housing Tenure",Renter-occupied,165936,"(+/- 4411 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.46,"(+/- 0.07 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.19,"(+/- 0.05 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",287476,"(+/- 2752 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",69442,"(+/- 3811 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",56768,"(+/- 3838 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",55132,"(+/- 3326 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",52996,"(+/- 3086 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",23542,"(+/- 1997 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",29596,"(+/- 2222 )"
Housing,Value,"Owner-occupied units",121540,"(+/- 3817 )"
Housing,Value,"Less than $50,000",1499,"(+/- 519 )"
Housing,Value,"$50,000 to $99,999",1044,"(+/- 399 )"
Housing,Value,"$100,000 to $149,999",1344,"(+/- 641 )"
Housing,Value,"$150,000 to $199,999",1911,"(+/- 694 )"
Housing,Value,"$200,000 to $299,999",9424,"(+/- 1168 )"
Housing,Value,"$300,000 to $499,999",31797,"(+/- 2805 )"
Housing,Value,"$500,000 to $999,999",49921,"(+/- 2942 )"
Housing,Value,"$1,000,000 or more",24600,"(+/- 2000 )"
Housing,Value,"Median (dollars)",617900,"(+/- 17497 )"
Housing,"Mortgage Status","Owner-occupied units",121540,"(+/- 3817 )"
Housing,"Mortgage Status","Housing units with a mortgage",91179,"(+/- 3508 )"
Housing,"Mortgage Status","Housing units without a mortgage",30361,"(+/- 2315 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",91179,"(+/- 3508 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",390,"(+/- 202 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",3560,"(+/- 981 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",9927,"(+/- 1458 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",13530,"(+/- 1774 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",18048,"(+/- 2124 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",11698,"(+/- 1433 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",34026,"(+/- 2450 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2506,"(+/- 72 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",30361,"(+/- 2315 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1995,"(+/- 755 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",4254,"(+/- 967 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",6875,"(+/- 1140 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",5158,"(+/- 1092 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",2672,"(+/- 726 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",9407,"(+/- 1392 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",681,"(+/- 46 )"
Housing,"Gross Rent","Occupied units paying rent",163373,"(+/- 4293 )"
Housing,"Gross Rent","Less than $500",15828,"(+/- 2171 )"
Housing,"Gross Rent","$500 to $999",22447,"(+/- 2708 )"
Housing,"Gross Rent","$1,000 to $1,499",42345,"(+/- 3043 )"
Housing,"Gross Rent","$1,500 to $1,999",32650,"(+/- 2684 )"
Housing,"Gross Rent","$2,000 to $2,499",23650,"(+/- 2420 )"
Housing,"Gross Rent","$2,500 to $2,999",13423,"(+/- 1856 )"
Housing,"Gross Rent","$3,000 or more",13030,"(+/- 1621 )"
Housing,"Gross Rent","Median (dollars)",1516,"(+/- 45 )"
Housing,"Gross Rent","No rent paid",2563,"(+/- 720 )"
