Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",784532,"(+/- 1160 )",733749,"(+/- 7486 )",758275,"(+/- 8925 )",819177,"(+/- 12926 )",738862,"(+/- 15538 )",781896,"(+/- 8360 )",786041,"(+/- 13741 )",768139,"(+/- 3024 )",902812,"(+/- 20446 )",839504,"(+/- 18537 )",789849,"(+/- 13261 )",792410,"(+/- 7591 )",735935,"(+/- 7767 )",782973,"(+/- 14164 )",808723,"(+/- 20744 )",852096,"(+/- 13146 )",789236,"(+/- 13581 )",780772,"(+/- 10481 )",836359,"(+/- 13306 )",809153,"(+/- 13616 )",785042,"(+/- 11791 )",753363,"(+/- 10621 )",756447,"(+/- 8875 )",784469,"(+/- 19182 )",775326,"(+/- 15148 )",790373,"(+/- 16539 )",763812,"(+/- 16464 )"
People,"Sex and Age",Male,393809,"(+/- 2085 )",374666,"(+/- 4718 )",374082,"(+/- 4768 )",406302,"(+/- 7443 )",353345,"(+/- 8752 )",380007,"(+/- 4902 )",385458,"(+/- 8182 )",372615,"(+/- 3189 )",438531,"(+/- 11637 )",409639,"(+/- 10480 )",381162,"(+/- 7239 )",376610,"(+/- 5235 )",360038,"(+/- 5009 )",384896,"(+/- 7494 )",397047,"(+/- 11509 )",409284,"(+/- 7107 )",389995,"(+/- 7707 )",377473,"(+/- 7421 )",410630,"(+/- 7229 )",392337,"(+/- 9435 )",378173,"(+/- 8232 )",375200,"(+/- 8195 )",361211,"(+/- 7604 )",380877,"(+/- 10776 )",380136,"(+/- 8958 )",389059,"(+/- 9760 )",372094,"(+/- 8524 )"
People,"Sex and Age",Female,390723,"(+/- 2053 )",359083,"(+/- 5616 )",384193,"(+/- 5680 )",412875,"(+/- 7627 )",385517,"(+/- 9168 )",401889,"(+/- 5085 )",400583,"(+/- 8215 )",395524,"(+/- 2973 )",464281,"(+/- 11240 )",429865,"(+/- 10868 )",408687,"(+/- 7839 )",415800,"(+/- 5406 )",375897,"(+/- 5582 )",398077,"(+/- 8694 )",411676,"(+/- 12704 )",442812,"(+/- 7942 )",399241,"(+/- 8312 )",403299,"(+/- 6261 )",425729,"(+/- 7223 )",416816,"(+/- 9519 )",406869,"(+/- 7708 )",378163,"(+/- 7546 )",395236,"(+/- 7488 )",403592,"(+/- 12709 )",395190,"(+/- 9703 )",401314,"(+/- 10674 )",391718,"(+/- 11547 )"
People,"Sex and Age","Under 5 years",46593,"(+/- 1392 )",35321,"(+/- 1721 )",40267,"(+/- 1889 )",48241,"(+/- 3034 )",46966,"(+/- 3176 )",37898,"(+/- 1933 )",38125,"(+/- 2213 )",36374,"(+/- 2145 )",52558,"(+/- 3186 )",58298,"(+/- 2493 )",30647,"(+/- 2272 )",38146,"(+/- 2045 )",32919,"(+/- 2016 )",50036,"(+/- 3288 )",48283,"(+/- 4130 )",38347,"(+/- 3590 )",32376,"(+/- 3280 )",33794,"(+/- 1959 )",36283,"(+/- 1683 )",56244,"(+/- 4773 )",36870,"(+/- 3402 )",38469,"(+/- 3171 )",41568,"(+/- 3490 )",54947,"(+/- 4831 )",40711,"(+/- 3196 )",47670,"(+/- 4189 )",37441,"(+/- 3508 )"
People,"Sex and Age","5 to 9 years",42634,"(+/- 2824 )",42640,"(+/- 3411 )",44990,"(+/- 3938 )",47281,"(+/- 4167 )",44831,"(+/- 3636 )",35856,"(+/- 2903 )",38826,"(+/- 3273 )",35100,"(+/- 3683 )",51843,"(+/- 4748 )",56592,"(+/- 4449 )",33547,"(+/- 3326 )",41557,"(+/- 3026 )",36162,"(+/- 2609 )",45711,"(+/- 4308 )",49372,"(+/- 4397 )",42640,"(+/- 3864 )",37886,"(+/- 3733 )",37126,"(+/- 3738 )",37055,"(+/- 3565 )",47992,"(+/- 4652 )",36651,"(+/- 3604 )",34195,"(+/- 3846 )",41836,"(+/- 3797 )",47397,"(+/- 3960 )",36970,"(+/- 3888 )",44180,"(+/- 3977 )",36732,"(+/- 3336 )"
People,"Sex and Age","10 to 14 years",52964,"(+/- 2723 )",40157,"(+/- 3313 )",44803,"(+/- 3472 )",49443,"(+/- 3376 )",48803,"(+/- 3544 )",42800,"(+/- 3396 )",46649,"(+/- 4156 )",42190,"(+/- 3421 )",60921,"(+/- 5460 )",57606,"(+/- 4411 )",36049,"(+/- 3224 )",45205,"(+/- 3024 )",29675,"(+/- 2688 )",48784,"(+/- 4046 )",52246,"(+/- 5085 )",51382,"(+/- 4201 )",41091,"(+/- 3403 )",44080,"(+/- 4385 )",41303,"(+/- 3927 )",57975,"(+/- 4672 )",43493,"(+/- 4526 )",39315,"(+/- 3665 )",49680,"(+/- 4538 )",44534,"(+/- 3931 )",44756,"(+/- 4268 )",49761,"(+/- 4165 )",38927,"(+/- 3820 )"
People,"Sex and Age","15 to 19 years",47970,"(+/- 2518 )",45454,"(+/- 2890 )",55500,"(+/- 2971 )",47715,"(+/- 2665 )",52097,"(+/- 2626 )",40936,"(+/- 2194 )",59768,"(+/- 3476 )",40641,"(+/- 2577 )",58765,"(+/- 4559 )",49877,"(+/- 3873 )",35789,"(+/- 2779 )",44946,"(+/- 2244 )",31712,"(+/- 1878 )",48585,"(+/- 3259 )",49506,"(+/- 4405 )",44894,"(+/- 3182 )",44307,"(+/- 3620 )",39338,"(+/- 2756 )",38971,"(+/- 2511 )",50559,"(+/- 3466 )",42190,"(+/- 2751 )",35710,"(+/- 3026 )",48343,"(+/- 2955 )",47369,"(+/- 3444 )",42518,"(+/- 3352 )",54388,"(+/- 3939 )",36176,"(+/- 3132 )"
People,"Sex and Age","20 to 24 years",53536,"(+/- 2411 )",50321,"(+/- 3842 )",66445,"(+/- 3688 )",48168,"(+/- 3295 )",63047,"(+/- 3921 )",40558,"(+/- 2610 )",63328,"(+/- 4345 )",35797,"(+/- 2246 )",58915,"(+/- 4079 )",50331,"(+/- 4885 )",30162,"(+/- 2604 )",35179,"(+/- 1949 )",39252,"(+/- 1887 )",51411,"(+/- 2934 )",54293,"(+/- 4975 )",39642,"(+/- 2705 )",33310,"(+/- 3535 )",36871,"(+/- 3418 )",39111,"(+/- 2259 )",57724,"(+/- 4422 )",42251,"(+/- 3252 )",35283,"(+/- 3618 )",41766,"(+/- 3697 )",51226,"(+/- 4384 )",45210,"(+/- 3854 )",53701,"(+/- 4469 )",38752,"(+/- 3686 )"
People,"Sex and Age","25 to 34 years",110258,"(+/- 2736 )",85971,"(+/- 3624 )",99751,"(+/- 3698 )",117134,"(+/- 4354 )",116022,"(+/- 5094 )",88323,"(+/- 3199 )",125078,"(+/- 5639 )",83905,"(+/- 2570 )",124739,"(+/- 5898 )",142636,"(+/- 6153 )",71685,"(+/- 4206 )",80951,"(+/- 3626 )",96586,"(+/- 3313 )",128462,"(+/- 4988 )",116355,"(+/- 6484 )",86071,"(+/- 4063 )",76300,"(+/- 5142 )",84769,"(+/- 5599 )",82426,"(+/- 3322 )",117556,"(+/- 7648 )",94969,"(+/- 5156 )",88528,"(+/- 6400 )",91687,"(+/- 5488 )",125506,"(+/- 6498 )",105175,"(+/- 5157 )",103376,"(+/- 6755 )",114296,"(+/- 7324 )"
People,"Sex and Age","35 to 44 years",95478,"(+/- 2212 )",91180,"(+/- 3836 )",92447,"(+/- 3465 )",105757,"(+/- 3927 )",91115,"(+/- 4210 )",81362,"(+/- 3477 )",106897,"(+/- 4397 )",78858,"(+/- 2227 )",124585,"(+/- 5866 )",120034,"(+/- 5729 )",68156,"(+/- 4327 )",93201,"(+/- 3588 )",82032,"(+/- 3158 )",112848,"(+/- 5035 )",96421,"(+/- 6166 )",94023,"(+/- 4573 )",73247,"(+/- 4126 )",87219,"(+/- 4873 )",82583,"(+/- 3517 )",106070,"(+/- 5927 )",87166,"(+/- 3754 )",96553,"(+/- 5138 )",99261,"(+/- 5431 )",107035,"(+/- 6670 )",96096,"(+/- 6861 )",105989,"(+/- 6371 )",111091,"(+/- 5594 )"
