Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",709286,"(+/- 9744 )",711205,"(+/- 9744 )"
People,"Sex and Age",Male,357360,"(+/- 5724 )",353342,"(+/- 6149 )"
People,"Sex and Age",Female,351926,"(+/- 5424 )",357863,"(+/- 5164 )"
People,"Sex and Age","Under 5 years",43605,"(+/- 2179 )",43832,"(+/- 2183 )"
People,"Sex and Age","5 to 9 years",38677,"(+/- 3022 )",45757,"(+/- 3260 )"
People,"Sex and Age","10 to 14 years",39262,"(+/- 3035 )",45314,"(+/- 3416 )"
People,"Sex and Age","15 to 19 years",36215,"(+/- 1658 )",41645,"(+/- 2190 )"
People,"Sex and Age","20 to 24 years",45370,"(+/- 2267 )",45225,"(+/- 3065 )"
People,"Sex and Age","25 to 34 years",103758,"(+/- 3034 )",97267,"(+/- 3537 )"
People,"Sex and Age","35 to 44 years",95344,"(+/- 2735 )",86197,"(+/- 3033 )"
People,"Sex and Age","45 to 54 years",87785,"(+/- 2403 )",83605,"(+/- 2797 )"
People,"Sex and Age","55 to 59 years",43088,"(+/- 2513 )",43207,"(+/- 2937 )"
People,"Sex and Age","60 to 64 years",43212,"(+/- 2686 )",50659,"(+/- 3482 )"
People,"Sex and Age","65 to 74 years",71603,"(+/- 2142 )",77769,"(+/- 2192 )"
People,"Sex and Age","75 to 84 years",37084,"(+/- 2059 )",34938,"(+/- 2541 )"
People,"Sex and Age","85 years and over",24283,"(+/- 1931 )",15790,"(+/- 2147 )"
People,"Sex and Age","Median age (years)",39.9,"(+/- 0.6 )",38.8,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",565797,"(+/- 6847 )",551439,"(+/- 6916 )"
People,"Sex and Age","65 years and over",132970,"(+/- 3058 )",128497,"(+/- 3200 )"
People,Race,"Total population",709286,"(+/- 9744 )",711205,"(+/- 9744 )"
People,Race,"One race",550455,"(+/- 11442 )",524261,"(+/- 10347 )"
People,Race,White,122457,"(+/- 5842 )",223195,"(+/- 5666 )"
People,Race,"Black or African American",17088,"(+/- 1964 )",11237,"(+/- 2022 )"
People,Race,"American Indian and Alaska Native",628,"(+/- 390 )",2609,"(+/- 898 )"
People,Race,Asian,351660,"(+/- 8943 )",182819,"(+/- 7306 )"
People,Race,"Native Hawaiian and Other Pacific Islander",52637,"(+/- 5016 )",92334,"(+/- 6482 )"
People,Race,"Some other race",5985,"(+/- 1851 )",12067,"(+/- 3125 )"
People,Race,"Two or more races",158831,"(+/- 8988 )",186944,"(+/- 9486 )"
People,"Hispanic or Latino and Race","Total population",709286,"(+/- 9744 )",711205,"(+/- 9744 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",66279,"(+/- 5030 )",85077,"(+/- 5030 )"
People,"Hispanic or Latino and Race",Mexican,18801,"(+/- 3615 )",27364,"(+/- 4574 )"
