Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",912950,"(+/- 7168 )",841258,"(+/- 7168 )"
People,"Sex and Age",Male,457663,"(+/- 5993 )",424495,"(+/- 6284 )"
People,"Sex and Age",Female,455287,"(+/- 4320 )",416763,"(+/- 4489 )"
People,"Sex and Age","Under 5 years",56022,"(+/- 2359 )",57671,"(+/- 2142 )"
People,"Sex and Age","5 to 9 years",62162,"(+/- 3937 )",61797,"(+/- 3664 )"
People,"Sex and Age","10 to 14 years",66471,"(+/- 4240 )",63476,"(+/- 3342 )"
People,"Sex and Age","15 to 19 years",64771,"(+/- 3194 )",62241,"(+/- 3578 )"
People,"Sex and Age","20 to 24 years",54667,"(+/- 2789 )",61183,"(+/- 3791 )"
People,"Sex and Age","25 to 34 years",114166,"(+/- 4135 )",113914,"(+/- 4156 )"
People,"Sex and Age","35 to 44 years",111946,"(+/- 3902 )",107767,"(+/- 4158 )"
People,"Sex and Age","45 to 54 years",111889,"(+/- 3429 )",89246,"(+/- 3971 )"
People,"Sex and Age","55 to 59 years",60884,"(+/- 3733 )",51109,"(+/- 3108 )"
People,"Sex and Age","60 to 64 years",54474,"(+/- 3482 )",48911,"(+/- 2866 )"
People,"Sex and Age","65 to 74 years",94659,"(+/- 2464 )",73738,"(+/- 2593 )"
People,"Sex and Age","75 to 84 years",46583,"(+/- 2224 )",34758,"(+/- 2043 )"
People,"Sex and Age","85 years and over",14256,"(+/- 1925 )",15447,"(+/- 1677 )"
People,"Sex and Age","Median age (years)",38.5,"(+/- 0.5 )",35.0,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",687493,"(+/- 5561 )",621345,"(+/- 5804 )"
People,"Sex and Age","65 years and over",155498,"(+/- 3279 )",123943,"(+/- 3053 )"
People,Race,"Total population",912950,"(+/- 7168 )",841258,"(+/- 7168 )"
People,Race,"One race",884757,"(+/- 9498 )",816196,"(+/- 7278 )"
People,Race,White,815218,"(+/- 8942 )",761628,"(+/- 9478 )"
People,Race,"Black or African American",6900,"(+/- 3603 )",5175,"(+/- 2039 )"
