Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",706550,"(+/- 18246 )",694459,"(+/- 12990 )",704050,"(+/- 13980 )",702062,"(+/- 14207 )",743699,"(+/- 16300 )",730345,"(+/- 10985 )",707513,"(+/- 16445 )",707268,"(+/- 10987 )",721481,"(+/- 15297 )",711265,"(+/- 7485 )",722584,"(+/- 10156 )",687072,"(+/- 3605 )",704211,"(+/- 7858 )",742235,"(+/- 8939 )",691196,"(+/- 5707 )",684888,"(+/- 6443 )",679926,"(+/- 6737 )",700276,"(+/- 9229 )"
People,"Sex and Age",Male,333301,"(+/- 9510 )",321210,"(+/- 8687 )",350554,"(+/- 8611 )",352971,"(+/- 9158 )",367389,"(+/- 9655 )",360402,"(+/- 6790 )",341185,"(+/- 10723 )",341723,"(+/- 6901 )",355134,"(+/- 9581 )",353539,"(+/- 5134 )",357375,"(+/- 6216 )",341016,"(+/- 2899 )",348155,"(+/- 5798 )",373029,"(+/- 5357 )",346943,"(+/- 4007 )",343108,"(+/- 4665 )",336379,"(+/- 4750 )",342649,"(+/- 5867 )"
People,"Sex and Age",Female,373249,"(+/- 11226 )",373249,"(+/- 9028 )",353496,"(+/- 9086 )",349091,"(+/- 9055 )",376310,"(+/- 9694 )",369943,"(+/- 6981 )",366328,"(+/- 10887 )",365545,"(+/- 7519 )",366347,"(+/- 8773 )",357726,"(+/- 5220 )",365209,"(+/- 6647 )",346056,"(+/- 2855 )",356056,"(+/- 4198 )",369206,"(+/- 6479 )",344253,"(+/- 4040 )",341780,"(+/- 3888 )",343547,"(+/- 4244 )",357627,"(+/- 5364 )"
People,"Sex and Age","Under 5 years",40848,"(+/- 3835 )",41762,"(+/- 3643 )",43785,"(+/- 3630 )",46220,"(+/- 3730 )",43232,"(+/- 3910 )",40060,"(+/- 3348 )",39976,"(+/- 4265 )",49563,"(+/- 4097 )",43468,"(+/- 3977 )",42194,"(+/- 2219 )",43884,"(+/- 2831 )",40258,"(+/- 1527 )",38113,"(+/- 2051 )",45506,"(+/- 2908 )",42008,"(+/- 1776 )",37083,"(+/- 1485 )",40058,"(+/- 2204 )",41438,"(+/- 1977 )"
People,"Sex and Age","5 to 9 years",40022,"(+/- 3617 )",41459,"(+/- 3670 )",43685,"(+/- 3582 )",43572,"(+/- 4282 )",36194,"(+/- 3279 )",47173,"(+/- 4019 )",38254,"(+/- 4090 )",47206,"(+/- 4089 )",44086,"(+/- 3897 )",42245,"(+/- 2580 )",46844,"(+/- 3570 )",40146,"(+/- 2513 )",37438,"(+/- 3251 )",53070,"(+/- 4344 )",40175,"(+/- 2318 )",37080,"(+/- 2659 )",41470,"(+/- 2472 )",42118,"(+/- 2574 )"
People,"Sex and Age","10 to 14 years",45790,"(+/- 4149 )",52061,"(+/- 4265 )",49072,"(+/- 3641 )",50308,"(+/- 4002 )",35577,"(+/- 3464 )",49040,"(+/- 4171 )",36583,"(+/- 3562 )",43557,"(+/- 3485 )",43864,"(+/- 3878 )",52178,"(+/- 2825 )",57205,"(+/- 3634 )",44594,"(+/- 2512 )",41857,"(+/- 2878 )",57680,"(+/- 4588 )",44276,"(+/- 1969 )",44876,"(+/- 2597 )",43212,"(+/- 2779 )",46410,"(+/- 2670 )"
People,"Sex and Age","15 to 19 years",46975,"(+/- 4607 )",54645,"(+/- 4120 )",45922,"(+/- 4146 )",44787,"(+/- 3076 )",33972,"(+/- 3478 )",50752,"(+/- 3570 )",38049,"(+/- 3729 )",42283,"(+/- 3459 )",42707,"(+/- 3565 )",51056,"(+/- 2557 )",51671,"(+/- 3072 )",42498,"(+/- 2320 )",58524,"(+/- 3610 )",52470,"(+/- 3060 )",44080,"(+/- 2301 )",46819,"(+/- 2172 )",42600,"(+/- 2088 )",46035,"(+/- 2723 )"
People,"Sex and Age","20 to 24 years",49170,"(+/- 4401 )",45710,"(+/- 4216 )",40177,"(+/- 3273 )",50823,"(+/- 3771 )",51171,"(+/- 4382 )",36576,"(+/- 3041 )",52673,"(+/- 4428 )",47461,"(+/- 4572 )",41258,"(+/- 4409 )",50591,"(+/- 3076 )",49117,"(+/- 3156 )",41987,"(+/- 2263 )",75574,"(+/- 2811 )",38000,"(+/- 3074 )",39097,"(+/- 1964 )",45751,"(+/- 2523 )",44719,"(+/- 2421 )",39171,"(+/- 2965 )"
People,"Sex and Age","25 to 34 years",96612,"(+/- 6277 )",87259,"(+/- 5905 )",93013,"(+/- 6289 )",127299,"(+/- 5626 )",165631,"(+/- 6745 )",78770,"(+/- 4660 )",147911,"(+/- 7662 )",103275,"(+/- 4799 )",94815,"(+/- 5281 )",85414,"(+/- 3240 )",92088,"(+/- 5451 )",92851,"(+/- 2742 )",89600,"(+/- 3275 )",83609,"(+/- 4501 )",81195,"(+/- 2251 )",79815,"(+/- 3112 )",83547,"(+/- 2801 )",82813,"(+/- 3085 )"
People,"Sex and Age","35 to 44 years",84508,"(+/- 5351 )",84649,"(+/- 4567 )",94144,"(+/- 5285 )",106083,"(+/- 5410 )",108187,"(+/- 4944 )",92587,"(+/- 4509 )",93915,"(+/- 5423 )",100065,"(+/- 4809 )",95446,"(+/- 4743 )",91136,"(+/- 3325 )",102314,"(+/- 4731 )",83306,"(+/- 1902 )",83752,"(+/- 3566 )",98698,"(+/- 4218 )",82504,"(+/- 2244 )",79278,"(+/- 2518 )",79280,"(+/- 2369 )",84538,"(+/- 3023 )"
