Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",714756,"(+/- 2410 )",723483,"(+/- 3644 )",747060,"(+/- 2807 )",768025,"(+/- 4477 )",784462,"(+/- 8778 )",719771,"(+/- 3009 )",760466,"(+/- 7889 )",718591,"(+/- 2360 )",755264,"(+/- 4786 )"
People,"Sex and Age",Male,352539,"(+/- 2079 )",357600,"(+/- 2647 )",370187,"(+/- 2043 )",387277,"(+/- 3887 )",379112,"(+/- 5037 )",355251,"(+/- 2782 )",367928,"(+/- 4787 )",356674,"(+/- 2281 )",369405,"(+/- 3446 )"
People,"Sex and Age",Female,362217,"(+/- 1787 )",365883,"(+/- 2564 )",376873,"(+/- 2334 )",380748,"(+/- 2717 )",405350,"(+/- 6187 )",364520,"(+/- 2555 )",392538,"(+/- 5676 )",361917,"(+/- 2413 )",385859,"(+/- 3549 )"
People,"Sex and Age","Under 5 years",41579,"(+/- 981 )",47634,"(+/- 1080 )",50912,"(+/- 802 )",45572,"(+/- 1632 )",49585,"(+/- 2662 )",42420,"(+/- 1321 )",56084,"(+/- 2577 )",42774,"(+/- 1271 )",41214,"(+/- 1394 )"
People,"Sex and Age","5 to 9 years",43033,"(+/- 2553 )",47838,"(+/- 2215 )",53494,"(+/- 2832 )",47942,"(+/- 2827 )",49721,"(+/- 3696 )",43196,"(+/- 2691 )",54817,"(+/- 3626 )",45609,"(+/- 2338 )",44505,"(+/- 3444 )"
People,"Sex and Age","10 to 14 years",47834,"(+/- 2484 )",51451,"(+/- 2255 )",54447,"(+/- 2629 )",48926,"(+/- 2799 )",56745,"(+/- 3480 )",43926,"(+/- 2568 )",54355,"(+/- 4299 )",44711,"(+/- 2532 )",49000,"(+/- 3628 )"
People,"Sex and Age","15 to 19 years",47503,"(+/- 1459 )",51849,"(+/- 1712 )",49477,"(+/- 1807 )",61348,"(+/- 2336 )",49484,"(+/- 3247 )",47512,"(+/- 1960 )",49026,"(+/- 2642 )",45697,"(+/- 1853 )",57326,"(+/- 2701 )"
People,"Sex and Age","20 to 24 years",45745,"(+/- 1255 )",46813,"(+/- 2115 )",47839,"(+/- 1728 )",65630,"(+/- 2429 )",45668,"(+/- 3012 )",52797,"(+/- 2313 )",52411,"(+/- 2663 )",49281,"(+/- 2178 )",59255,"(+/- 2666 )"
People,"Sex and Age","25 to 34 years",88008,"(+/- 2122 )",91031,"(+/- 1922 )",96262,"(+/- 1434 )",92998,"(+/- 2706 )",105038,"(+/- 4383 )",87446,"(+/- 2436 )",126268,"(+/- 3870 )",88323,"(+/- 2196 )",98872,"(+/- 2954 )"
People,"Sex and Age","35 to 44 years",89534,"(+/- 1504 )",86233,"(+/- 1829 )",90566,"(+/- 1760 )",92888,"(+/- 2821 )",106893,"(+/- 3979 )",82040,"(+/- 1939 )",97287,"(+/- 3353 )",87125,"(+/- 2017 )",93907,"(+/- 2461 )"
People,"Sex and Age","45 to 54 years",93916,"(+/- 1545 )",87849,"(+/- 1781 )",90732,"(+/- 1609 )",97421,"(+/- 2798 )",105301,"(+/- 3119 )",94444,"(+/- 1405 )",89673,"(+/- 2555 )",89016,"(+/- 1980 )",93398,"(+/- 2449 )"
People,"Sex and Age","55 to 59 years",50208,"(+/- 3038 )",47086,"(+/- 2315 )",49988,"(+/- 2961 )",48657,"(+/- 3002 )",53376,"(+/- 3250 )",51550,"(+/- 2902 )",46334,"(+/- 2875 )",51059,"(+/- 2419 )",49342,"(+/- 2527 )"
People,"Sex and Age","60 to 64 years",48933,"(+/- 2903 )",46882,"(+/- 2221 )",47570,"(+/- 2745 )",48643,"(+/- 3114 )",46252,"(+/- 3164 )",47021,"(+/- 2957 )",41939,"(+/- 2929 )",50336,"(+/- 2748 )",49102,"(+/- 2605 )"
People,"Sex and Age","65 to 74 years",69648,"(+/- 1267 )",67908,"(+/- 1418 )",68333,"(+/- 901 )",68998,"(+/- 1593 )",67210,"(+/- 2092 )",73298,"(+/- 1421 )",55358,"(+/- 1799 )",71499,"(+/- 1158 )",71447,"(+/- 1635 )"
People,"Sex and Age","75 to 84 years",34385,"(+/- 1721 )",34190,"(+/- 1964 )",33869,"(+/- 1749 )",35447,"(+/- 1655 )",34883,"(+/- 2319 )",39752,"(+/- 1828 )",26267,"(+/- 1585 )",37511,"(+/- 1823 )",34566,"(+/- 1678 )"
People,"Sex and Age","85 years and over",14430,"(+/- 1490 )",16719,"(+/- 1779 )",13571,"(+/- 1575 )",13555,"(+/- 1686 )",14306,"(+/- 1966 )",14369,"(+/- 1598 )",10647,"(+/- 1544 )",15650,"(+/- 1584 )",13330,"(+/- 1525 )"
