Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",773628,"(+/- 1621 )",783983,"(+/- 1452 )",843598,"(+/- 1452 )",754936,"(+/- 1621 )"
People,"Sex and Age",Male,383408,"(+/- 2120 )",388231,"(+/- 2526 )",416127,"(+/- 1592 )",377122,"(+/- 2064 )"
People,"Sex and Age",Female,390220,"(+/- 2200 )",395752,"(+/- 2521 )",427471,"(+/- 1398 )",377814,"(+/- 2123 )"
People,"Sex and Age","Under 5 years",48338,"(+/- 1340 )",47585,"(+/- 1301 )",57002,"(+/- 958 )",44958,"(+/- 872 )"
People,"Sex and Age","5 to 9 years",46650,"(+/- 2190 )",48037,"(+/- 2264 )",56644,"(+/- 2769 )",46123,"(+/- 1980 )"
People,"Sex and Age","10 to 14 years",51372,"(+/- 2536 )",52688,"(+/- 2352 )",61543,"(+/- 2867 )",49619,"(+/- 2216 )"
People,"Sex and Age","15 to 19 years",54555,"(+/- 1752 )",54999,"(+/- 2021 )",55561,"(+/- 1723 )",55544,"(+/- 2375 )"
People,"Sex and Age","20 to 24 years",51873,"(+/- 1856 )",60463,"(+/- 2233 )",49113,"(+/- 1638 )",58686,"(+/- 2139 )"
People,"Sex and Age","25 to 34 years",94650,"(+/- 2099 )",95542,"(+/- 2193 )",117413,"(+/- 2205 )",86902,"(+/- 2073 )"
People,"Sex and Age","35 to 44 years",90873,"(+/- 1664 )",93895,"(+/- 2011 )",113750,"(+/- 1894 )",85099,"(+/- 1730 )"
People,"Sex and Age","45 to 54 years",90727,"(+/- 1540 )",93074,"(+/- 1706 )",104235,"(+/- 1327 )",81360,"(+/- 1564 )"
People,"Sex and Age","55 to 59 years",54185,"(+/- 2167 )",48856,"(+/- 2167 )",57690,"(+/- 2213 )",52926,"(+/- 2605 )"
People,"Sex and Age","60 to 64 years",51185,"(+/- 2250 )",54418,"(+/- 2166 )",47290,"(+/- 2351 )",52904,"(+/- 2230 )"
People,"Sex and Age","65 to 74 years",76879,"(+/- 857 )",75926,"(+/- 976 )",72247,"(+/- 835 )",74281,"(+/- 772 )"
People,"Sex and Age","75 to 84 years",42843,"(+/- 1711 )",40022,"(+/- 1617 )",35607,"(+/- 1608 )",44397,"(+/- 1628 )"
