Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",721124,"(+/- 3530 )",769850,"(+/- 4606 )",749110,"(+/- 3229 )",754387,"(+/- 4730 )",695105,"(+/- 4679 )",778826,"(+/- 5709 )"
People,"Sex and Age",Male,355534,"(+/- 3618 )",382270,"(+/- 4117 )",361301,"(+/- 1732 )",374042,"(+/- 3571 )",344010,"(+/- 3205 )",381864,"(+/- 3948 )"
People,"Sex and Age",Female,365590,"(+/- 3247 )",387580,"(+/- 3688 )",387809,"(+/- 1902 )",380345,"(+/- 3089 )",351095,"(+/- 3061 )",396962,"(+/- 3731 )"
People,"Sex and Age","Under 5 years",44943,"(+/- 1433 )",45111,"(+/- 1453 )",47025,"(+/- 754 )",46782,"(+/- 1872 )",41817,"(+/- 1542 )",47811,"(+/- 1727 )"
People,"Sex and Age","5 to 9 years",45165,"(+/- 2700 )",47678,"(+/- 3405 )",46429,"(+/- 2938 )",51342,"(+/- 2490 )",42293,"(+/- 3166 )",47071,"(+/- 2784 )"
People,"Sex and Age","10 to 14 years",46021,"(+/- 3527 )",54226,"(+/- 2850 )",44791,"(+/- 2723 )",49067,"(+/- 2884 )",44069,"(+/- 2707 )",47659,"(+/- 2687 )"
People,"Sex and Age","15 to 19 years",46087,"(+/- 2472 )",56172,"(+/- 2402 )",45617,"(+/- 1007 )",48397,"(+/- 2156 )",42488,"(+/- 1771 )",50183,"(+/- 1979 )"
People,"Sex and Age","20 to 24 years",49146,"(+/- 2855 )",49923,"(+/- 3062 )",46901,"(+/- 873 )",44193,"(+/- 2083 )",42975,"(+/- 2136 )",67606,"(+/- 2307 )"
People,"Sex and Age","25 to 34 years",84360,"(+/- 2614 )",96791,"(+/- 2714 )",111506,"(+/- 1300 )",97324,"(+/- 3134 )",83032,"(+/- 2048 )",106507,"(+/- 2265 )"
People,"Sex and Age","35 to 44 years",83043,"(+/- 2018 )",94428,"(+/- 2084 )",93857,"(+/- 1070 )",96951,"(+/- 2100 )",86154,"(+/- 1796 )",98674,"(+/- 2621 )"
People,"Sex and Age","45 to 54 years",90151,"(+/- 2194 )",99538,"(+/- 2239 )",92157,"(+/- 1153 )",99062,"(+/- 1910 )",95142,"(+/- 1752 )",99323,"(+/- 2523 )"
People,"Sex and Age","55 to 59 years",47763,"(+/- 3044 )",51210,"(+/- 3145 )",52174,"(+/- 2496 )",54325,"(+/- 3299 )",46889,"(+/- 2824 )",52350,"(+/- 2844 )"
People,"Sex and Age","60 to 64 years",51212,"(+/- 3139 )",50705,"(+/- 3481 )",48180,"(+/- 2399 )",50038,"(+/- 3254 )",48287,"(+/- 2987 )",46889,"(+/- 2587 )"
People,"Sex and Age","65 to 74 years",76178,"(+/- 1673 )",73741,"(+/- 1970 )",70359,"(+/- 880 )",71884,"(+/- 1372 )",73947,"(+/- 1675 )",69356,"(+/- 1865 )"
People,"Sex and Age","75 to 84 years",41962,"(+/- 1777 )",37687,"(+/- 1809 )",34573,"(+/- 1698 )",33029,"(+/- 1554 )",35896,"(+/- 1937 )",34132,"(+/- 1966 )"
People,"Sex and Age","85 years and over",15093,"(+/- 1577 )",12640,"(+/- 1422 )",15541,"(+/- 1604 )",11993,"(+/- 1525 )",12116,"(+/- 1614 )",11265,"(+/- 1435 )"
People,"Sex and Age","Median age (years)",40.6,"(+/- 0.5 )",38.6,"(+/- 0.4 )",38.3,"(+/- 0.3 )",39.3,"(+/- 0.4 )",40.8,"(+/- 0.4 )",37.1,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",559063,"(+/- 2913 )",591524,"(+/- 3775 )",583435,"(+/- 2298 )",577207,"(+/- 3576 )",540810,"(+/- 3535 )",608582,"(+/- 4472 )"
People,"Sex and Age","65 years and over",133233,"(+/- 1827 )",124068,"(+/- 2292 )",120473,"(+/- 1070 )",116906,"(+/- 1671 )",121959,"(+/- 2067 )",114753,"(+/- 2489 )"
