Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",806638,"(+/- 9120 )",794121,"(+/- 10924 )",783545,"(+/- 2185 )",747314,"(+/- 3598 )",738249,"(+/- 5791 )",790111,"(+/- 10127 )"
People,"Sex and Age",Male,396410,"(+/- 6023 )",379129,"(+/- 7399 )",382518,"(+/- 3075 )",370579,"(+/- 2805 )",366678,"(+/- 3893 )",381216,"(+/- 6069 )"
People,"Sex and Age",Female,410228,"(+/- 5715 )",414992,"(+/- 6596 )",401027,"(+/- 2615 )",376735,"(+/- 3254 )",371571,"(+/- 5393 )",408895,"(+/- 7341 )"
People,"Sex and Age","Under 5 years",49997,"(+/- 2756 )",49787,"(+/- 3068 )",53799,"(+/- 1133 )",49912,"(+/- 2137 )",44966,"(+/- 2113 )",53396,"(+/- 3343 )"
People,"Sex and Age","5 to 9 years",50391,"(+/- 3836 )",45796,"(+/- 4456 )",52099,"(+/- 3173 )",48252,"(+/- 3729 )",50353,"(+/- 3595 )",50548,"(+/- 4639 )"
People,"Sex and Age","10 to 14 years",54746,"(+/- 4140 )",54140,"(+/- 3763 )",54401,"(+/- 2991 )",52642,"(+/- 3722 )",51111,"(+/- 3874 )",50890,"(+/- 3806 )"
People,"Sex and Age","15 to 19 years",48587,"(+/- 2681 )",50227,"(+/- 2774 )",54029,"(+/- 2530 )",51631,"(+/- 2909 )",53658,"(+/- 3126 )",49994,"(+/- 3201 )"
People,"Sex and Age","20 to 24 years",47371,"(+/- 2968 )",49460,"(+/- 3497 )",49594,"(+/- 2433 )",51841,"(+/- 2990 )",46020,"(+/- 3696 )",64607,"(+/- 3491 )"
People,"Sex and Age","25 to 34 years",110439,"(+/- 4611 )",121283,"(+/- 4630 )",107603,"(+/- 2912 )",95538,"(+/- 3058 )",94208,"(+/- 4155 )",116184,"(+/- 4506 )"
People,"Sex and Age","35 to 44 years",103726,"(+/- 4107 )",102742,"(+/- 3511 )",98557,"(+/- 2206 )",93241,"(+/- 3179 )",92738,"(+/- 3305 )",98710,"(+/- 4273 )"
People,"Sex and Age","45 to 54 years",100007,"(+/- 3524 )",99911,"(+/- 3857 )",96581,"(+/- 2476 )",86509,"(+/- 2715 )",87398,"(+/- 2944 )",96907,"(+/- 3655 )"
People,"Sex and Age","55 to 59 years",55035,"(+/- 3078 )",54764,"(+/- 3577 )",52441,"(+/- 3092 )",48260,"(+/- 2700 )",48683,"(+/- 2829 )",44406,"(+/- 3065 )"
People,"Sex and Age","60 to 64 years",56144,"(+/- 3224 )",50469,"(+/- 3159 )",49219,"(+/- 3280 )",46896,"(+/- 2352 )",47858,"(+/- 2811 )",48666,"(+/- 3739 )"
People,"Sex and Age","65 to 74 years",79493,"(+/- 2456 )",72337,"(+/- 3143 )",68598,"(+/- 1566 )",72617,"(+/- 1470 )",73054,"(+/- 1970 )",68798,"(+/- 2772 )"
