Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",685535,"(+/- 3624 )",652869,"(+/- 3624 )"
People,"Sex and Age",Male,334199,"(+/- 2562 )",321535,"(+/- 2455 )"
People,"Sex and Age",Female,351336,"(+/- 2698 )",331334,"(+/- 2258 )"
People,"Sex and Age","Under 5 years",32091,"(+/- 932 )",31319,"(+/- 887 )"
People,"Sex and Age","5 to 9 years",35095,"(+/- 2640 )",32765,"(+/- 1673 )"
People,"Sex and Age","10 to 14 years",37187,"(+/- 2628 )",35362,"(+/- 1979 )"
People,"Sex and Age","15 to 19 years",37593,"(+/- 1656 )",39732,"(+/- 1570 )"
People,"Sex and Age","20 to 24 years",37296,"(+/- 1167 )",36582,"(+/- 1714 )"
People,"Sex and Age","25 to 34 years",86360,"(+/- 1447 )",73584,"(+/- 1328 )"
People,"Sex and Age","35 to 44 years",80830,"(+/- 1825 )",72606,"(+/- 1558 )"
People,"Sex and Age","45 to 54 years",93357,"(+/- 1436 )",87109,"(+/- 1444 )"
People,"Sex and Age","55 to 59 years",53494,"(+/- 2658 )",51720,"(+/- 2398 )"
People,"Sex and Age","60 to 64 years",53306,"(+/- 2346 )",54947,"(+/- 2391 )"
People,"Sex and Age","65 to 74 years",81458,"(+/- 1207 )",82495,"(+/- 1097 )"
People,"Sex and Age","75 to 84 years",39885,"(+/- 1592 )",37382,"(+/- 1411 )"
People,"Sex and Age","85 years and over",17583,"(+/- 1661 )",17266,"(+/- 1457 )"
People,"Sex and Age","Median age (years)",44.5,"(+/- 0.4 )",45.6,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",558051,"(+/- 2963 )",531801,"(+/- 3010 )"
People,"Sex and Age","65 years and over",138926,"(+/- 1317 )",137143,"(+/- 1468 )"
People,Race,"Total population",685535,"(+/- 3624 )",652869,"(+/- 3624 )"
People,Race,"One race",670829,"(+/- 4052 )",637556,"(+/- 4184 )"
People,Race,White,642636,"(+/- 4029 )",618817,"(+/- 3855 )"
People,Race,"Black or African American",11986,"(+/- 1407 )",6968,"(+/- 1284 )"
People,Race,"American Indian and Alaska Native",1909,"(+/- 1077 )",6657,"(+/- 597 )"
People,Race,Asian,11378,"(+/- 1192 )",4305,"(+/- 840 )"
People,Race,"Native Hawaiian and Other Pacific Islander",444,"(+/- 455 )",21,"(+/- 26 )"
People,Race,"Some other race",2476,"(+/- 1119 )",788,"(+/- 462 )"
People,Race,"Two or more races",14706,"(+/- 2382 )",15313,"(+/- 1842 )"
People,"Hispanic or Latino and Race","Total population",685535,"(+/- 3624 )",652869,"(+/- 3624 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",12892,"(+/- 698 )",9519,"(+/- 391 )"
People,"Hispanic or Latino and Race",Mexican,4277,"(+/- 1355 )",2993,"(+/- 930 )"
People,"Hispanic or Latino and Race","Puerto Rican",3276,"(+/- 1019 )",2972,"(+/- 736 )"
