Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",736481,"(+/- 6725 )",745347,"(+/- 9136 )",771096,"(+/- 10621 )",766019,"(+/- 8130 )",775135,"(+/- 8506 )",780524,"(+/- 5096 )",820086,"(+/- 8586 )",764891,"(+/- 12002 )",742570,"(+/- 9496 )"
People,"Sex and Age",Male,354186,"(+/- 4432 )",365205,"(+/- 6208 )",382432,"(+/- 8003 )",365816,"(+/- 5798 )",378519,"(+/- 5642 )",374955,"(+/- 4853 )",396239,"(+/- 7142 )",375363,"(+/- 7971 )",358172,"(+/- 5794 )"
People,"Sex and Age",Female,382295,"(+/- 4067 )",380142,"(+/- 5484 )",388664,"(+/- 7323 )",400203,"(+/- 5960 )",396616,"(+/- 6631 )",405569,"(+/- 4551 )",423847,"(+/- 6089 )",389528,"(+/- 7031 )",384398,"(+/- 6075 )"
People,"Sex and Age","Under 5 years",37719,"(+/- 1370 )",33778,"(+/- 2177 )",45202,"(+/- 3979 )",38703,"(+/- 3089 )",40097,"(+/- 2481 )",40653,"(+/- 2615 )",43213,"(+/- 2637 )",42809,"(+/- 2777 )",35049,"(+/- 2457 )"
People,"Sex and Age","5 to 9 years",40694,"(+/- 2530 )",38581,"(+/- 3019 )",46381,"(+/- 3605 )",43879,"(+/- 3349 )",41483,"(+/- 3879 )",41858,"(+/- 3625 )",36424,"(+/- 3236 )",41750,"(+/- 3387 )",38228,"(+/- 3757 )"
People,"Sex and Age","10 to 14 years",43888,"(+/- 2656 )",42665,"(+/- 3061 )",49370,"(+/- 3684 )",53000,"(+/- 3276 )",42104,"(+/- 3683 )",47387,"(+/- 3956 )",34459,"(+/- 3524 )",38419,"(+/- 3052 )",41306,"(+/- 4040 )"
People,"Sex and Age","15 to 19 years",51250,"(+/- 2012 )",57300,"(+/- 3252 )",54846,"(+/- 3710 )",57294,"(+/- 2993 )",45104,"(+/- 3153 )",49033,"(+/- 2971 )",59179,"(+/- 2775 )",37879,"(+/- 3093 )",45456,"(+/- 2842 )"
People,"Sex and Age","20 to 24 years",54177,"(+/- 2028 )",62582,"(+/- 2697 )",51480,"(+/- 3522 )",46597,"(+/- 3462 )",50619,"(+/- 3081 )",46270,"(+/- 2744 )",91993,"(+/- 4072 )",45811,"(+/- 4093 )",43452,"(+/- 2936 )"
People,"Sex and Age","25 to 34 years",91442,"(+/- 2934 )",93644,"(+/- 3556 )",100832,"(+/- 5351 )",85099,"(+/- 4357 )",119970,"(+/- 5009 )",94515,"(+/- 4573 )",194096,"(+/- 6283 )",130607,"(+/- 6127 )",80127,"(+/- 3937 )"
People,"Sex and Age","35 to 44 years",81431,"(+/- 1789 )",87549,"(+/- 3292 )",96241,"(+/- 5130 )",92288,"(+/- 4174 )",110125,"(+/- 4761 )",88291,"(+/- 3901 )",105529,"(+/- 4650 )",98577,"(+/- 4544 )",82109,"(+/- 4128 )"
