Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",699220,"(+/- 1303 )",743361,"(+/- 3234 )",749975,"(+/- 2599 )",704592,"(+/- 3038 )",671115,"(+/- 3385 )",721736,"(+/- 1457 )",706811,"(+/- 3250 )",749011,"(+/- 5693 )",715259,"(+/- 7497 )",722722,"(+/- 6603 )",733920,"(+/- 6508 )",709832,"(+/- 6810 )",663867,"(+/- 12601 )",704494,"(+/- 12129 )"
People,"Sex and Age",Male,356045,"(+/- 1259 )",367463,"(+/- 3814 )",374990,"(+/- 3424 )",351695,"(+/- 2030 )",326172,"(+/- 2037 )",356681,"(+/- 1538 )",353841,"(+/- 2437 )",368620,"(+/- 3654 )",349510,"(+/- 5462 )",359275,"(+/- 4023 )",361375,"(+/- 4571 )",353009,"(+/- 4547 )",315738,"(+/- 7105 )",332402,"(+/- 7507 )"
People,"Sex and Age",Female,343175,"(+/- 1466 )",375898,"(+/- 3654 )",374985,"(+/- 3263 )",352897,"(+/- 2307 )",344943,"(+/- 2626 )",365055,"(+/- 1412 )",352970,"(+/- 2390 )",380391,"(+/- 4238 )",365749,"(+/- 5770 )",363447,"(+/- 4852 )",372545,"(+/- 4925 )",356823,"(+/- 5724 )",348129,"(+/- 8498 )",372092,"(+/- 8353 )"
People,"Sex and Age","Under 5 years",31843,"(+/- 814 )",45071,"(+/- 1819 )",48600,"(+/- 1850 )",36287,"(+/- 1239 )",38389,"(+/- 846 )",42374,"(+/- 755 )",38337,"(+/- 1048 )",41017,"(+/- 1546 )",40682,"(+/- 1998 )",35728,"(+/- 1916 )",39507,"(+/- 2445 )",40851,"(+/- 2907 )",47053,"(+/- 3708 )",43444,"(+/- 3371 )"
People,"Sex and Age","5 to 9 years",34970,"(+/- 1779 )",48484,"(+/- 2816 )",51972,"(+/- 3001 )",37920,"(+/- 2153 )",38003,"(+/- 2762 )",43639,"(+/- 2454 )",40302,"(+/- 2498 )",45517,"(+/- 2650 )",39383,"(+/- 2594 )",42829,"(+/- 2689 )",38062,"(+/- 2819 )",38952,"(+/- 2988 )",45677,"(+/- 3464 )",41301,"(+/- 3263 )"
People,"Sex and Age","10 to 14 years",37597,"(+/- 1791 )",48080,"(+/- 3196 )",49348,"(+/- 3082 )",42113,"(+/- 1931 )",43569,"(+/- 2689 )",47989,"(+/- 2303 )",44940,"(+/- 2354 )",48565,"(+/- 2562 )",35901,"(+/- 2727 )",43803,"(+/- 2723 )",47959,"(+/- 3361 )",41313,"(+/- 3041 )",42570,"(+/- 3375 )",45308,"(+/- 4139 )"
People,"Sex and Age","15 to 19 years",41175,"(+/- 1604 )",52945,"(+/- 2268 )",49329,"(+/- 1971 )",48637,"(+/- 1293 )",43343,"(+/- 1639 )",48329,"(+/- 1665 )",46016,"(+/- 1651 )",59015,"(+/- 2765 )",35316,"(+/- 2834 )",48684,"(+/- 2108 )",47415,"(+/- 2370 )",51817,"(+/- 2952 )",44558,"(+/- 2861 )",43949,"(+/- 3141 )"
People,"Sex and Age","20 to 24 years",43706,"(+/- 1485 )",55397,"(+/- 2755 )",47907,"(+/- 2217 )",52695,"(+/- 1731 )",40560,"(+/- 1607 )",58166,"(+/- 1801 )",40991,"(+/- 1401 )",61507,"(+/- 2174 )",46031,"(+/- 3219 )",39339,"(+/- 2135 )",40931,"(+/- 2870 )",70300,"(+/- 2715 )",45646,"(+/- 3483 )",47116,"(+/- 4090 )"
People,"Sex and Age","25 to 34 years",74614,"(+/- 1402 )",97756,"(+/- 3445 )",107744,"(+/- 3500 )",81563,"(+/- 1778 )",80842,"(+/- 2287 )",86872,"(+/- 1572 )",83420,"(+/- 2143 )",91041,"(+/- 2757 )",115075,"(+/- 3855 )",77889,"(+/- 3032 )",90625,"(+/- 3718 )",109046,"(+/- 4140 )",93226,"(+/- 4455 )",101640,"(+/- 4470 )"
People,"Sex and Age","35 to 44 years",72878,"(+/- 1022 )",88115,"(+/- 2768 )",92279,"(+/- 2534 )",77133,"(+/- 1421 )",75890,"(+/- 1459 )",84013,"(+/- 1787 )",81952,"(+/- 1844 )",88023,"(+/- 2626 )",86153,"(+/- 3977 )",85045,"(+/- 2568 )",92867,"(+/- 3550 )",79601,"(+/- 3058 )",79394,"(+/- 4182 )",82219,"(+/- 4478 )"
People,"Sex and Age","45 to 54 years",84671,"(+/- 946 )",90354,"(+/- 2534 )",92173,"(+/- 2308 )",88404,"(+/- 1556 )",86755,"(+/- 1495 )",87090,"(+/- 1972 )",95323,"(+/- 1794 )",102171,"(+/- 2806 )",95306,"(+/- 3813 )",105632,"(+/- 2998 )",105137,"(+/- 4091 )",85462,"(+/- 3621 )",84737,"(+/- 3441 )",87544,"(+/- 3389 )"
People,"Sex and Age","55 to 59 years",54649,"(+/- 2031 )",50787,"(+/- 2977 )",48618,"(+/- 2620 )",49757,"(+/- 2464 )",48587,"(+/- 2644 )",49980,"(+/- 2198 )",53583,"(+/- 3049 )",50707,"(+/- 2676 )",50794,"(+/- 2612 )",57798,"(+/- 2782 )",54272,"(+/- 3085 )",44583,"(+/- 2640 )",41309,"(+/- 3052 )",45332,"(+/- 2867 )"
People,"Sex and Age","60 to 64 years",59642,"(+/- 1997 )",46785,"(+/- 2881 )",49214,"(+/- 2361 )",52606,"(+/- 2293 )",50627,"(+/- 2552 )",48429,"(+/- 2182 )",51324,"(+/- 2657 )",48812,"(+/- 2523 )",51265,"(+/- 3403 )",53422,"(+/- 2557 )",53642,"(+/- 3130 )",43931,"(+/- 2805 )",42432,"(+/- 3038 )",48832,"(+/- 3437 )"
People,"Sex and Age","65 to 74 years",94871,"(+/- 650 )",69962,"(+/- 2408 )",65935,"(+/- 1939 )",79615,"(+/- 1345 )",71884,"(+/- 1287 )",74240,"(+/- 919 )",77694,"(+/- 1318 )",69441,"(+/- 1882 )",66473,"(+/- 2937 )",78950,"(+/- 2619 )",74295,"(+/- 2987 )",60846,"(+/- 3068 )",56912,"(+/- 2644 )",68068,"(+/- 3376 )"
