Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",678418,"(+/- 2466 )",714141,"(+/- 2818 )",723994,"(+/- 5700 )",717766,"(+/- 3482 )",718802,"(+/- 5722 )",722715,"(+/- 4797 )",663069,"(+/- 3156 )",672274,"(+/- 1656 )"
People,"Sex and Age",Male,340122,"(+/- 2443 )",350825,"(+/- 2113 )",353270,"(+/- 4252 )",351638,"(+/- 2302 )",358830,"(+/- 4022 )",366854,"(+/- 3619 )",330867,"(+/- 2449 )",341574,"(+/- 1287 )"
People,"Sex and Age",Female,338296,"(+/- 2350 )",363316,"(+/- 2025 )",370724,"(+/- 4713 )",366128,"(+/- 2351 )",359972,"(+/- 5109 )",355861,"(+/- 3338 )",332202,"(+/- 2267 )",330700,"(+/- 1304 )"
People,"Sex and Age","Under 5 years",42702,"(+/- 1255 )",44760,"(+/- 761 )",44437,"(+/- 3184 )",48542,"(+/- 1139 )",48165,"(+/- 2978 )",47220,"(+/- 2201 )",43631,"(+/- 976 )",35475,"(+/- 822 )"
People,"Sex and Age","5 to 9 years",42158,"(+/- 2413 )",49855,"(+/- 2704 )",45681,"(+/- 3076 )",48743,"(+/- 2399 )",41745,"(+/- 2773 )",48896,"(+/- 2594 )",44470,"(+/- 1768 )",39165,"(+/- 1752 )"
People,"Sex and Age","10 to 14 years",44537,"(+/- 2047 )",51463,"(+/- 2690 )",50278,"(+/- 3747 )",45788,"(+/- 2387 )",39673,"(+/- 3025 )",53539,"(+/- 2534 )",43501,"(+/- 1522 )",41588,"(+/- 1837 )"
People,"Sex and Age","15 to 19 years",45546,"(+/- 1817 )",49474,"(+/- 1914 )",43992,"(+/- 2470 )",45202,"(+/- 1429 )",38926,"(+/- 2201 )",52415,"(+/- 1788 )",40069,"(+/- 1149 )",40764,"(+/- 1138 )"
People,"Sex and Age","20 to 24 years",50531,"(+/- 1777 )",42658,"(+/- 1970 )",31663,"(+/- 2796 )",46427,"(+/- 1520 )",57357,"(+/- 2432 )",47766,"(+/- 2279 )",42013,"(+/- 1512 )",41135,"(+/- 1191 )"
People,"Sex and Age","25 to 34 years",82989,"(+/- 2121 )",87713,"(+/- 2290 )",88451,"(+/- 4167 )",111924,"(+/- 1874 )",150423,"(+/- 4196 )",87738,"(+/- 2951 )",76374,"(+/- 1689 )",73929,"(+/- 1216 )"
People,"Sex and Age","35 to 44 years",81859,"(+/- 2075 )",98853,"(+/- 2344 )",96810,"(+/- 3952 )",91701,"(+/- 1832 )",99317,"(+/- 4194 )",97462,"(+/- 2421 )",72900,"(+/- 1186 )",76065,"(+/- 945 )"
People,"Sex and Age","45 to 54 years",78871,"(+/- 1568 )",94538,"(+/- 1880 )",103837,"(+/- 3376 )",83449,"(+/- 1667 )",74379,"(+/- 2937 )",98188,"(+/- 2636 )",74498,"(+/- 1179 )",81920,"(+/- 988 )"
People,"Sex and Age","55 to 59 years",47743,"(+/- 1813 )",54537,"(+/- 2623 )",55855,"(+/- 3407 )",47366,"(+/- 2365 )",41441,"(+/- 2878 )",53146,"(+/- 2911 )",48182,"(+/- 1407 )",52810,"(+/- 1683 )"
People,"Sex and Age","60 to 64 years",43909,"(+/- 1800 )",41197,"(+/- 2593 )",48307,"(+/- 2815 )",43987,"(+/- 2425 )",36304,"(+/- 2653 )",42268,"(+/- 2613 )",47192,"(+/- 1434 )",52163,"(+/- 1917 )"
People,"Sex and Age","65 to 74 years",63507,"(+/- 989 )",58069,"(+/- 1473 )",67279,"(+/- 2940 )",62116,"(+/- 1559 )",52621,"(+/- 2547 )",57873,"(+/- 1814 )",69761,"(+/- 981 )",79260,"(+/- 642 )"
People,"Sex and Age","75 to 84 years",35748,"(+/- 1714 )",29699,"(+/- 1745 )",34928,"(+/- 2582 )",28769,"(+/- 1814 )",24207,"(+/- 2154 )",26898,"(+/- 1709 )",41150,"(+/- 1302 )",41376,"(+/- 1655 )"
People,"Sex and Age","85 years and over",18318,"(+/- 1522 )",11325,"(+/- 1521 )",12476,"(+/- 1766 )",13752,"(+/- 1476 )",14244,"(+/- 1467 )",9306,"(+/- 1176 )",19328,"(+/- 1256 )",16624,"(+/- 1606 )"
People,"Sex and Age","Median age (years)",38.6,"(+/- 0.3 )",37.9,"(+/- 0.3 )",40.4,"(+/- 0.6 )",36.2,"(+/- 0.3 )",33.7,"(+/- 0.5 )",37.5,"(+/- 0.4 )",40.3,"(+/- 0.4 )",43.4,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",522083,"(+/- 1908 )",538088,"(+/- 2506 )",552571,"(+/- 5644 )",547240,"(+/- 2730 )",569735,"(+/- 5478 )",541574,"(+/- 4352 )",506770,"(+/- 2403 )",531071,"(+/- 1146 )"
People,"Sex and Age","65 years and over",117573,"(+/- 1144 )",99093,"(+/- 1576 )",114683,"(+/- 3705 )",104637,"(+/- 1715 )",91072,"(+/- 3419 )",94077,"(+/- 2413 )",130239,"(+/- 1188 )",137260,"(+/- 842 )"
People,Race,"Total population",678418,"(+/- 2466 )",714141,"(+/- 2818 )",723994,"(+/- 5700 )",717766,"(+/- 3482 )",718802,"(+/- 5722 )",722715,"(+/- 4797 )",663069,"(+/- 3156 )",672274,"(+/- 1656 )"
People,Race,"One race",664051,"(+/- 3303 )",691592,"(+/- 4853 )",699772,"(+/- 6132 )",686212,"(+/- 4755 )",687974,"(+/- 6256 )",704680,"(+/- 5244 )",648498,"(+/- 3545 )",653568,"(+/- 2001 )"
People,Race,White,606439,"(+/- 3843 )",601405,"(+/- 5413 )",569372,"(+/- 8120 )",500450,"(+/- 4884 )",484065,"(+/- 9497 )",646833,"(+/- 5520 )",599813,"(+/- 3142 )",620998,"(+/- 1416 )"
People,Race,"Black or African American",21905,"(+/- 1505 )",40131,"(+/- 2783 )",63310,"(+/- 7408 )",75003,"(+/- 2898 )",122385,"(+/- 7445 )",26704,"(+/- 2745 )",11246,"(+/- 1178 )",6969,"(+/- 879 )"
People,Race,"American Indian and Alaska Native",2013,"(+/- 584 )",3444,"(+/- 1004 )",1360,"(+/- 868 )",4597,"(+/- 1006 )",9613,"(+/- 2337 )",2829,"(+/- 1162 )",19132,"(+/- 1622 )",17995,"(+/- 1474 )"
People,Race,Asian,18839,"(+/- 1504 )",33434,"(+/- 1959 )",55202,"(+/- 4585 )",92962,"(+/- 3077 )",42670,"(+/- 4601 )",19476,"(+/- 2350 )",5728,"(+/- 897 )",4815,"(+/- 773 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1141,"(+/- 996 )",66,"(+/- 118 )",339,"(+/- 334 )",155,"(+/- 124 )",70,"(+/- 116 )",33,"(+/- 65 )",308,"(+/- 240 )",284,"(+/- 202 )"
People,Race,"Some other race",13714,"(+/- 3069 )",13112,"(+/- 2746 )",10189,"(+/- 2717 )",13045,"(+/- 3044 )",29171,"(+/- 5265 )",8805,"(+/- 2587 )",12271,"(+/- 2031 )",2507,"(+/- 943 )"
People,Race,"Two or more races",14367,"(+/- 2216 )",22549,"(+/- 3321 )",24222,"(+/- 3955 )",31554,"(+/- 3594 )",30828,"(+/- 3586 )",18035,"(+/- 3096 )",14571,"(+/- 1642 )",18706,"(+/- 2128 )"
People,"Hispanic or Latino and Race","Total population",678418,"(+/- 2466 )",714141,"(+/- 2818 )",723994,"(+/- 5700 )",717766,"(+/- 3482 )",718802,"(+/- 5722 )",722715,"(+/- 4797 )",663069,"(+/- 3156 )",672274,"(+/- 1656 )"
