Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",769595,"(+/- 2670 )",695797,"(+/- 5681 )",746155,"(+/- 6171 )",774983,"(+/- 1541 )"
People,"Sex and Age",Male,370895,"(+/- 3025 )",334753,"(+/- 4367 )",359679,"(+/- 4815 )",381502,"(+/- 3493 )"
People,"Sex and Age",Female,398700,"(+/- 2959 )",361044,"(+/- 4189 )",386476,"(+/- 4660 )",393481,"(+/- 3015 )"
People,"Sex and Age","Under 5 years",45842,"(+/- 1621 )",41371,"(+/- 2092 )",44475,"(+/- 2333 )",46073,"(+/- 2131 )"
People,"Sex and Age","5 to 9 years",49355,"(+/- 2720 )",46471,"(+/- 3141 )",47168,"(+/- 3545 )",48597,"(+/- 3805 )"
People,"Sex and Age","10 to 14 years",53743,"(+/- 2673 )",51931,"(+/- 3323 )",54924,"(+/- 3461 )",55574,"(+/- 3734 )"
People,"Sex and Age","15 to 19 years",59078,"(+/- 3377 )",54431,"(+/- 3148 )",50737,"(+/- 2925 )",54798,"(+/- 3433 )"
People,"Sex and Age","20 to 24 years",52993,"(+/- 3569 )",46831,"(+/- 2948 )",51196,"(+/- 3421 )",53659,"(+/- 3385 )"
People,"Sex and Age","25 to 34 years",95682,"(+/- 3124 )",86277,"(+/- 3785 )",97140,"(+/- 4188 )",99928,"(+/- 3258 )"
People,"Sex and Age","35 to 44 years",96148,"(+/- 2278 )",84868,"(+/- 3120 )",99487,"(+/- 4388 )",100193,"(+/- 3207 )"
People,"Sex and Age","45 to 54 years",97685,"(+/- 2576 )",83098,"(+/- 3342 )",84482,"(+/- 3536 )",94399,"(+/- 2297 )"
People,"Sex and Age","55 to 59 years",48354,"(+/- 3123 )",45916,"(+/- 2436 )",47108,"(+/- 3070 )",49445,"(+/- 3370 )"
People,"Sex and Age","60 to 64 years",49168,"(+/- 3064 )",47852,"(+/- 2719 )",46551,"(+/- 3003 )",49079,"(+/- 3413 )"
People,"Sex and Age","65 to 74 years",71780,"(+/- 1768 )",66377,"(+/- 2022 )",72563,"(+/- 2263 )",73636,"(+/- 2000 )"
People,"Sex and Age","75 to 84 years",37943,"(+/- 2170 )",30174,"(+/- 1960 )",36655,"(+/- 2265 )",38935,"(+/- 2197 )"
People,"Sex and Age","85 years and over",11824,"(+/- 1763 )",10200,"(+/- 1509 )",13669,"(+/- 1976 )",10667,"(+/- 1901 )"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.3 )",37.3,"(+/- 0.5 )",37.5,"(+/- 0.4 )",37.7,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",588899,"(+/- 2317 )",527456,"(+/- 4526 )",572733,"(+/- 4994 )",591720,"(+/- 2094 )"
People,"Sex and Age","65 years and over",121547,"(+/- 1728 )",106751,"(+/- 2281 )",122887,"(+/- 2782 )",123238,"(+/- 2185 )"
People,Race,"Total population",769595,"(+/- 2670 )",695797,"(+/- 5681 )",746155,"(+/- 6171 )",774983,"(+/- 1541 )"
