Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",728365,"(+/- 7576 )",760689,"(+/- 12075 )",793405,"(+/- 8955 )",770500,"(+/- 4141 )",771847,"(+/- 6564 )",780002,"(+/- 6630 )",783672,"(+/- 2891 )",737972,"(+/- 5020 )"
People,"Sex and Age",Male,346255,"(+/- 4941 )",367096,"(+/- 7429 )",393152,"(+/- 5198 )",385142,"(+/- 3476 )",373445,"(+/- 3776 )",387329,"(+/- 3930 )",383138,"(+/- 2633 )",367608,"(+/- 3987 )"
People,"Sex and Age",Female,382110,"(+/- 5111 )",393593,"(+/- 7111 )",400253,"(+/- 5284 )",385358,"(+/- 3389 )",398402,"(+/- 4557 )",392673,"(+/- 4720 )",400534,"(+/- 2501 )",370364,"(+/- 3719 )"
People,"Sex and Age","Under 5 years",46173,"(+/- 1716 )",44067,"(+/- 2842 )",47373,"(+/- 1802 )",45452,"(+/- 1516 )",49871,"(+/- 1876 )",48590,"(+/- 2317 )",47761,"(+/- 1448 )",41121,"(+/- 1472 )"
People,"Sex and Age","5 to 9 years",42735,"(+/- 3233 )",41161,"(+/- 2949 )",49057,"(+/- 3209 )",48936,"(+/- 2789 )",50937,"(+/- 2750 )",47381,"(+/- 2997 )",45799,"(+/- 3042 )",47731,"(+/- 2360 )"
People,"Sex and Age","10 to 14 years",44627,"(+/- 3292 )",47906,"(+/- 3336 )",53588,"(+/- 2936 )",48059,"(+/- 2652 )",46086,"(+/- 3194 )",59244,"(+/- 3434 )",54232,"(+/- 3063 )",47457,"(+/- 2871 )"
People,"Sex and Age","15 to 19 years",38156,"(+/- 1956 )",48632,"(+/- 2323 )",50007,"(+/- 2526 )",56754,"(+/- 3052 )",47353,"(+/- 2136 )",52138,"(+/- 2092 )",51547,"(+/- 1982 )",47336,"(+/- 2805 )"
People,"Sex and Age","20 to 24 years",54686,"(+/- 2270 )",39166,"(+/- 2730 )",46893,"(+/- 2782 )",65304,"(+/- 2841 )",48930,"(+/- 2283 )",47560,"(+/- 3038 )",57865,"(+/- 2009 )",45994,"(+/- 2368 )"
People,"Sex and Age","25 to 34 years",125975,"(+/- 3419 )",86204,"(+/- 4337 )",103148,"(+/- 3300 )",99947,"(+/- 2786 )",122301,"(+/- 2999 )",95505,"(+/- 3298 )",102054,"(+/- 2287 )",83998,"(+/- 2728 )"
People,"Sex and Age","35 to 44 years",90109,"(+/- 2570 )",94384,"(+/- 3758 )",99407,"(+/- 3450 )",87483,"(+/- 2346 )",96599,"(+/- 2599 )",97872,"(+/- 2710 )",91675,"(+/- 1658 )",84814,"(+/- 2373 )"
