Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",685427,"(+/- 17966 )",729771,"(+/- 2947 )",846761,"(+/- 15041 )",772433,"(+/- 16009 )"
People,"Sex and Age",Male,345733,"(+/- 11200 )",372103,"(+/- 2363 )",420486,"(+/- 9851 )",384052,"(+/- 10087 )"
People,"Sex and Age",Female,339694,"(+/- 8851 )",357668,"(+/- 2739 )",426275,"(+/- 8320 )",388381,"(+/- 8623 )"
People,"Sex and Age","Under 5 years",41835,"(+/- 3216 )",40890,"(+/- 831 )",48225,"(+/- 3506 )",53589,"(+/- 4014 )"
People,"Sex and Age","5 to 9 years",43543,"(+/- 4117 )",46922,"(+/- 2882 )",49280,"(+/- 3893 )",49135,"(+/- 4181 )"
People,"Sex and Age","10 to 14 years",42344,"(+/- 3288 )",44668,"(+/- 2768 )",55431,"(+/- 3862 )",59182,"(+/- 4983 )"
People,"Sex and Age","15 to 19 years",39859,"(+/- 2889 )",43251,"(+/- 1738 )",46801,"(+/- 3271 )",52487,"(+/- 3386 )"
People,"Sex and Age","20 to 24 years",50888,"(+/- 3509 )",43881,"(+/- 1904 )",41825,"(+/- 3261 )",43782,"(+/- 3036 )"
People,"Sex and Age","25 to 34 years",106873,"(+/- 6017 )",102619,"(+/- 2203 )",127281,"(+/- 5934 )",105940,"(+/- 5616 )"
People,"Sex and Age","35 to 44 years",90847,"(+/- 4952 )",89114,"(+/- 2042 )",124604,"(+/- 5140 )",100563,"(+/- 4817 )"
People,"Sex and Age","45 to 54 years",89863,"(+/- 4813 )",92101,"(+/- 2144 )",116330,"(+/- 4556 )",97873,"(+/- 4830 )"
People,"Sex and Age","55 to 59 years",42793,"(+/- 3398 )",48616,"(+/- 2379 )",53672,"(+/- 3724 )",45978,"(+/- 3552 )"
People,"Sex and Age","60 to 64 years",36921,"(+/- 3080 )",51629,"(+/- 2507 )",49573,"(+/- 3305 )",48264,"(+/- 3072 )"
People,"Sex and Age","65 to 74 years",60728,"(+/- 3449 )",78335,"(+/- 1314 )",80809,"(+/- 3549 )",72124,"(+/- 3359 )"
People,"Sex and Age","75 to 84 years",30395,"(+/- 2669 )",35763,"(+/- 2210 )",38674,"(+/- 2443 )",34012,"(+/- 2702 )"
People,"Sex and Age","85 years and over",8538,"(+/- 1683 )",11982,"(+/- 1843 )",14256,"(+/- 2130 )",9504,"(+/- 1450 )"
People,"Sex and Age","Median age (years)",36.9,"(+/- 0.9 )",39.5,"(+/- 0.5 )",39.2,"(+/- 0.6 )",36.9,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",533900,"(+/- 12466 )",571402,"(+/- 2106 )",663679,"(+/- 11295 )",576191,"(+/- 10787 )"
People,"Sex and Age","65 years and over",99661,"(+/- 4558 )",126080,"(+/- 1740 )",133739,"(+/- 4438 )",115640,"(+/- 4305 )"
People,Race,"Total population",685427,"(+/- 17966 )",729771,"(+/- 2947 )",846761,"(+/- 15041 )",772433,"(+/- 16009 )"
People,Race,"One race",654826,"(+/- 17543 )",703870,"(+/- 4860 )",791533,"(+/- 15891 )",728333,"(+/- 16219 )"
People,Race,White,339750,"(+/- 11100 )",578423,"(+/- 8419 )",534704,"(+/- 13652 )",472099,"(+/- 14331 )"
People,Race,"Black or African American",90137,"(+/- 9235 )",14156,"(+/- 1883 )",69957,"(+/- 8653 )",106135,"(+/- 7867 )"
People,Race,"American Indian and Alaska Native",12197,"(+/- 3637 )",17657,"(+/- 1978 )",4236,"(+/- 1648 )",10576,"(+/- 2210 )"
People,Race,Asian,55672,"(+/- 5413 )",29443,"(+/- 1890 )",121484,"(+/- 7262 )",43538,"(+/- 6269 )"
People,Race,"Native Hawaiian and Other Pacific Islander",3623,"(+/- 1319 )",3918,"(+/- 1136 )",4340,"(+/- 1606 )",7731,"(+/- 2570 )"
People,Race,"Some other race",153447,"(+/- 10489 )",60273,"(+/- 7510 )",56812,"(+/- 8284 )",88254,"(+/- 11210 )"
People,Race,"Two or more races",30601,"(+/- 4186 )",25901,"(+/- 3169 )",55228,"(+/- 7084 )",44100,"(+/- 4880 )"
People,"Hispanic or Latino and Race","Total population",685427,"(+/- 17966 )",729771,"(+/- 2947 )",846761,"(+/- 15041 )",772433,"(+/- 16009 )"
