Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Sex and Age","Total population",731297,"(+/- 6231 )",703117,"(+/- 6391 )",742905,"(+/- 4922 )",748858,"(+/- 7391 )",730707,"(+/- 10489 )",730114,"(+/- 8567 )",730778,"(+/- 10633 )",764837,"(+/- 12592 )",765382,"(+/- 10934 )",759704,"(+/- 12592 )",744805,"(+/- 10897 )",756016,"(+/- 7657 )"
People,"Sex and Age",Male,353252,"(+/- 3146 )",346593,"(+/- 3727 )",363096,"(+/- 3523 )",362215,"(+/- 5466 )",354658,"(+/- 6627 )",362648,"(+/- 5509 )",356651,"(+/- 6505 )",382900,"(+/- 7849 )",376643,"(+/- 7457 )",365555,"(+/- 7727 )",359454,"(+/- 6811 )",366721,"(+/- 5456 )"
People,"Sex and Age",Female,378045,"(+/- 4217 )",356524,"(+/- 4641 )",379809,"(+/- 3516 )",386643,"(+/- 5193 )",376049,"(+/- 6381 )",367466,"(+/- 5802 )",374127,"(+/- 6546 )",381937,"(+/- 7535 )",388739,"(+/- 6296 )",394149,"(+/- 7340 )",385351,"(+/- 7114 )",389295,"(+/- 6008 )"
People,"Sex and Age","Under 5 years",42991,"(+/- 1593 )",36120,"(+/- 1787 )",39646,"(+/- 2256 )",46291,"(+/- 2812 )",36073,"(+/- 2418 )",42892,"(+/- 2921 )",39014,"(+/- 2369 )",56682,"(+/- 4018 )",47325,"(+/- 2644 )",47955,"(+/- 3622 )",40238,"(+/- 2785 )",42467,"(+/- 3050 )"
People,"Sex and Age","5 to 9 years",44497,"(+/- 3054 )",37379,"(+/- 2671 )",38746,"(+/- 2703 )",47767,"(+/- 3597 )",42573,"(+/- 2821 )",40981,"(+/- 2832 )",39875,"(+/- 3261 )",42576,"(+/- 3190 )",48115,"(+/- 3171 )",51117,"(+/- 3181 )",40920,"(+/- 3012 )",43359,"(+/- 2954 )"
People,"Sex and Age","10 to 14 years",47702,"(+/- 2742 )",44924,"(+/- 3265 )",47953,"(+/- 3270 )",52973,"(+/- 3316 )",48443,"(+/- 3153 )",44408,"(+/- 3607 )",51720,"(+/- 3703 )",42444,"(+/- 3421 )",46176,"(+/- 3600 )",48104,"(+/- 2819 )",47468,"(+/- 3697 )",50777,"(+/- 4176 )"
People,"Sex and Age","15 to 19 years",45695,"(+/- 1496 )",41340,"(+/- 1849 )",43281,"(+/- 2042 )",48752,"(+/- 2840 )",48202,"(+/- 3324 )",49665,"(+/- 2556 )",50860,"(+/- 2751 )",41579,"(+/- 2579 )",45647,"(+/- 3281 )",47017,"(+/- 3035 )",46160,"(+/- 2600 )",48114,"(+/- 3364 )"
People,"Sex and Age","20 to 24 years",46447,"(+/- 1462 )",42616,"(+/- 2175 )",43222,"(+/- 2160 )",41978,"(+/- 3276 )",44701,"(+/- 2880 )",56420,"(+/- 2548 )",40331,"(+/- 2690 )",48613,"(+/- 3603 )",46856,"(+/- 3127 )",51735,"(+/- 3980 )",43603,"(+/- 3261 )",47752,"(+/- 4317 )"
People,"Sex and Age","25 to 34 years",98604,"(+/- 2839 )",83436,"(+/- 2844 )",91208,"(+/- 2918 )",79276,"(+/- 4578 )",73498,"(+/- 3535 )",99889,"(+/- 4717 )",71051,"(+/- 3413 )",153973,"(+/- 4538 )",108757,"(+/- 3953 )",119622,"(+/- 5662 )",82206,"(+/- 3767 )",89573,"(+/- 5464 )"
People,"Sex and Age","35 to 44 years",93548,"(+/- 2453 )",80858,"(+/- 2917 )",85426,"(+/- 2532 )",83112,"(+/- 4076 )",88704,"(+/- 3961 )",94325,"(+/- 4472 )",89966,"(+/- 3843 )",119109,"(+/- 4580 )",104953,"(+/- 3773 )",105951,"(+/- 4327 )",96151,"(+/- 3904 )",105488,"(+/- 5377 )"
People,"Sex and Age","45 to 54 years",98137,"(+/- 2002 )",94161,"(+/- 2872 )",100991,"(+/- 2566 )",100343,"(+/- 3180 )",107619,"(+/- 3843 )",97161,"(+/- 3506 )",115537,"(+/- 3926 )",98263,"(+/- 4022 )",106855,"(+/- 4369 )",95252,"(+/- 3651 )",109132,"(+/- 5086 )",110148,"(+/- 4413 )"
People,"Sex and Age","55 to 59 years",51540,"(+/- 2854 )",53657,"(+/- 2599 )",56360,"(+/- 2783 )",52399,"(+/- 3783 )",57353,"(+/- 3615 )",51299,"(+/- 3202 )",61214,"(+/- 3549 )",40261,"(+/- 2959 )",54303,"(+/- 3484 )",46771,"(+/- 3506 )",55624,"(+/- 3573 )",53907,"(+/- 3324 )"
People,"Sex and Age","60 to 64 years",48411,"(+/- 2655 )",51792,"(+/- 2706 )",53241,"(+/- 2412 )",48816,"(+/- 3201 )",52311,"(+/- 3333 )",48074,"(+/- 3232 )",50676,"(+/- 2882 )",38945,"(+/- 2771 )",45415,"(+/- 2953 )",47319,"(+/- 3249 )",51267,"(+/- 3262 )",47716,"(+/- 3838 )"
People,"Sex and Age","65 to 74 years",66499,"(+/- 1556 )",78580,"(+/- 2267 )",79566,"(+/- 2595 )",80836,"(+/- 3177 )",74498,"(+/- 2946 )",60050,"(+/- 3234 )",68034,"(+/- 3031 )",47023,"(+/- 3061 )",61877,"(+/- 3090 )",56487,"(+/- 2777 )",70582,"(+/- 2783 )",68321,"(+/- 4006 )"
People,"Sex and Age","75 to 84 years",33878,"(+/- 2014 )",43291,"(+/- 2097 )",44363,"(+/- 2386 )",44845,"(+/- 3230 )",36930,"(+/- 2550 )",31928,"(+/- 2307 )",34932,"(+/- 2577 )",25461,"(+/- 2155 )",33312,"(+/- 2503 )",28249,"(+/- 2626 )",41388,"(+/- 2439 )",31601,"(+/- 2614 )"
People,"Sex and Age","85 years and over",13348,"(+/- 1683 )",14963,"(+/- 1510 )",18902,"(+/- 2103 )",21470,"(+/- 2032 )",19802,"(+/- 2277 )",13022,"(+/- 1587 )",17568,"(+/- 2254 )",9908,"(+/- 1816 )",15791,"(+/- 2002 )",14125,"(+/- 2260 )",20066,"(+/- 1961 )",16793,"(+/- 1839 )"
People,"Sex and Age","Median age (years)",39.0,"(+/- 0.5 )",43.3,"(+/- 0.5 )",43.0,"(+/- 0.5 )",42.2,"(+/- 0.8 )",43.1,"(+/- 0.7 )",38.0,"(+/- 0.6 )",43.0,"(+/- 0.6 )",34.7,"(+/- 0.4 )",38.6,"(+/- 0.6 )",36.1,"(+/- 0.7 )",42.6,"(+/- 0.7 )",40.0,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",568216,"(+/- 5129 )",558954,"(+/- 5381 )",588516,"(+/- 4741 )",570618,"(+/- 6814 )",572549,"(+/- 8303 )",574560,"(+/- 7219 )",566968,"(+/- 8330 )",599653,"(+/- 9014 )",595784,"(+/- 9400 )",584542,"(+/- 9765 )",586824,"(+/- 9076 )",590331,"(+/- 8013 )"
People,"Sex and Age","65 years and over",113725,"(+/- 1980 )",136834,"(+/- 2720 )",142831,"(+/- 3417 )",147151,"(+/- 4414 )",131230,"(+/- 4073 )",105000,"(+/- 4304 )",120534,"(+/- 3979 )",82392,"(+/- 3748 )",110980,"(+/- 4090 )",98861,"(+/- 3931 )",132036,"(+/- 3694 )",116715,"(+/- 5166 )"
People,Race,"Total population",731297,"(+/- 6231 )",703117,"(+/- 6391 )",742905,"(+/- 4922 )",748858,"(+/- 7391 )",730707,"(+/- 10489 )",730114,"(+/- 8567 )",730778,"(+/- 10633 )",764837,"(+/- 12592 )",765382,"(+/- 10934 )",759704,"(+/- 12592 )",744805,"(+/- 10897 )",756016,"(+/- 7657 )"
People,Race,"One race",708411,"(+/- 6592 )",680258,"(+/- 7248 )",719968,"(+/- 6003 )",738120,"(+/- 7704 )",710824,"(+/- 10337 )",708249,"(+/- 9890 )",713509,"(+/- 10531 )",735173,"(+/- 13089 )",745149,"(+/- 11143 )",741515,"(+/- 13131 )",728462,"(+/- 10933 )",731483,"(+/- 8231 )"
People,Race,White,486685,"(+/- 8439 )",524102,"(+/- 8028 )",588304,"(+/- 8357 )",637678,"(+/- 10154 )",578080,"(+/- 9947 )",452053,"(+/- 10752 )",573645,"(+/- 10511 )",408879,"(+/- 14231 )",453260,"(+/- 13972 )",218853,"(+/- 11066 )",605871,"(+/- 11964 )",429129,"(+/- 12313 )"
People,Race,"Black or African American",129837,"(+/- 3738 )",84924,"(+/- 4361 )",83511,"(+/- 3512 )",48584,"(+/- 5803 )",38676,"(+/- 4161 )",81928,"(+/- 5782 )",36153,"(+/- 4229 )",74690,"(+/- 7796 )",74660,"(+/- 5242 )",390745,"(+/- 9059 )",30778,"(+/- 3440 )",133509,"(+/- 9265 )"
