Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",697064,"(+/- 6962 )",700113,"(+/- 4803 )",698251,"(+/- 7202 )"
People,"Sex and Age",Male,343453,"(+/- 4131 )",351236,"(+/- 3825 )",344952,"(+/- 4927 )"
People,"Sex and Age",Female,353611,"(+/- 3724 )",348877,"(+/- 3653 )",353299,"(+/- 4595 )"
People,"Sex and Age","Under 5 years",38062,"(+/- 1101 )",43463,"(+/- 1088 )",36969,"(+/- 1430 )"
People,"Sex and Age","5 to 9 years",36048,"(+/- 2997 )",47143,"(+/- 3599 )",44604,"(+/- 2967 )"
People,"Sex and Age","10 to 14 years",46501,"(+/- 3049 )",51944,"(+/- 3092 )",52633,"(+/- 3303 )"
People,"Sex and Age","15 to 19 years",42006,"(+/- 1315 )",52535,"(+/- 2568 )",48176,"(+/- 2487 )"
People,"Sex and Age","20 to 24 years",47021,"(+/- 1327 )",50571,"(+/- 2732 )",41271,"(+/- 2298 )"
People,"Sex and Age","25 to 34 years",102363,"(+/- 2842 )",88695,"(+/- 3506 )",88095,"(+/- 3140 )"
People,"Sex and Age","35 to 44 years",88209,"(+/- 2368 )",82164,"(+/- 3267 )",85888,"(+/- 3161 )"
People,"Sex and Age","45 to 54 years",83581,"(+/- 2348 )",76468,"(+/- 3480 )",79879,"(+/- 2178 )"
People,"Sex and Age","55 to 59 years",49646,"(+/- 2926 )",40289,"(+/- 3325 )",46551,"(+/- 2720 )"
People,"Sex and Age","60 to 64 years",46169,"(+/- 2671 )",44431,"(+/- 3088 )",45573,"(+/- 2511 )"
People,"Sex and Age","65 to 74 years",71704,"(+/- 1773 )",71107,"(+/- 2100 )",78398,"(+/- 2026 )"
People,"Sex and Age","75 to 84 years",31559,"(+/- 2079 )",37174,"(+/- 2262 )",37803,"(+/- 1894 )"
People,"Sex and Age","85 years and over",14195,"(+/- 1796 )",14129,"(+/- 2000 )",12411,"(+/- 1547 )"
People,"Sex and Age","Median age (years)",38.5,"(+/- 0.5 )",36.8,"(+/- 0.4 )",39.2,"(+/- 0.6 )"
