Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",718726,"(+/- 4733 )",709605,"(+/- 9596 )",707576,"(+/- 9548 )",729582,"(+/- 10656 )",757972,"(+/- 19470 )",734183,"(+/- 18479 )",720811,"(+/- 18558 )",791211,"(+/- 19332 )",730957,"(+/- 15833 )",711678,"(+/- 16485 )",732886,"(+/- 12122 )",698928,"(+/- 17290 )",795633,"(+/- 19089 )",706440,"(+/- 18824 )",743959,"(+/- 17471 )",732981,"(+/- 13275 )",741445,"(+/- 4863 )",722226,"(+/- 5836 )",700310,"(+/- 5135 )",722529,"(+/- 5179 )",701112,"(+/- 3853 )",697372,"(+/- 4021 )",693764,"(+/- 4130 )",701664,"(+/- 3167 )",718565,"(+/- 2469 )",707190,"(+/- 4282 )",712904,"(+/- 6119 )"
People,"Sex and Age",Male,357046,"(+/- 4316 )",346050,"(+/- 6825 )",344741,"(+/- 6597 )",355474,"(+/- 6241 )",361166,"(+/- 10722 )",353451,"(+/- 10411 )",352133,"(+/- 10952 )",356607,"(+/- 11189 )",341274,"(+/- 9311 )",340996,"(+/- 10026 )",356897,"(+/- 6830 )",334872,"(+/- 10404 )",379590,"(+/- 11223 )",356097,"(+/- 11292 )",351571,"(+/- 10378 )",338664,"(+/- 7609 )",367580,"(+/- 4377 )",359634,"(+/- 3309 )",351564,"(+/- 3215 )",349913,"(+/- 3562 )",362930,"(+/- 3011 )",344379,"(+/- 2384 )",345865,"(+/- 2860 )",343248,"(+/- 2160 )",345959,"(+/- 1526 )",338199,"(+/- 3833 )",355413,"(+/- 4965 )"
People,"Sex and Age",Female,361680,"(+/- 4417 )",363555,"(+/- 6688 )",362835,"(+/- 6324 )",374108,"(+/- 6366 )",396806,"(+/- 10727 )",380732,"(+/- 10910 )",368678,"(+/- 10304 )",434604,"(+/- 10419 )",389683,"(+/- 9298 )",370682,"(+/- 10410 )",375989,"(+/- 6537 )",364056,"(+/- 10644 )",416043,"(+/- 10992 )",350343,"(+/- 10881 )",392388,"(+/- 9591 )",394317,"(+/- 9882 )",373865,"(+/- 4729 )",362592,"(+/- 4352 )",348746,"(+/- 3447 )",372616,"(+/- 3331 )",338182,"(+/- 2736 )",352993,"(+/- 2616 )",347899,"(+/- 3238 )",358416,"(+/- 1992 )",372606,"(+/- 1380 )",368991,"(+/- 3603 )",357491,"(+/- 3955 )"
People,"Sex and Age","Under 5 years",38492,"(+/- 3304 )",37181,"(+/- 3534 )",36232,"(+/- 3538 )",44872,"(+/- 2758 )",46517,"(+/- 3620 )",42129,"(+/- 3958 )",54772,"(+/- 4187 )",50680,"(+/- 3906 )",46655,"(+/- 3554 )",46152,"(+/- 4006 )",45712,"(+/- 2733 )",30584,"(+/- 3669 )",49181,"(+/- 3581 )",46250,"(+/- 4311 )",56379,"(+/- 3968 )",42581,"(+/- 3502 )",52150,"(+/- 2291 )",39824,"(+/- 1336 )",32830,"(+/- 1572 )",37410,"(+/- 1930 )",35848,"(+/- 1409 )",37117,"(+/- 1065 )",35781,"(+/- 1406 )",39487,"(+/- 914 )",39498,"(+/- 464 )",39625,"(+/- 2400 )",35903,"(+/- 2489 )"
People,"Sex and Age","5 to 9 years",39489,"(+/- 3361 )",38866,"(+/- 3020 )",40407,"(+/- 3395 )",41211,"(+/- 3271 )",40883,"(+/- 3139 )",35656,"(+/- 3441 )",42880,"(+/- 3986 )",42980,"(+/- 4113 )",42456,"(+/- 3578 )",35943,"(+/- 3161 )",43871,"(+/- 3737 )",20896,"(+/- 3673 )",39794,"(+/- 4500 )",38116,"(+/- 3940 )",55656,"(+/- 3705 )",43609,"(+/- 4089 )",46726,"(+/- 2660 )",43628,"(+/- 2810 )",32756,"(+/- 2435 )",35494,"(+/- 2624 )",39274,"(+/- 2229 )",41266,"(+/- 2637 )",38089,"(+/- 1986 )",41224,"(+/- 2465 )",40357,"(+/- 2314 )",39863,"(+/- 2395 )",37589,"(+/- 3209 )"
People,"Sex and Age","10 to 14 years",46631,"(+/- 3076 )",45985,"(+/- 3585 )",39547,"(+/- 2694 )",46267,"(+/- 3262 )",49501,"(+/- 4386 )",40041,"(+/- 3360 )",46238,"(+/- 3261 )",50295,"(+/- 4204 )",40396,"(+/- 3106 )",39521,"(+/- 3412 )",44584,"(+/- 3571 )",18030,"(+/- 3090 )",44557,"(+/- 3903 )",40694,"(+/- 3623 )",55760,"(+/- 4787 )",48651,"(+/- 3701 )",49279,"(+/- 2842 )",49257,"(+/- 2869 )",37970,"(+/- 2506 )",42788,"(+/- 2616 )",38288,"(+/- 1802 )",39839,"(+/- 2740 )",38303,"(+/- 2351 )",39574,"(+/- 2592 )",43731,"(+/- 2341 )",38006,"(+/- 2559 )",41004,"(+/- 2990 )"
People,"Sex and Age","15 to 19 years",47665,"(+/- 3032 )",46001,"(+/- 3231 )",41701,"(+/- 3310 )",47140,"(+/- 2492 )",45504,"(+/- 3280 )",32561,"(+/- 3700 )",39177,"(+/- 3460 )",41711,"(+/- 3266 )",37273,"(+/- 2413 )",35163,"(+/- 3167 )",43617,"(+/- 2096 )",24070,"(+/- 2750 )",40526,"(+/- 3105 )",37124,"(+/- 3078 )",56085,"(+/- 3058 )",44057,"(+/- 3309 )",50524,"(+/- 2445 )",53601,"(+/- 1968 )",46517,"(+/- 2091 )",54235,"(+/- 2774 )",46713,"(+/- 1771 )",50607,"(+/- 1809 )",52220,"(+/- 1912 )",49567,"(+/- 1048 )",47696,"(+/- 762 )",47664,"(+/- 2047 )",43532,"(+/- 2630 )"
People,"Sex and Age","20 to 24 years",44410,"(+/- 2762 )",48697,"(+/- 3111 )",42867,"(+/- 3796 )",45457,"(+/- 2744 )",49875,"(+/- 3237 )",37005,"(+/- 3034 )",45576,"(+/- 3621 )",51996,"(+/- 3750 )",43119,"(+/- 3418 )",46021,"(+/- 3783 )",41460,"(+/- 1941 )",48762,"(+/- 4396 )",55310,"(+/- 4333 )",40194,"(+/- 3290 )",59900,"(+/- 4354 )",42596,"(+/- 3447 )",51157,"(+/- 2797 )",51125,"(+/- 2378 )",44809,"(+/- 1888 )",61325,"(+/- 2343 )",50208,"(+/- 1594 )",50760,"(+/- 1677 )",55495,"(+/- 2220 )",47864,"(+/- 1357 )",50481,"(+/- 698 )",48625,"(+/- 2218 )",38963,"(+/- 2470 )"
People,"Sex and Age","25 to 34 years",85559,"(+/- 4173 )",86055,"(+/- 4181 )",72007,"(+/- 4571 )",89444,"(+/- 3663 )",112574,"(+/- 5299 )",108080,"(+/- 5368 )",141628,"(+/- 6275 )",140282,"(+/- 6176 )",135821,"(+/- 6299 )",130190,"(+/- 6460 )",99140,"(+/- 3609 )",196531,"(+/- 8194 )",160710,"(+/- 8711 )",124000,"(+/- 6115 )",118431,"(+/- 5282 )",93650,"(+/- 5266 )",83612,"(+/- 3322 )",85173,"(+/- 2926 )",78882,"(+/- 2854 )",94615,"(+/- 3269 )",87071,"(+/- 1986 )",83989,"(+/- 2286 )",80590,"(+/- 2197 )",90597,"(+/- 1593 )",102318,"(+/- 851 )",108360,"(+/- 3220 )",83589,"(+/- 3493 )"
People,"Sex and Age","35 to 44 years",80749,"(+/- 4356 )",91832,"(+/- 4565 )",73572,"(+/- 4381 )",93010,"(+/- 4058 )",90956,"(+/- 4667 )",95076,"(+/- 5046 )",102581,"(+/- 4812 )",107866,"(+/- 6129 )",100427,"(+/- 4959 )",98833,"(+/- 5083 )",92019,"(+/- 2828 )",104600,"(+/- 5023 )",115036,"(+/- 5582 )",117747,"(+/- 5485 )",90302,"(+/- 4267 )",93320,"(+/- 4535 )",90522,"(+/- 3513 )",83737,"(+/- 2137 )",76338,"(+/- 2543 )",85325,"(+/- 2409 )",80240,"(+/- 1883 )",74636,"(+/- 1724 )",75213,"(+/- 1660 )",78168,"(+/- 1242 )",82337,"(+/- 952 )",80013,"(+/- 2661 )",79370,"(+/- 2837 )"
