Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE"
People,"Sex and Age","Total population",761087,"(+/- 7524 )",858938,"(+/- 11374 )",756375,"(+/- 5217 )",871589,"(+/- 9355 )",762960,"(+/- 2559 )",772716,"(+/- 8848 )",809820,"(+/- 7175 )",797935,"(+/- 6162 )",792434,"(+/- 9897 )",762919,"(+/- 6106 )",768166,"(+/- 5505 )",880550,"(+/- 8332 )",788131,"(+/- 9589 )"
People,"Sex and Age",Male,364971,"(+/- 4835 )",419435,"(+/- 6844 )",386059,"(+/- 3995 )",419660,"(+/- 5742 )",371305,"(+/- 1909 )",375109,"(+/- 6626 )",393260,"(+/- 4007 )",394779,"(+/- 4526 )",384736,"(+/- 5888 )",364324,"(+/- 3606 )",377923,"(+/- 4498 )",423306,"(+/- 4705 )",377377,"(+/- 5903 )"
People,"Sex and Age",Female,396116,"(+/- 5480 )",439503,"(+/- 7896 )",370316,"(+/- 4724 )",451929,"(+/- 6514 )",391655,"(+/- 2197 )",397607,"(+/- 5665 )",416560,"(+/- 5528 )",403156,"(+/- 4411 )",407698,"(+/- 5845 )",398595,"(+/- 3944 )",390243,"(+/- 4194 )",457244,"(+/- 4785 )",410754,"(+/- 6310 )"
People,"Sex and Age","Under 5 years",43191,"(+/- 2168 )",55904,"(+/- 3365 )",46652,"(+/- 1706 )",48283,"(+/- 3433 )",40018,"(+/- 1355 )",43147,"(+/- 2406 )",42358,"(+/- 2024 )",52355,"(+/- 2172 )",47137,"(+/- 2546 )",40606,"(+/- 1769 )",35560,"(+/- 1984 )",59102,"(+/- 1887 )",42879,"(+/- 2067 )"
People,"Sex and Age","5 to 9 years",42990,"(+/- 2869 )",63153,"(+/- 4174 )",46783,"(+/- 3011 )",46755,"(+/- 3502 )",41367,"(+/- 2853 )",44637,"(+/- 3106 )",43087,"(+/- 3147 )",51152,"(+/- 3154 )",53689,"(+/- 3354 )",42845,"(+/- 2890 )",40401,"(+/- 2608 )",57748,"(+/- 3430 )",46019,"(+/- 3357 )"
People,"Sex and Age","10 to 14 years",47158,"(+/- 2808 )",64928,"(+/- 4220 )",47536,"(+/- 2925 )",57348,"(+/- 3576 )",49836,"(+/- 2861 )",52153,"(+/- 3404 )",51534,"(+/- 3659 )",53067,"(+/- 3088 )",61694,"(+/- 3307 )",46080,"(+/- 2581 )",41150,"(+/- 2752 )",54481,"(+/- 3230 )",52982,"(+/- 3488 )"
People,"Sex and Age","15 to 19 years",57679,"(+/- 2848 )",55655,"(+/- 3209 )",45989,"(+/- 2968 )",65217,"(+/- 3411 )",53317,"(+/- 2228 )",53254,"(+/- 3129 )",52476,"(+/- 2977 )",56794,"(+/- 2663 )",55853,"(+/- 2742 )",48740,"(+/- 2870 )",44934,"(+/- 2901 )",57224,"(+/- 2123 )",54251,"(+/- 2460 )"
People,"Sex and Age","20 to 24 years",54455,"(+/- 3590 )",46050,"(+/- 4047 )",65593,"(+/- 3188 )",68821,"(+/- 3209 )",52354,"(+/- 2557 )",45356,"(+/- 2987 )",52567,"(+/- 3209 )",54404,"(+/- 2467 )",44010,"(+/- 3544 )",41933,"(+/- 2461 )",41927,"(+/- 2557 )",63046,"(+/- 2229 )",51812,"(+/- 2961 )"
People,"Sex and Age","25 to 34 years",106297,"(+/- 5268 )",99860,"(+/- 4845 )",99911,"(+/- 4259 )",145155,"(+/- 4141 )",91462,"(+/- 2156 )",91339,"(+/- 4140 )",99895,"(+/- 4064 )",112324,"(+/- 4198 )",92147,"(+/- 4203 )",95569,"(+/- 2930 )",85001,"(+/- 3508 )",161655,"(+/- 3139 )",101695,"(+/- 4454 )"
People,"Sex and Age","35 to 44 years",93037,"(+/- 3489 )",121002,"(+/- 4719 )",84679,"(+/- 3363 )",126087,"(+/- 4262 )",87211,"(+/- 2029 )",92886,"(+/- 4125 )",94778,"(+/- 3649 )",102729,"(+/- 3198 )",102227,"(+/- 3606 )",90750,"(+/- 3046 )",89510,"(+/- 2640 )",130994,"(+/- 2714 )",94514,"(+/- 3699 )"
People,"Sex and Age","45 to 54 years",91880,"(+/- 3026 )",126014,"(+/- 4551 )",89475,"(+/- 3356 )",115326,"(+/- 3829 )",103158,"(+/- 1968 )",105029,"(+/- 3207 )",99895,"(+/- 3340 )",99769,"(+/- 3192 )",113918,"(+/- 3648 )",105807,"(+/- 3491 )",102765,"(+/- 2792 )",115648,"(+/- 2984 )",109403,"(+/- 2787 )"
People,"Sex and Age","55 to 59 years",49053,"(+/- 2855 )",58386,"(+/- 3406 )",46772,"(+/- 2778 )",51948,"(+/- 3847 )",50142,"(+/- 2947 )",56048,"(+/- 3258 )",50317,"(+/- 2760 )",51323,"(+/- 3370 )",50880,"(+/- 2909 )",54586,"(+/- 2920 )",56791,"(+/- 2929 )",50089,"(+/- 3108 )",51509,"(+/- 3206 )"
People,"Sex and Age","60 to 64 years",49266,"(+/- 2648 )",50382,"(+/- 3892 )",50851,"(+/- 2450 )",44540,"(+/- 3306 )",55131,"(+/- 2693 )",52736,"(+/- 3110 )",62256,"(+/- 2712 )",44431,"(+/- 2825 )",48324,"(+/- 2970 )",55100,"(+/- 3119 )",56195,"(+/- 3274 )",43424,"(+/- 2921 )",52289,"(+/- 3483 )"
People,"Sex and Age","65 to 74 years",76177,"(+/- 2242 )",75142,"(+/- 2899 )",78131,"(+/- 2146 )",63100,"(+/- 2416 )",81021,"(+/- 1128 )",79442,"(+/- 2164 )",99745,"(+/- 2257 )",70963,"(+/- 1925 )",73951,"(+/- 2509 )",83669,"(+/- 2116 )",100196,"(+/- 1909 )",55369,"(+/- 2160 )",77090,"(+/- 2343 )"
People,"Sex and Age","75 to 84 years",37408,"(+/- 2090 )",32649,"(+/- 2137 )",42106,"(+/- 1994 )",28658,"(+/- 2363 )",41383,"(+/- 1656 )",40349,"(+/- 2017 )",44907,"(+/- 2064 )",36140,"(+/- 1774 )",36038,"(+/- 2020 )",41781,"(+/- 2036 )",52755,"(+/- 2237 )",22921,"(+/- 1732 )",38416,"(+/- 1964 )"
People,"Sex and Age","85 years and over",12496,"(+/- 1489 )",9813,"(+/- 1387 )",11897,"(+/- 1465 )",10351,"(+/- 1814 )",16560,"(+/- 1708 )",16340,"(+/- 2081 )",16005,"(+/- 1674 )",12484,"(+/- 1662 )",12566,"(+/- 1363 )",15453,"(+/- 1684 )",20981,"(+/- 2233 )",8849,"(+/- 1501 )",15272,"(+/- 1706 )"
People,"Sex and Age","Median age (years)",37.8,"(+/- 0.5 )",38.7,"(+/- 0.6 )",37.9,"(+/- 0.6 )",35.3,"(+/- 0.4 )",41.5,"(+/- 0.4 )",41.0,"(+/- 0.5 )",41.9,"(+/- 0.6 )",36.8,"(+/- 0.5 )",39.2,"(+/- 0.5 )",42.4,"(+/- 0.5 )",45.6,"(+/- 0.4 )",34.0,"(+/- 0.3 )",39.2,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",600553,"(+/- 6196 )",638159,"(+/- 8535 )",591177,"(+/- 4426 )",686773,"(+/- 6870 )",603611,"(+/- 2292 )",602123,"(+/- 6085 )",643129,"(+/- 5318 )",607866,"(+/- 4683 )",593040,"(+/- 6659 )",603508,"(+/- 4810 )",624815,"(+/- 4382 )",676855,"(+/- 5665 )",615153,"(+/- 6881 )"
People,"Sex and Age","65 years and over",126081,"(+/- 2485 )",117604,"(+/- 3571 )",132134,"(+/- 2222 )",102109,"(+/- 3130 )",138964,"(+/- 1243 )",136131,"(+/- 2694 )",160657,"(+/- 2001 )",119587,"(+/- 2009 )",122555,"(+/- 3265 )",140903,"(+/- 2480 )",173932,"(+/- 2523 )",87139,"(+/- 2655 )",130778,"(+/- 2645 )"
People,Race,"Total population",761087,"(+/- 7524 )",858938,"(+/- 11374 )",756375,"(+/- 5217 )",871589,"(+/- 9355 )",762960,"(+/- 2559 )",772716,"(+/- 8848 )",809820,"(+/- 7175 )",797935,"(+/- 6162 )",792434,"(+/- 9897 )",762919,"(+/- 6106 )",768166,"(+/- 5505 )",880550,"(+/- 8332 )",788131,"(+/- 9589 )"
People,Race,"One race",739530,"(+/- 8019 )",825583,"(+/- 12676 )",728940,"(+/- 6732 )",839654,"(+/- 9993 )",748231,"(+/- 3912 )",755678,"(+/- 9388 )",791564,"(+/- 7613 )",766283,"(+/- 6843 )",772809,"(+/- 9391 )",746000,"(+/- 6523 )",751547,"(+/- 5258 )",856303,"(+/- 9168 )",763355,"(+/- 9756 )"
People,Race,White,363018,"(+/- 6862 )",609822,"(+/- 12080 )",548289,"(+/- 6759 )",525115,"(+/- 9455 )",601222,"(+/- 5666 )",550198,"(+/- 7174 )",608837,"(+/- 7823 )",525543,"(+/- 7517 )",510575,"(+/- 9052 )",614574,"(+/- 6234 )",694680,"(+/- 5312 )",405087,"(+/- 9883 )",541609,"(+/- 8403 )"
