Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",760077,(*****)
People,"Sex and Age",Male,391222,"(+/- 2449 )"
People,"Sex and Age",Female,368855,"(+/- 2449 )"
People,"Sex and Age","Under 5 years",52175,"(+/- 1494 )"
People,"Sex and Age","5 to 9 years",50804,"(+/- 2647 )"
People,"Sex and Age","10 to 14 years",47274,"(+/- 2606 )"
People,"Sex and Age","15 to 19 years",46455,"(+/- 1652 )"
People,"Sex and Age","20 to 24 years",62590,"(+/- 2609 )"
People,"Sex and Age","25 to 34 years",116734,"(+/- 2958 )"
People,"Sex and Age","35 to 44 years",90872,"(+/- 2132 )"
People,"Sex and Age","45 to 54 years",81517,"(+/- 1822 )"
People,"Sex and Age","55 to 59 years",49436,"(+/- 2377 )"
People,"Sex and Age","60 to 64 years",45787,"(+/- 2353 )"
People,"Sex and Age","65 to 74 years",64047,"(+/- 759 )"
People,"Sex and Age","75 to 84 years",33947,"(+/- 1523 )"
People,"Sex and Age","85 years and over",18439,"(+/- 1506 )"
People,"Sex and Age","Median age (years)",35.4,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",585363,"(+/- 1176 )"
People,"Sex and Age","65 years and over",116433,"(+/- 867 )"
People,Race,"Total population",760077,(*****)
People,Race,"One race",742510,"(+/- 2421 )"
People,Race,White,651687,"(+/- 2325 )"
People,Race,"Black or African American",25896,"(+/- 1992 )"
People,Race,"American Indian and Alaska Native",41270,"(+/- 2276 )"
People,Race,Asian,13749,"(+/- 2149 )"
People,Race,"Native Hawaiian and Other Pacific Islander",339,"(+/- 360 )"
People,Race,"Some other race",9569,"(+/- 2523 )"
People,Race,"Two or more races",17567,"(+/- 2421 )"
People,"Hispanic or Latino and Race","Total population",760077,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",27444,"(+/- 1653 )"
People,"Hispanic or Latino and Race",Mexican,17923,"(+/- 1462 )"
People,"Hispanic or Latino and Race","Puerto Rican",4221,"(+/- 1852 )"
People,"Hispanic or Latino and Race",Cuban,260,"(+/- 195 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5040,"(+/- 1438 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",732633,"(+/- 1653 )"
People,"Place of Birth","Total population",760077,(*****)
People,"Place of Birth",Native,724253,"(+/- 3845 )"
