Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",803029,"(+/- 2195 )",747632,"(+/- 2727 )",778026,"(+/- 3553 )",791927,"(+/- 4788 )",822465,"(+/- 3694 )"
People,"Sex and Age",Male,391856,"(+/- 1339 )",370798,"(+/- 2365 )",392012,"(+/- 3184 )",393860,"(+/- 3516 )",401550,"(+/- 2771 )"
People,"Sex and Age",Female,411173,"(+/- 1591 )",376834,"(+/- 1856 )",386014,"(+/- 3278 )",398067,"(+/- 3457 )",420915,"(+/- 2678 )"
People,"Sex and Age","Under 5 years",55563,"(+/- 603 )",45545,"(+/- 986 )",48781,"(+/- 1538 )",48042,"(+/- 1719 )",60105,"(+/- 1411 )"
People,"Sex and Age","5 to 9 years",54553,"(+/- 1877 )",47752,"(+/- 1905 )",52134,"(+/- 2485 )",50230,"(+/- 2632 )",57447,"(+/- 3251 )"
People,"Sex and Age","10 to 14 years",58873,"(+/- 1955 )",50454,"(+/- 1803 )",53051,"(+/- 2480 )",55057,"(+/- 2507 )",60559,"(+/- 3256 )"
People,"Sex and Age","15 to 19 years",51881,"(+/- 772 )",50802,"(+/- 1607 )",58739,"(+/- 2487 )",56720,"(+/- 1997 )",52811,"(+/- 1076 )"
People,"Sex and Age","20 to 24 years",49462,"(+/- 933 )",46386,"(+/- 1702 )",56378,"(+/- 2409 )",59965,"(+/- 2715 )",54176,"(+/- 1654 )"
People,"Sex and Age","25 to 34 years",114259,"(+/- 1140 )",88728,"(+/- 1734 )",100241,"(+/- 3372 )",112996,"(+/- 2855 )",126512,"(+/- 1629 )"
People,"Sex and Age","35 to 44 years",103070,"(+/- 1191 )",86750,"(+/- 1451 )",96039,"(+/- 2728 )",101594,"(+/- 3437 )",104624,"(+/- 1678 )"
People,"Sex and Age","45 to 54 years",95780,"(+/- 1027 )",89991,"(+/- 1376 )",88266,"(+/- 2240 )",91062,"(+/- 2683 )",93914,"(+/- 1314 )"
People,"Sex and Age","55 to 59 years",50933,"(+/- 2283 )",51513,"(+/- 1889 )",49743,"(+/- 2464 )",52550,"(+/- 2689 )",51449,"(+/- 2641 )"
People,"Sex and Age","60 to 64 years",48653,"(+/- 2101 )",48170,"(+/- 1930 )",48750,"(+/- 2292 )",45450,"(+/- 2437 )",46975,"(+/- 2561 )"
People,"Sex and Age","65 to 74 years",71099,"(+/- 852 )",80851,"(+/- 1016 )",72903,"(+/- 1279 )",70272,"(+/- 2143 )",66714,"(+/- 1534 )"
People,"Sex and Age","75 to 84 years",35190,"(+/- 1823 )",45540,"(+/- 1484 )",37221,"(+/- 1774 )",35177,"(+/- 1915 )",32051,"(+/- 1727 )"
People,"Sex and Age","85 years and over",13713,"(+/- 1515 )",15150,"(+/- 1431 )",15780,"(+/- 1485 )",12812,"(+/- 1559 )",15128,"(+/- 1544 )"
People,"Sex and Age","Median age (years)",36.5,"(+/- 0.2 )",39.8,"(+/- 0.3 )",37.0,"(+/- 0.4 )",36.1,"(+/- 0.4 )",35.0,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",601846,"(+/- 1531 )",573557,"(+/- 2117 )",592156,"(+/- 2541 )",607573,"(+/- 4102 )",611627,"(+/- 3687 )"
People,"Sex and Age","65 years and over",120002,"(+/- 883 )",141541,"(+/- 1278 )",125904,"(+/- 1654 )",118261,"(+/- 2909 )",113893,"(+/- 1997 )"
People,Race,"Total population",803029,"(+/- 2195 )",747632,"(+/- 2727 )",778026,"(+/- 3553 )",791927,"(+/- 4788 )",822465,"(+/- 3694 )"
People,Race,"One race",742097,"(+/- 4005 )",668363,"(+/- 4274 )",728507,"(+/- 5201 )",729254,"(+/- 5583 )",771114,"(+/- 6333 )"
People,Race,White,578684,"(+/- 3581 )",494182,"(+/- 3399 )",617671,"(+/- 4386 )",591941,"(+/- 5225 )",563428,"(+/- 6687 )"
People,Race,"Black or African American",70321,"(+/- 2118 )",24525,"(+/- 1027 )",30541,"(+/- 1547 )",52439,"(+/- 3714 )",109854,"(+/- 4781 )"
People,Race,"American Indian and Alaska Native",48932,"(+/- 3004 )",133425,"(+/- 3025 )",44811,"(+/- 2830 )",43374,"(+/- 3151 )",36641,"(+/- 2892 )"
People,Race,Asian,24819,"(+/- 1003 )",4307,"(+/- 598 )",10533,"(+/- 1219 )",18498,"(+/- 1774 )",26537,"(+/- 1991 )"
People,Race,"Native Hawaiian and Other Pacific Islander",391,"(+/- 340 )",1191,"(+/- 363 )",362,"(+/- 268 )",1156,"(+/- 1000 )",759,"(+/- 321 )"
People,Race,"Some other race",18950,"(+/- 2666 )",10733,"(+/- 1796 )",24589,"(+/- 3303 )",21846,"(+/- 3184 )",33895,"(+/- 5742 )"
People,Race,"Two or more races",60932,"(+/- 3118 )",79269,"(+/- 3581 )",49519,"(+/- 3851 )",62673,"(+/- 4496 )",51351,"(+/- 5211 )"
People,"Hispanic or Latino and Race","Total population",803029,"(+/- 2195 )",747632,"(+/- 2727 )",778026,"(+/- 3553 )",791927,"(+/- 4788 )",822465,"(+/- 3694 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",94133,"(+/- 725 )",40658,"(+/- 948 )",80140,"(+/- 1401 )",73895,"(+/- 2696 )",140253,"(+/- 1928 )"
People,"Hispanic or Latino and Race",Mexican,73599,"(+/- 2712 )",33022,"(+/- 1556 )",70220,"(+/- 2241 )",57097,"(+/- 3104 )",112782,"(+/- 5294 )"
People,"Hispanic or Latino and Race","Puerto Rican",4771,"(+/- 1682 )",1884,"(+/- 728 )",1916,"(+/- 683 )",6245,"(+/- 1502 )",3406,"(+/- 1289 )"
People,"Hispanic or Latino and Race",Cuban,1840,"(+/- 899 )",198,"(+/- 214 )",604,"(+/- 515 )",322,"(+/- 232 )",463,"(+/- 393 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13923,"(+/- 2192 )",5554,"(+/- 1248 )",7400,"(+/- 1748 )",10231,"(+/- 1973 )",23602,"(+/- 4873 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",708896,"(+/- 2086 )",706974,"(+/- 2698 )",697886,"(+/- 3455 )",718032,"(+/- 5353 )",682212,"(+/- 3902 )"
People,"Place of Birth","Total population",803029,"(+/- 2195 )",747632,"(+/- 2727 )",778026,"(+/- 3553 )",791927,"(+/- 4788 )",822465,"(+/- 3694 )"
People,"Place of Birth",Native,740234,"(+/- 3926 )",732449,"(+/- 2604 )",740732,"(+/- 3478 )",754077,"(+/- 5918 )",738705,"(+/- 6447 )"
People,"Place of Birth","Born in United States",731544,"(+/- 4068 )",728614,"(+/- 2696 )",734705,"(+/- 3592 )",740066,"(+/- 6127 )",730120,"(+/- 6124 )"
People,"Place of Birth","State of residence",474520,"(+/- 7168 )",457063,"(+/- 5912 )",505024,"(+/- 7386 )",479122,"(+/- 8183 )",494642,"(+/- 8848 )"
People,"Place of Birth","Different state",257024,"(+/- 6213 )",271551,"(+/- 5477 )",229681,"(+/- 7578 )",260944,"(+/- 8375 )",235478,"(+/- 8085 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8690,"(+/- 1734 )",3835,"(+/- 741 )",6027,"(+/- 1178 )",14011,"(+/- 2248 )",8585,"(+/- 1420 )"
People,"Place of Birth","Foreign born",62795,"(+/- 3042 )",15183,"(+/- 1604 )",37294,"(+/- 2892 )",37850,"(+/- 3470 )",83760,"(+/- 5528 )"
People,Ancestry,"Total population",803029,"(+/- 2195 )",747632,"(+/- 2727 )",778026,"(+/- 3553 )",791927,"(+/- 4788 )",822465,"(+/- 3694 )"
People,Ancestry,American,56867,"(+/- 4881 )",58239,"(+/- 3932 )",57534,"(+/- 5182 )",88632,"(+/- 6133 )",53278,"(+/- 5484 )"
People,Ancestry,Arab,4180,"(+/- 1303 )",500,"(+/- 289 )",2194,"(+/- 1164 )",1528,"(+/- 853 )",5192,"(+/- 1708 )"
People,Ancestry,Czech,2657,"(+/- 759 )",868,"(+/- 460 )",5091,"(+/- 1165 )",2457,"(+/- 886 )",2314,"(+/- 761 )"
People,Ancestry,Danish,1768,"(+/- 616 )",666,"(+/- 326 )",2115,"(+/- 799 )",1580,"(+/- 561 )",795,"(+/- 377 )"
People,Ancestry,Dutch,8307,"(+/- 1464 )",8116,"(+/- 1092 )",11421,"(+/- 1919 )",8433,"(+/- 1828 )",8309,"(+/- 1735 )"
People,Ancestry,English,60523,"(+/- 3943 )",46058,"(+/- 3141 )",55273,"(+/- 3689 )",53903,"(+/- 3969 )",51989,"(+/- 3940 )"
People,Ancestry,"French (except Basque)",16615,"(+/- 2215 )",11703,"(+/- 1896 )",12611,"(+/- 1823 )",13336,"(+/- 2423 )",11698,"(+/- 1953 )"
People,Ancestry,"French Canadian",1522,"(+/- 492 )",1340,"(+/- 625 )",1868,"(+/- 994 )",1071,"(+/- 376 )",1862,"(+/- 976 )"
People,Ancestry,German,91292,"(+/- 4646 )",76020,"(+/- 4778 )",106115,"(+/- 6247 )",89888,"(+/- 5406 )",84753,"(+/- 6728 )"
People,Ancestry,Greek,2057,"(+/- 785 )",416,"(+/- 264 )",582,"(+/- 371 )",1234,"(+/- 652 )",1294,"(+/- 621 )"
People,Ancestry,Hungarian,1353,"(+/- 607 )",598,"(+/- 379 )",655,"(+/- 490 )",304,"(+/- 207 )",811,"(+/- 595 )"
People,Ancestry,Irish,75675,"(+/- 4566 )",78119,"(+/- 3983 )",82270,"(+/- 5919 )",79745,"(+/- 5408 )",64749,"(+/- 5130 )"
People,Ancestry,Italian,16055,"(+/- 2014 )",11995,"(+/- 1744 )",10093,"(+/- 1752 )",13049,"(+/- 2606 )",17316,"(+/- 2943 )"
People,Ancestry,Lithuanian,294,"(+/- 199 )",254,"(+/- 156 )",231,"(+/- 374 )",441,"(+/- 353 )",431,"(+/- 307 )"
People,Ancestry,Norwegian,6298,"(+/- 1058 )",3781,"(+/- 1098 )",4770,"(+/- 985 )",5637,"(+/- 1478 )",5174,"(+/- 1574 )"
People,Ancestry,Polish,7986,"(+/- 1646 )",3835,"(+/- 981 )",6978,"(+/- 1628 )",7128,"(+/- 1410 )",7409,"(+/- 2064 )"
People,Ancestry,Portuguese,1730,"(+/- 681 )",837,"(+/- 373 )",908,"(+/- 596 )",2272,"(+/- 1416 )",388,"(+/- 346 )"
People,Ancestry,Russian,3268,"(+/- 902 )",834,"(+/- 405 )",2106,"(+/- 867 )",1578,"(+/- 572 )",1876,"(+/- 1100 )"
People,Ancestry,Scotch-Irish,10394,"(+/- 1665 )",5646,"(+/- 1132 )",8957,"(+/- 1712 )",7568,"(+/- 1325 )",7473,"(+/- 1353 )"
People,Ancestry,Scottish,16146,"(+/- 2121 )",10283,"(+/- 1503 )",11818,"(+/- 1722 )",10309,"(+/- 1670 )",12314,"(+/- 2149 )"
People,Ancestry,Slovak,84,"(+/- 98 )",89,"(+/- 84 )",199,"(+/- 206 )",198,"(+/- 200 )",192,"(+/- 147 )"
People,Ancestry,"Subsaharan African",7211,"(+/- 1350 )",1094,"(+/- 385 )",3029,"(+/- 1162 )",4559,"(+/- 1847 )",9489,"(+/- 3320 )"
People,Ancestry,Swedish,6016,"(+/- 1137 )",3039,"(+/- 742 )",4747,"(+/- 1350 )",4169,"(+/- 1047 )",5082,"(+/- 1414 )"
People,Ancestry,Swiss,2000,"(+/- 796 )",819,"(+/- 332 )",1480,"(+/- 722 )",757,"(+/- 360 )",2338,"(+/- 2449 )"
People,Ancestry,Ukrainian,1063,"(+/- 671 )",469,"(+/- 404 )",313,"(+/- 285 )",727,"(+/- 380 )",571,"(+/- 290 )"
People,Ancestry,Welsh,5310,"(+/- 1019 )",3586,"(+/- 949 )",3047,"(+/- 852 )",3463,"(+/- 1203 )",2827,"(+/- 652 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2359,"(+/- 831 )",4178,"(+/- 1024 )",1869,"(+/- 561 )",4621,"(+/- 1209 )",2152,"(+/- 1263 )"
People,"Veteran Status","Civilian population 18 years and over",601234,"(+/- 1560 )",573222,"(+/- 2132 )",589405,"(+/- 2651 )",594446,"(+/- 3953 )",609846,"(+/- 3873 )"
