Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",713685,"(+/- 4989 )",727380,"(+/- 18436 )",736340,"(+/- 16089 )",727449,"(+/- 6126 )",718076,"(+/- 9863 )",734876,"(+/- 5212 )",731168,"(+/- 5238 )",696956,"(+/- 6350 )",702489,"(+/- 7165 )",734849,"(+/- 6842 )",737394,"(+/- 6387 )",701192,"(+/- 4665 )",692835,"(+/- 5581 )",684084,"(+/- 3546 )",680927,"(+/- 6262 )",686525,"(+/- 3479 )",717264,"(+/- 7902 )",683571,"(+/- 7556 )"
People,"Sex and Age",Male,351273,"(+/- 2715 )",349229,"(+/- 9614 )",344031,"(+/- 9598 )",354684,"(+/- 3759 )",343257,"(+/- 5305 )",359769,"(+/- 3839 )",358892,"(+/- 3212 )",343402,"(+/- 3997 )",351698,"(+/- 5154 )",359880,"(+/- 4420 )",364048,"(+/- 3697 )",349828,"(+/- 3296 )",342833,"(+/- 3765 )",335660,"(+/- 2269 )",347886,"(+/- 3827 )",337388,"(+/- 2084 )",352802,"(+/- 5121 )",325060,"(+/- 4975 )"
People,"Sex and Age",Female,362412,"(+/- 3082 )",378151,"(+/- 11635 )",392309,"(+/- 9800 )",372765,"(+/- 3489 )",374819,"(+/- 6471 )",375107,"(+/- 3159 )",372276,"(+/- 3171 )",353554,"(+/- 3683 )",350791,"(+/- 3973 )",374969,"(+/- 4352 )",373346,"(+/- 3997 )",351364,"(+/- 3298 )",350002,"(+/- 3841 )",348424,"(+/- 1943 )",333041,"(+/- 3603 )",349137,"(+/- 2496 )",364462,"(+/- 5509 )",358511,"(+/- 5613 )"
People,"Sex and Age","Under 5 years",34830,"(+/- 1174 )",52532,"(+/- 3961 )",44141,"(+/- 3634 )",40535,"(+/- 1332 )",42448,"(+/- 2359 )",43430,"(+/- 1335 )",37443,"(+/- 836 )",34907,"(+/- 1302 )",34846,"(+/- 1815 )",44509,"(+/- 1593 )",44998,"(+/- 1536 )",35531,"(+/- 1298 )",34967,"(+/- 1185 )",32187,"(+/- 904 )",33997,"(+/- 1266 )",35188,"(+/- 882 )",38924,"(+/- 2285 )",35003,"(+/- 2222 )"
People,"Sex and Age","5 to 9 years",34848,"(+/- 2802 )",47387,"(+/- 4528 )",38183,"(+/- 3986 )",43824,"(+/- 2507 )",45680,"(+/- 2908 )",49057,"(+/- 2679 )",41842,"(+/- 2813 )",36170,"(+/- 2304 )",35307,"(+/- 2348 )",43861,"(+/- 3390 )",43239,"(+/- 2546 )",36972,"(+/- 2078 )",37128,"(+/- 2332 )",36960,"(+/- 2235 )",32892,"(+/- 1981 )",35728,"(+/- 2002 )",38259,"(+/- 3139 )",30826,"(+/- 2590 )"
People,"Sex and Age","10 to 14 years",45950,"(+/- 2609 )",49288,"(+/- 4990 )",37300,"(+/- 3846 )",45084,"(+/- 2631 )",44031,"(+/- 2743 )",49686,"(+/- 2822 )",46262,"(+/- 3054 )",42007,"(+/- 2779 )",42882,"(+/- 2353 )",46329,"(+/- 3058 )",51693,"(+/- 2863 )",40614,"(+/- 2064 )",41873,"(+/- 2187 )",36742,"(+/- 2254 )",37630,"(+/- 1802 )",42738,"(+/- 2095 )",42197,"(+/- 2984 )",33521,"(+/- 2755 )"
People,"Sex and Age","15 to 19 years",45170,"(+/- 1387 )",47209,"(+/- 3514 )",42687,"(+/- 3276 )",42716,"(+/- 1543 )",48585,"(+/- 1943 )",51758,"(+/- 1509 )",49026,"(+/- 1387 )",46924,"(+/- 2286 )",44499,"(+/- 1994 )",45052,"(+/- 2405 )",48477,"(+/- 2271 )",54986,"(+/- 1954 )",42160,"(+/- 1556 )",39476,"(+/- 814 )",40142,"(+/- 1385 )",46883,"(+/- 1433 )",38171,"(+/- 2149 )",41700,"(+/- 2312 )"
People,"Sex and Age","20 to 24 years",41860,"(+/- 1419 )",40997,"(+/- 3051 )",62647,"(+/- 3066 )",40277,"(+/- 1940 )",48517,"(+/- 1798 )",45173,"(+/- 1940 )",50303,"(+/- 1775 )",40066,"(+/- 1938 )",43704,"(+/- 2237 )",45953,"(+/- 2911 )",43193,"(+/- 2229 )",58252,"(+/- 2334 )",39576,"(+/- 1937 )",37903,"(+/- 1060 )",45752,"(+/- 2096 )",43782,"(+/- 1182 )",32569,"(+/- 2361 )",51882,"(+/- 2413 )"
People,"Sex and Age","25 to 34 years",81039,"(+/- 1835 )",122702,"(+/- 5776 )",157220,"(+/- 5772 )",91759,"(+/- 2342 )",98899,"(+/- 3885 )",91413,"(+/- 2624 )",92599,"(+/- 2237 )",84477,"(+/- 2486 )",78751,"(+/- 3662 )",95846,"(+/- 2840 )",94074,"(+/- 2187 )",80304,"(+/- 2019 )",78876,"(+/- 2450 )",76974,"(+/- 1697 )",79893,"(+/- 2515 )",80974,"(+/- 1940 )",96500,"(+/- 3858 )",112773,"(+/- 3865 )"
People,"Sex and Age","35 to 44 years",83560,"(+/- 1861 )",92736,"(+/- 4555 )",90329,"(+/- 4442 )",91448,"(+/- 1744 )",89133,"(+/- 3230 )",90167,"(+/- 1711 )",85376,"(+/- 1566 )",77438,"(+/- 2411 )",79057,"(+/- 2393 )",91176,"(+/- 3038 )",82299,"(+/- 2342 )",74864,"(+/- 1871 )",77067,"(+/- 1926 )",76835,"(+/- 1583 )",73704,"(+/- 1892 )",76450,"(+/- 1618 )",85589,"(+/- 3277 )",78885,"(+/- 3090 )"
