Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",3195153,(*****)
People,"Sex and Age",Male,1520415,"(+/- 3192 )"
People,"Sex and Age",Female,1674738,"(+/- 3192 )"
People,"Sex and Age","Under 5 years",125796,"(+/- 683 )"
People,"Sex and Age","5 to 9 years",167470,"(+/- 5171 )"
People,"Sex and Age","10 to 14 years",181046,"(+/- 4984 )"
People,"Sex and Age","15 to 19 years",210051,"(+/- 4050 )"
People,"Sex and Age","20 to 24 years",222760,"(+/- 3766 )"
People,"Sex and Age","25 to 34 years",381445,"(+/- 2941 )"
People,"Sex and Age","35 to 44 years",396979,"(+/- 2346 )"
People,"Sex and Age","45 to 54 years",422128,"(+/- 775 )"
People,"Sex and Age","55 to 59 years",214899,"(+/- 5445 )"
People,"Sex and Age","60 to 64 years",211363,"(+/- 5446 )"
People,"Sex and Age","65 to 74 years",361819,(*****)
People,"Sex and Age","75 to 84 years",217779,"(+/- 4041 )"
People,"Sex and Age","85 years and over",81618,"(+/- 4041 )"
People,"Sex and Age","Median age (years)",42.9,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",2601143,(*****)
People,"Sex and Age","65 years and over",661216,(*****)
People,Race,"Total population",3195153,(*****)
People,Race,"One race",3041937,"(+/- 9563 )"
People,Race,White,2079304,"(+/- 22148 )"
People,Race,"Black or African American",400936,"(+/- 17309 )"
People,Race,"American Indian and Alaska Native",4013,"(+/- 1404 )"
People,Race,Asian,5144,"(+/- 1803 )"
People,Race,"Native Hawaiian and Other Pacific Islander",767,"(+/- 976 )"
People,Race,"Some other race",551773,"(+/- 17132 )"
People,Race,"Two or more races",153216,"(+/- 9563 )"
People,"Hispanic or Latino and Race","Total population",3195153,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",3154017,"(+/- 4708 )"
People,"Hispanic or Latino and Race",Mexican,8570,"(+/- 1632 )"
People,"Hispanic or Latino and Race","Puerto Rican",3064018,"(+/- 7275 )"
People,"Hispanic or Latino and Race",Cuban,10875,"(+/- 1844 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",70554,"(+/- 5551 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",41136,"(+/- 4708 )"
People,"Place of Birth","Total population",3195153,(*****)
People,"Place of Birth",Native,3109805,"(+/- 5137 )"
People,"Place of Birth","Born in Puerto Rico or the United States",3100729,"(+/- 5491 )"
People,"Place of Birth","In Puerto Rico",2939602,"(+/- 8215 )"
People,"Place of Birth","In the United States",161127,"(+/- 6532 )"
People,"Place of Birth","Born in U.S. Island areas, or born abroad of American parents",9076,"(+/- 1774 )"
People,"Place of Birth","Foreign born",85348,"(+/- 5137 )"
People,Ancestry,"Total population",N,(N)
People,Ancestry,American,N,(N)
People,Ancestry,Arab,N,(N)
People,Ancestry,Czech,N,(N)
People,Ancestry,Danish,N,(N)
People,Ancestry,Dutch,N,(N)
People,Ancestry,English,N,(N)
People,Ancestry,"French (except Basque)",N,(N)
People,Ancestry,"French Canadian",N,(N)
People,Ancestry,German,N,(N)
People,Ancestry,Greek,N,(N)
People,Ancestry,Hungarian,N,(N)
