Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",809610,"(+/- 7416 )",717231,"(+/- 9964 )",697467,"(+/- 6542 )",736750,"(+/- 7453 )",731341,"(+/- 5052 )",659483,"(+/- 13295 )",732245,"(+/- 3248 )"
People,"Sex and Age",Male,395270,"(+/- 5230 )",349519,"(+/- 5480 )",343126,"(+/- 4346 )",356573,"(+/- 4425 )",353760,"(+/- 3342 )",320260,"(+/- 8383 )",350199,"(+/- 2824 )"
People,"Sex and Age",Female,414340,"(+/- 4720 )",367712,"(+/- 6910 )",354341,"(+/- 4041 )",380177,"(+/- 4582 )",377581,"(+/- 3830 )",339223,"(+/- 8425 )",382046,"(+/- 2871 )"
People,"Sex and Age","Under 5 years",46780,"(+/- 1657 )",42790,"(+/- 2027 )",36787,"(+/- 1570 )",44999,"(+/- 1647 )",42353,"(+/- 1667 )",36947,"(+/- 2797 )",36700,"(+/- 1607 )"
People,"Sex and Age","5 to 9 years",50201,"(+/- 3548 )",44101,"(+/- 3556 )",40601,"(+/- 3012 )",44854,"(+/- 3318 )",48116,"(+/- 2773 )",40682,"(+/- 3983 )",38985,"(+/- 2861 )"
People,"Sex and Age","10 to 14 years",46486,"(+/- 3324 )",48204,"(+/- 3717 )",44975,"(+/- 2415 )",49266,"(+/- 3456 )",48495,"(+/- 2943 )",38446,"(+/- 3759 )",47726,"(+/- 3199 )"
People,"Sex and Age","15 to 19 years",48154,"(+/- 3372 )",49470,"(+/- 3086 )",49146,"(+/- 2789 )",48187,"(+/- 1884 )",51301,"(+/- 2794 )",48290,"(+/- 3819 )",45932,"(+/- 2710 )"
People,"Sex and Age","20 to 24 years",45246,"(+/- 2558 )",48492,"(+/- 4240 )",50257,"(+/- 2788 )",48231,"(+/- 1858 )",41398,"(+/- 2940 )",59551,"(+/- 4972 )",39623,"(+/- 2970 )"
People,"Sex and Age","25 to 34 years",113164,"(+/- 3356 )",91047,"(+/- 3873 )",78230,"(+/- 3056 )",103878,"(+/- 2722 )",86289,"(+/- 3067 )",98208,"(+/- 5571 )",83539,"(+/- 3404 )"
People,"Sex and Age","35 to 44 years",106825,"(+/- 3164 )",89089,"(+/- 2931 )",83014,"(+/- 2951 )",88457,"(+/- 2941 )",94921,"(+/- 3464 )",79264,"(+/- 4281 )",81793,"(+/- 2565 )"
People,"Sex and Age","45 to 54 years",97771,"(+/- 2794 )",92735,"(+/- 2825 )",89647,"(+/- 2484 )",96848,"(+/- 2359 )",100123,"(+/- 3333 )",71059,"(+/- 3825 )",88826,"(+/- 2401 )"
People,"Sex and Age","55 to 59 years",58632,"(+/- 3740 )",49969,"(+/- 2617 )",49224,"(+/- 3387 )",47531,"(+/- 2607 )",50947,"(+/- 3473 )",41420,"(+/- 3054 )",51630,"(+/- 3520 )"
People,"Sex and Age","60 to 64 years",48987,"(+/- 3687 )",45244,"(+/- 2876 )",45000,"(+/- 3046 )",46874,"(+/- 2644 )",44318,"(+/- 3175 )",41247,"(+/- 2378 )",56851,"(+/- 3354 )"
People,"Sex and Age","65 to 74 years",90840,"(+/- 2522 )",71259,"(+/- 1503 )",76721,"(+/- 1959 )",70818,"(+/- 1735 )",75325,"(+/- 1805 )",63894,"(+/- 2893 )",104205,"(+/- 2098 )"
People,"Sex and Age","75 to 84 years",41712,"(+/- 2362 )",32178,"(+/- 2102 )",42280,"(+/- 2178 )",34638,"(+/- 2191 )",36667,"(+/- 1958 )",30021,"(+/- 1926 )",44424,"(+/- 2359 )"
People,"Sex and Age","85 years and over",14812,"(+/- 2148 )",12653,"(+/- 1470 )",11585,"(+/- 1602 )",12169,"(+/- 1690 )",11088,"(+/- 1566 )",10454,"(+/- 1523 )",12011,"(+/- 1757 )"
