Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",882235,(*****)
People,"Sex and Age",Male,445271,"(+/- 2679 )"
People,"Sex and Age",Female,436964,"(+/- 2679 )"
People,"Sex and Age","Under 5 years",60427,"(+/- 1563 )"
People,"Sex and Age","5 to 9 years",58765,"(+/- 2303 )"
People,"Sex and Age","10 to 14 years",61566,"(+/- 2855 )"
People,"Sex and Age","15 to 19 years",59836,"(+/- 2435 )"
People,"Sex and Age","20 to 24 years",58791,"(+/- 3192 )"
People,"Sex and Age","25 to 34 years",116300,"(+/- 2541 )"
People,"Sex and Age","35 to 44 years",105167,"(+/- 2128 )"
People,"Sex and Age","45 to 54 years",97263,"(+/- 1526 )"
People,"Sex and Age","55 to 59 years",58813,"(+/- 2386 )"
People,"Sex and Age","60 to 64 years",58949,"(+/- 2437 )"
People,"Sex and Age","65 to 74 years",85022,"(+/- 1162 )"
People,"Sex and Age","75 to 84 years",39575,"(+/- 1980 )"
People,"Sex and Age","85 years and over",21761,"(+/- 1872 )"
People,"Sex and Age","Median age (years)",37.2,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",667772,"(+/- 2101 )"
People,"Sex and Age","65 years and over",146358,"(+/- 1177 )"
People,Race,"Total population",882235,(*****)
People,Race,"One race",858851,"(+/- 3663 )"
People,Race,White,740870,"(+/- 2352 )"
People,Race,"Black or African American",19057,"(+/- 2158 )"
People,Race,"American Indian and Alaska Native",78068,"(+/- 2871 )"
People,Race,Asian,15023,"(+/- 2237 )"
People,Race,"Native Hawaiian and Other Pacific Islander",51,"(+/- 77 )"
People,Race,"Some other race",5782,"(+/- 1672 )"
People,Race,"Two or more races",23384,"(+/- 3663 )"
People,"Hispanic or Latino and Race","Total population",882235,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",33983,"(+/- 518 )"
People,"Hispanic or Latino and Race",Mexican,19762,"(+/- 1900 )"
People,"Hispanic or Latino and Race","Puerto Rican",2853,"(+/- 1135 )"
People,"Hispanic or Latino and Race",Cuban,159,"(+/- 194 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",11209,"(+/- 1931 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",848252,"(+/- 518 )"
People,"Place of Birth","Total population",882235,(*****)
People,"Place of Birth",Native,847060,"(+/- 3580 )"
People,"Place of Birth","Born in United States",841655,"(+/- 3736 )"
People,"Place of Birth","State of residence",557984,"(+/- 7942 )"
People,"Place of Birth","Different state",283671,"(+/- 7585 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5405,"(+/- 1266 )"
People,"Place of Birth","Foreign born",35175,"(+/- 3580 )"
People,Ancestry,"Total population",882235,(*****)
People,Ancestry,American,32041,"(+/- 3175 )"
People,Ancestry,Arab,2555,"(+/- 1554 )"
People,Ancestry,Czech,19499,"(+/- 3215 )"
People,Ancestry,Danish,16804,"(+/- 2425 )"
People,Ancestry,Dutch,35876,"(+/- 4063 )"
People,Ancestry,English,51478,"(+/- 4527 )"
People,Ancestry,"French (except Basque)",22689,"(+/- 2941 )"
People,Ancestry,"French Canadian",3283,"(+/- 886 )"
People,Ancestry,German,308452,"(+/- 9481 )"
People,Ancestry,Greek,1401,"(+/- 776 )"
People,Ancestry,Hungarian,1114,"(+/- 460 )"
People,Ancestry,Irish,85086,"(+/- 5856 )"
People,Ancestry,Italian,9881,"(+/- 1948 )"
People,Ancestry,Lithuanian,63,"(+/- 57 )"
People,Ancestry,Norwegian,113975,"(+/- 6562 )"
People,Ancestry,Polish,11933,"(+/- 2231 )"
People,Ancestry,Portuguese,790,"(+/- 515 )"
People,Ancestry,Russian,9348,"(+/- 1783 )"
People,Ancestry,Scotch-Irish,6358,"(+/- 1735 )"
People,Ancestry,Scottish,9247,"(+/- 1695 )"
People,Ancestry,Slovak,483,"(+/- 306 )"
People,Ancestry,"Subsaharan African",9840,"(+/- 2713 )"
People,Ancestry,Swedish,27823,"(+/- 3058 )"
People,Ancestry,Swiss,2957,"(+/- 880 )"
People,Ancestry,Ukrainian,520,"(+/- 420 )"
People,Ancestry,Welsh,4316,"(+/- 1418 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2160,"(+/- 2074 )"
People,"Veteran Status","Civilian population 18 years and over",664850,"(+/- 2312 )"
People,"Veteran Status","Civilian veterans",54691,"(+/- 3269 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",864598,"(+/- 699 )"
