Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",720358,"(+/- 2768 )",753229,"(+/- 3114 )",736889,"(+/- 4659 )",798482,"(+/- 5395 )",777696,"(+/- 1686 )",784725,"(+/- 2788 )",786523,"(+/- 3975 )",699385,"(+/- 5457 )",712723,"(+/- 5101 )"
People,"Sex and Age",Male,352969,"(+/- 2859 )",367457,"(+/- 2366 )",357383,"(+/- 3131 )",394578,"(+/- 3990 )",376734,"(+/- 1634 )",388328,"(+/- 3041 )",388697,"(+/- 2909 )",341210,"(+/- 4084 )",334835,"(+/- 3160 )"
People,"Sex and Age",Female,367389,"(+/- 2787 )",385772,"(+/- 2155 )",379506,"(+/- 3377 )",403904,"(+/- 3655 )",400962,"(+/- 1704 )",396397,"(+/- 3186 )",397826,"(+/- 3226 )",358175,"(+/- 4186 )",377888,"(+/- 3526 )"
People,"Sex and Age","Under 5 years",35366,"(+/- 1308 )",41444,"(+/- 1034 )",39742,"(+/- 1660 )",48540,"(+/- 1811 )",51115,"(+/- 704 )",45881,"(+/- 1634 )",50349,"(+/- 1705 )",39863,"(+/- 2195 )",52139,"(+/- 1788 )"
People,"Sex and Age","5 to 9 years",36031,"(+/- 2545 )",45228,"(+/- 2969 )",42278,"(+/- 2898 )",52458,"(+/- 3041 )",45336,"(+/- 3040 )",51056,"(+/- 2783 )",52743,"(+/- 2607 )",41302,"(+/- 2649 )",46740,"(+/- 3573 )"
People,"Sex and Age","10 to 14 years",45869,"(+/- 2388 )",42734,"(+/- 2770 )",42465,"(+/- 2987 )",51646,"(+/- 3393 )",43131,"(+/- 3124 )",49490,"(+/- 2615 )",58157,"(+/- 2777 )",49748,"(+/- 2792 )",51525,"(+/- 3391 )"
People,"Sex and Age","15 to 19 years",43403,"(+/- 2245 )",47300,"(+/- 1801 )",46696,"(+/- 1927 )",54599,"(+/- 3076 )",45349,"(+/- 1096 )",51331,"(+/- 1919 )",55926,"(+/- 2133 )",49800,"(+/- 3316 )",45061,"(+/- 2039 )"
People,"Sex and Age","20 to 24 years",41615,"(+/- 2491 )",57715,"(+/- 1945 )",44653,"(+/- 2466 )",56314,"(+/- 2685 )",52773,"(+/- 1054 )",44655,"(+/- 2139 )",46133,"(+/- 2237 )",39016,"(+/- 2514 )",54472,"(+/- 1585 )"
People,"Sex and Age","25 to 34 years",81337,"(+/- 2224 )",94582,"(+/- 2024 )",91472,"(+/- 2329 )",107355,"(+/- 2796 )",151057,"(+/- 925 )",93591,"(+/- 2215 )",100840,"(+/- 2586 )",78967,"(+/- 4161 )",115582,"(+/- 3030 )"
People,"Sex and Age","35 to 44 years",85511,"(+/- 2592 )",90900,"(+/- 2077 )",89096,"(+/- 2098 )",100626,"(+/- 3629 )",106804,"(+/- 744 )",97134,"(+/- 2242 )",104490,"(+/- 2698 )",85117,"(+/- 2718 )",86760,"(+/- 2751 )"
People,"Sex and Age","45 to 54 years",100300,"(+/- 1442 )",97764,"(+/- 1783 )",97068,"(+/- 2629 )",106652,"(+/- 3650 )",92819,"(+/- 994 )",105822,"(+/- 1972 )",103431,"(+/- 2235 )",93350,"(+/- 2770 )",86755,"(+/- 1849 )"
People,"Sex and Age","55 to 59 years",48804,"(+/- 2796 )",50274,"(+/- 3107 )",52378,"(+/- 3121 )",53116,"(+/- 3210 )",50733,"(+/- 2997 )",53284,"(+/- 3264 )",50133,"(+/- 2852 )",47447,"(+/- 2351 )",38962,"(+/- 2860 )"
People,"Sex and Age","60 to 64 years",53892,"(+/- 2945 )",50153,"(+/- 2990 )",53152,"(+/- 2939 )",48919,"(+/- 2888 )",41481,"(+/- 2891 )",53625,"(+/- 3356 )",47996,"(+/- 2954 )",50341,"(+/- 2774 )",46154,"(+/- 2972 )"
People,"Sex and Age","65 to 74 years",86490,"(+/- 1127 )",79933,"(+/- 1271 )",81333,"(+/- 1695 )",71596,"(+/- 1947 )",58687,"(+/- 842 )",82667,"(+/- 1361 )",69022,"(+/- 1467 )",74590,"(+/- 2408 )",54242,"(+/- 2154 )"
People,"Sex and Age","75 to 84 years",45907,"(+/- 1478 )",42140,"(+/- 1955 )",41764,"(+/- 1655 )",35979,"(+/- 1866 )",27487,"(+/- 1829 )",43273,"(+/- 1900 )",36746,"(+/- 1986 )",35475,"(+/- 2300 )",24004,"(+/- 2050 )"
People,"Sex and Age","85 years and over",15833,"(+/- 1632 )",13062,"(+/- 1609 )",14792,"(+/- 1535 )",10682,"(+/- 1367 )",10924,"(+/- 1711 )",12916,"(+/- 1384 )",10557,"(+/- 1534 )",14369,"(+/- 1710 )",10327,"(+/- 1570 )"
People,"Sex and Age","Median age (years)",43.9,"(+/- 0.3 )",39.8,"(+/- 0.3 )",41.8,"(+/- 0.4 )",37.7,"(+/- 0.6 )",35.0,"(+/- 0.1 )",40.8,"(+/- 0.4 )",37.9,"(+/- 0.4 )",41.3,"(+/- 0.6 )",33.9,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",578249,"(+/- 2210 )",597154,"(+/- 2528 )",584712,"(+/- 3610 )",613938,"(+/- 3917 )",613750,"(+/- 1655 )",607353,"(+/- 2621 )",591027,"(+/- 3239 )",539101,"(+/- 4477 )",535351,"(+/- 4506 )"
People,"Sex and Age","65 years and over",148230,"(+/- 1278 )",135135,"(+/- 1756 )",137889,"(+/- 2112 )",118257,"(+/- 2519 )",97098,"(+/- 846 )",138856,"(+/- 1817 )",116325,"(+/- 1658 )",124434,"(+/- 3007 )",88573,"(+/- 2755 )"
People,Race,"Total population",720358,"(+/- 2768 )",753229,"(+/- 3114 )",736889,"(+/- 4659 )",798482,"(+/- 5395 )",777696,"(+/- 1686 )",784725,"(+/- 2788 )",786523,"(+/- 3975 )",699385,"(+/- 5457 )",712723,"(+/- 5101 )"
People,Race,"One race",707259,"(+/- 3562 )",736812,"(+/- 4353 )",720401,"(+/- 5179 )",776061,"(+/- 6552 )",758442,"(+/- 3634 )",764412,"(+/- 3726 )",768011,"(+/- 5068 )",685397,"(+/- 5847 )",701423,"(+/- 5872 )"
People,Race,White,677690,"(+/- 3928 )",669804,"(+/- 4010 )",625434,"(+/- 5014 )",664963,"(+/- 6695 )",514933,"(+/- 5683 )",707579,"(+/- 4238 )",656918,"(+/- 4594 )",530025,"(+/- 7075 )",188242,"(+/- 7461 )"
People,Race,"Black or African American",15508,"(+/- 2163 )",46359,"(+/- 2248 )",78236,"(+/- 2979 )",76824,"(+/- 3670 )",190935,"(+/- 6067 )",36384,"(+/- 2737 )",81711,"(+/- 3071 )",132504,"(+/- 5554 )",479340,"(+/- 5404 )"
People,Race,"American Indian and Alaska Native",2400,"(+/- 1110 )",2039,"(+/- 782 )",1735,"(+/- 531 )",2861,"(+/- 987 )",1173,"(+/- 664 )",1507,"(+/- 739 )",4170,"(+/- 1875 )",2134,"(+/- 783 )",1117,"(+/- 525 )"
People,Race,Asian,5702,"(+/- 1479 )",11840,"(+/- 1212 )",9583,"(+/- 1310 )",14313,"(+/- 1806 )",25828,"(+/- 1596 )",7195,"(+/- 1647 )",16825,"(+/- 2189 )",15446,"(+/- 2604 )",12314,"(+/- 2483 )"
