Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,"Sex and Age","Total population",725555,"(+/- 4681 )",803041,"(+/- 23478 )",899784,"(+/- 8289 )",759648,"(+/- 7731 )",749808,"(+/- 11072 )",804816,"(+/- 15813 )",775198,"(+/- 28663 )",871420,"(+/- 12276 )",786925,"(+/- 29478 )",896798,"(+/- 24121 )",782337,"(+/- 6209 )",812102,"(+/- 15762 )",711672,"(+/- 4745 )",763380,"(+/- 8826 )",795511,"(+/- 13153 )",733764,"(+/- 7877 )",793513,"(+/- 11152 )",801885,"(+/- 24004 )",731759,"(+/- 6458 )",846337,"(+/- 22034 )",818281,"(+/- 19731 )",935386,"(+/- 21358 )",794879,"(+/- 16077 )",817147,"(+/- 11209 )",786976,"(+/- 16986 )",894192,"(+/- 9804 )",739719,"(+/- 7422 )",768719,"(+/- 15326 )",765435,"(+/- 23892 )",804679,"(+/- 19379 )",883347,"(+/- 5077 )",769852,"(+/- 16363 )",777745,"(+/- 22612 )",727688,"(+/- 12492 )",818369,"(+/- 22634 )",754178,"(+/- 13965 )"
People,"Sex and Age",Male,352392,"(+/- 3054 )",395581,"(+/- 13071 )",443593,"(+/- 4534 )",375616,"(+/- 4935 )",375687,"(+/- 7119 )",392405,"(+/- 9744 )",369140,"(+/- 17075 )",441580,"(+/- 7724 )",390386,"(+/- 16787 )",446389,"(+/- 14666 )",395795,"(+/- 4186 )",395387,"(+/- 9966 )",362295,"(+/- 3748 )",385859,"(+/- 4670 )",392834,"(+/- 8269 )",364458,"(+/- 4767 )",391197,"(+/- 6272 )",403768,"(+/- 14712 )",368432,"(+/- 4174 )",418716,"(+/- 13009 )",402703,"(+/- 10383 )",466242,"(+/- 10379 )",402774,"(+/- 10372 )",399073,"(+/- 8297 )",396266,"(+/- 10226 )",444110,"(+/- 5771 )",364530,"(+/- 4772 )",372334,"(+/- 9128 )",391147,"(+/- 14511 )",391249,"(+/- 11178 )",435632,"(+/- 3071 )",377037,"(+/- 8874 )",393163,"(+/- 13183 )",366631,"(+/- 7427 )",414562,"(+/- 11690 )",371221,"(+/- 8289 )"
People,"Sex and Age",Female,373163,"(+/- 3153 )",407460,"(+/- 13730 )",456191,"(+/- 4807 )",384032,"(+/- 4736 )",374121,"(+/- 7579 )",412411,"(+/- 8861 )",406058,"(+/- 15080 )",429840,"(+/- 7476 )",396539,"(+/- 16865 )",450409,"(+/- 12908 )",386542,"(+/- 4281 )",416715,"(+/- 8520 )",349377,"(+/- 3183 )",377521,"(+/- 5665 )",402677,"(+/- 7677 )",369306,"(+/- 4341 )",402316,"(+/- 8065 )",398117,"(+/- 12901 )",363327,"(+/- 4371 )",427621,"(+/- 11536 )",415578,"(+/- 12968 )",469144,"(+/- 13518 )",392105,"(+/- 9785 )",418074,"(+/- 8482 )",390710,"(+/- 9407 )",450082,"(+/- 7198 )",375189,"(+/- 4733 )",396385,"(+/- 9660 )",374288,"(+/- 12614 )",413430,"(+/- 11072 )",447715,"(+/- 3116 )",392815,"(+/- 10597 )",384582,"(+/- 13161 )",361057,"(+/- 7253 )",403807,"(+/- 14236 )",382957,"(+/- 8574 )"
People,"Sex and Age","Under 5 years",45576,"(+/- 1636 )",59027,"(+/- 5074 )",53037,"(+/- 2206 )",45684,"(+/- 2099 )",55541,"(+/- 3655 )",50897,"(+/- 4100 )",54472,"(+/- 5993 )",60226,"(+/- 3822 )",54760,"(+/- 5933 )",61325,"(+/- 6293 )",56959,"(+/- 2008 )",54970,"(+/- 4293 )",46282,"(+/- 1691 )",49824,"(+/- 2281 )",66170,"(+/- 3935 )",55086,"(+/- 1949 )",55527,"(+/- 2903 )",59510,"(+/- 5065 )",50514,"(+/- 1865 )",61279,"(+/- 4366 )",43797,"(+/- 4137 )",63650,"(+/- 4572 )",59125,"(+/- 4159 )",54868,"(+/- 4036 )",47555,"(+/- 3503 )",60041,"(+/- 2747 )",48146,"(+/- 1882 )",67780,"(+/- 4076 )",63510,"(+/- 5513 )",62393,"(+/- 5134 )",61422,"(+/- 1835 )",50539,"(+/- 4266 )",62749,"(+/- 4570 )",56238,"(+/- 3333 )",58274,"(+/- 4902 )",54028,"(+/- 5686 )"
People,"Sex and Age","5 to 9 years",45996,"(+/- 2853 )",48749,"(+/- 4247 )",60370,"(+/- 3599 )",46353,"(+/- 3047 )",56260,"(+/- 4268 )",57646,"(+/- 5247 )",52044,"(+/- 5394 )",58156,"(+/- 4373 )",50873,"(+/- 5673 )",61911,"(+/- 5730 )",52750,"(+/- 3725 )",53548,"(+/- 4366 )",47421,"(+/- 2745 )",50756,"(+/- 3322 )",66377,"(+/- 4660 )",50026,"(+/- 3839 )",46131,"(+/- 2975 )",59424,"(+/- 5682 )",49741,"(+/- 2736 )",59713,"(+/- 4816 )",41296,"(+/- 4093 )",72738,"(+/- 4574 )",55745,"(+/- 4105 )",48756,"(+/- 4119 )",55280,"(+/- 4485 )",65218,"(+/- 4085 )",48964,"(+/- 3466 )",62644,"(+/- 4713 )",65326,"(+/- 5727 )",63012,"(+/- 5240 )",62758,"(+/- 3459 )",43350,"(+/- 4223 )",67840,"(+/- 5492 )",57267,"(+/- 4347 )",50122,"(+/- 5171 )",49858,"(+/- 4485 )"
People,"Sex and Age","10 to 14 years",56011,"(+/- 3216 )",62785,"(+/- 5897 )",74340,"(+/- 3803 )",62935,"(+/- 3585 )",55895,"(+/- 3659 )",63306,"(+/- 4336 )",56922,"(+/- 5482 )",64455,"(+/- 4327 )",56351,"(+/- 6531 )",68177,"(+/- 5708 )",59422,"(+/- 3695 )",55984,"(+/- 4797 )",54090,"(+/- 3004 )",54726,"(+/- 3846 )",67476,"(+/- 4899 )",58622,"(+/- 3890 )",54533,"(+/- 3777 )",56853,"(+/- 4739 )",53335,"(+/- 3041 )",67826,"(+/- 4957 )",45227,"(+/- 4873 )",78884,"(+/- 6332 )",63230,"(+/- 4171 )",49574,"(+/- 4661 )",54806,"(+/- 4068 )",68383,"(+/- 3973 )",55731,"(+/- 3846 )",68578,"(+/- 4550 )",63781,"(+/- 5637 )",66393,"(+/- 5587 )",66430,"(+/- 3461 )",46223,"(+/- 4713 )",68906,"(+/- 5129 )",62817,"(+/- 4024 )",54009,"(+/- 4661 )",54506,"(+/- 4778 )"
People,"Sex and Age","15 to 19 years",56758,"(+/- 3738 )",53542,"(+/- 5408 )",64180,"(+/- 2030 )",51995,"(+/- 2227 )",48797,"(+/- 3931 )",59588,"(+/- 3508 )",48828,"(+/- 5201 )",59141,"(+/- 3421 )",55462,"(+/- 5320 )",59384,"(+/- 4791 )",52709,"(+/- 2828 )",53113,"(+/- 3452 )",52484,"(+/- 2689 )",49799,"(+/- 1954 )",71881,"(+/- 3725 )",54720,"(+/- 2372 )",63025,"(+/- 3214 )",57320,"(+/- 4343 )",59747,"(+/- 2637 )",66375,"(+/- 3441 )",51112,"(+/- 3856 )",65648,"(+/- 3835 )",62918,"(+/- 4144 )",51766,"(+/- 4628 )",53678,"(+/- 4903 )",65173,"(+/- 3169 )",54234,"(+/- 2862 )",63506,"(+/- 3264 )",58989,"(+/- 4060 )",58356,"(+/- 3981 )",61939,"(+/- 1390 )",49318,"(+/- 4162 )",64188,"(+/- 4283 )",62347,"(+/- 3419 )",53078,"(+/- 4547 )",54243,"(+/- 4300 )"
People,"Sex and Age","20 to 24 years",51221,"(+/- 3623 )",40845,"(+/- 5024 )",53013,"(+/- 1779 )",43298,"(+/- 2219 )",43995,"(+/- 4274 )",53747,"(+/- 4103 )",50439,"(+/- 4970 )",52637,"(+/- 2703 )",66754,"(+/- 5104 )",49798,"(+/- 5955 )",54041,"(+/- 3691 )",53796,"(+/- 3923 )",47359,"(+/- 2918 )",46134,"(+/- 1946 )",58049,"(+/- 3678 )",61884,"(+/- 2255 )",86356,"(+/- 2675 )",55204,"(+/- 5089 )",70344,"(+/- 2601 )",70750,"(+/- 4618 )",61961,"(+/- 5593 )",50294,"(+/- 4335 )",48582,"(+/- 4259 )",50590,"(+/- 4215 )",50093,"(+/- 3762 )",56389,"(+/- 2714 )",44798,"(+/- 2583 )",55559,"(+/- 3596 )",59589,"(+/- 5059 )",54816,"(+/- 4120 )",56931,"(+/- 1422 )",53837,"(+/- 4183 )",59548,"(+/- 4696 )",53972,"(+/- 3436 )",70216,"(+/- 5466 )",51846,"(+/- 5256 )"
People,"Sex and Age","25 to 34 years",89763,"(+/- 3446 )",133089,"(+/- 8759 )",114677,"(+/- 3039 )",87385,"(+/- 4020 )",103002,"(+/- 5983 )",112834,"(+/- 5692 )",121736,"(+/- 9439 )",111759,"(+/- 5275 )",128391,"(+/- 8836 )",132250,"(+/- 8452 )",112240,"(+/- 3219 )",122107,"(+/- 7178 )",93477,"(+/- 2781 )",107892,"(+/- 3541 )",110884,"(+/- 4273 )",112954,"(+/- 2836 )",121194,"(+/- 4577 )",146676,"(+/- 8930 )",98902,"(+/- 3579 )",141139,"(+/- 6820 )",131870,"(+/- 6371 )",117824,"(+/- 5285 )",112906,"(+/- 7542 )",140148,"(+/- 6932 )",103369,"(+/- 6260 )",126033,"(+/- 4948 )",97964,"(+/- 2716 )",98467,"(+/- 4806 )",115648,"(+/- 6887 )",124077,"(+/- 6876 )",130043,"(+/- 2103 )",133800,"(+/- 6229 )",118178,"(+/- 6698 )",84098,"(+/- 4204 )",151423,"(+/- 7776 )",93761,"(+/- 4797 )"
People,"Sex and Age","35 to 44 years",87360,"(+/- 2976 )",118406,"(+/- 7547 )",142511,"(+/- 3810 )",99901,"(+/- 4645 )",104683,"(+/- 4943 )",114579,"(+/- 5127 )",117362,"(+/- 6810 )",121588,"(+/- 4467 )",114987,"(+/- 7905 )",130129,"(+/- 7367 )",91679,"(+/- 2860 )",105063,"(+/- 6074 )",88255,"(+/- 2694 )",102520,"(+/- 3257 )",103782,"(+/- 3598 )",90394,"(+/- 2203 )",100101,"(+/- 4371 )",110922,"(+/- 6322 )",91673,"(+/- 2777 )",112299,"(+/- 6535 )",107274,"(+/- 6392 )",143832,"(+/- 5598 )",103199,"(+/- 6127 )",122853,"(+/- 6382 )",113563,"(+/- 5032 )",134567,"(+/- 4647 )",93190,"(+/- 3015 )",94805,"(+/- 4296 )",105950,"(+/- 6895 )",101868,"(+/- 5385 )",132966,"(+/- 2022 )",102512,"(+/- 5749 )",104086,"(+/- 5848 )",92820,"(+/- 3747 )",115561,"(+/- 6963 )",93383,"(+/- 4944 )"
