Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",776910,"(+/- 4662 )",779772,"(+/- 8856 )",773622,"(+/- 6017 )",830801,"(+/- 10107 )"
People,"Sex and Age",Male,391666,"(+/- 3299 )",395806,"(+/- 6059 )",389039,"(+/- 4785 )",415946,"(+/- 7429 )"
People,"Sex and Age",Female,385244,"(+/- 3372 )",383966,"(+/- 4933 )",384583,"(+/- 4372 )",414855,"(+/- 6306 )"
People,"Sex and Age","Under 5 years",61068,"(+/- 1733 )",54679,"(+/- 2738 )",61401,"(+/- 2315 )",73046,"(+/- 3544 )"
People,"Sex and Age","5 to 9 years",67521,"(+/- 2893 )",56752,"(+/- 3352 )",60234,"(+/- 3056 )",72603,"(+/- 4065 )"
People,"Sex and Age","10 to 14 years",67392,"(+/- 2845 )",61849,"(+/- 4350 )",65974,"(+/- 3242 )",75737,"(+/- 4541 )"
People,"Sex and Age","15 to 19 years",62023,"(+/- 2068 )",60447,"(+/- 3128 )",68462,"(+/- 2509 )",59241,"(+/- 3094 )"
People,"Sex and Age","20 to 24 years",63105,"(+/- 2486 )",59965,"(+/- 3475 )",88409,"(+/- 2629 )",49295,"(+/- 3296 )"
People,"Sex and Age","25 to 34 years",105894,"(+/- 2591 )",119015,"(+/- 4958 )",103333,"(+/- 3558 )",135102,"(+/- 4944 )"
People,"Sex and Age","35 to 44 years",108258,"(+/- 2818 )",106358,"(+/- 4142 )",93969,"(+/- 2976 )",129368,"(+/- 4728 )"
People,"Sex and Age","45 to 54 years",79954,"(+/- 2039 )",76659,"(+/- 3323 )",77072,"(+/- 3053 )",85346,"(+/- 3871 )"
People,"Sex and Age","55 to 59 years",40963,"(+/- 2319 )",38055,"(+/- 2842 )",36173,"(+/- 2344 )",37234,"(+/- 2961 )"
People,"Sex and Age","60 to 64 years",37930,"(+/- 2388 )",41733,"(+/- 2873 )",33553,"(+/- 2310 )",34636,"(+/- 2473 )"
People,"Sex and Age","65 to 74 years",51754,"(+/- 1771 )",60958,"(+/- 2335 )",50440,"(+/- 2118 )",49054,"(+/- 2593 )"
People,"Sex and Age","75 to 84 years",22821,"(+/- 1454 )",32325,"(+/- 1898 )",25992,"(+/- 1997 )",22690,"(+/- 2108 )"
People,"Sex and Age","85 years and over",8227,"(+/- 1245 )",10977,"(+/- 1489 )",8610,"(+/- 1120 )",7449,"(+/- 1459 )"
People,"Sex and Age","Median age (years)",31.1,"(+/- 0.4 )",33.0,"(+/- 0.5 )",28.4,"(+/- 0.4 )",31.3,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",542040,"(+/- 3869 )",571202,"(+/- 6692 )",545758,"(+/- 5854 )",570274,"(+/- 7999 )"
People,"Sex and Age","65 years and over",82802,"(+/- 1841 )",104260,"(+/- 2861 )",85042,"(+/- 2780 )",79193,"(+/- 3101 )"
People,Race,"Total population",776910,"(+/- 4662 )",779772,"(+/- 8856 )",773622,"(+/- 6017 )",830801,"(+/- 10107 )"
People,Race,"One race",752805,"(+/- 4760 )",755184,"(+/- 9079 )",749779,"(+/- 6963 )",802186,"(+/- 10331 )"
People,Race,White,702001,"(+/- 5042 )",644977,"(+/- 10024 )",692923,"(+/- 8372 )",668294,"(+/- 9959 )"
People,Race,"Black or African American",10269,"(+/- 1305 )",9845,"(+/- 2561 )",7338,"(+/- 2805 )",12913,"(+/- 3327 )"
People,Race,"American Indian and Alaska Native",8207,"(+/- 1388 )",9239,"(+/- 1710 )",10730,"(+/- 1518 )",6502,"(+/- 3069 )"
People,Race,Asian,11260,"(+/- 1674 )",18207,"(+/- 3169 )",15232,"(+/- 2158 )",31199,"(+/- 3539 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2742,"(+/- 702 )",8365,"(+/- 2739 )",8159,"(+/- 1714 )",10096,"(+/- 2450 )"
People,Race,"Some other race",18326,"(+/- 4067 )",64551,"(+/- 9413 )",15397,"(+/- 4031 )",73182,"(+/- 9007 )"
People,Race,"Two or more races",24105,"(+/- 2618 )",24588,"(+/- 3798 )",23843,"(+/- 2908 )",28615,"(+/- 3883 )"
People,"Hispanic or Latino and Race","Total population",776910,"(+/- 4662 )",779772,"(+/- 8856 )",773622,"(+/- 6017 )",830801,"(+/- 10107 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",100753,"(+/- 3178 )",123282,"(+/- 9786 )",83614,"(+/- 4456 )",142571,"(+/- 9757 )"
People,"Hispanic or Latino and Race",Mexican,74209,"(+/- 4463 )",90691,"(+/- 9041 )",54199,"(+/- 5542 )",94127,"(+/- 9428 )"
People,"Hispanic or Latino and Race","Puerto Rican",2537,"(+/- 965 )",2212,"(+/- 1001 )",2697,"(+/- 1485 )",5120,"(+/- 3746 )"
People,"Hispanic or Latino and Race",Cuban,298,"(+/- 339 )",1215,"(+/- 875 )",418,"(+/- 338 )",835,"(+/- 600 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",23709,"(+/- 4276 )",29164,"(+/- 4820 )",26300,"(+/- 4557 )",42489,"(+/- 6538 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",676157,"(+/- 4965 )",656490,"(+/- 8979 )",690008,"(+/- 7217 )",688230,"(+/- 9748 )"
People,"Place of Birth","Total population",776910,"(+/- 4662 )",779772,"(+/- 8856 )",773622,"(+/- 6017 )",830801,"(+/- 10107 )"
People,"Place of Birth",Native,735919,"(+/- 6168 )",707283,"(+/- 9339 )",715644,"(+/- 6698 )",731037,"(+/- 10948 )"
People,"Place of Birth","Born in United States",727469,"(+/- 5770 )",701377,"(+/- 9294 )",706548,"(+/- 6853 )",722152,"(+/- 11024 )"
People,"Place of Birth","State of residence",501896,"(+/- 8857 )",456892,"(+/- 10495 )",459165,"(+/- 8580 )",519077,"(+/- 10436 )"
People,"Place of Birth","Different state",225573,"(+/- 8693 )",244485,"(+/- 9973 )",247383,"(+/- 6776 )",203075,"(+/- 8142 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8450,"(+/- 1703 )",5906,"(+/- 1548 )",9096,"(+/- 1790 )",8885,"(+/- 1659 )"
People,"Place of Birth","Foreign born",40991,"(+/- 3737 )",72489,"(+/- 6537 )",57978,"(+/- 3926 )",99764,"(+/- 7590 )"
People,Ancestry,"Total population",776910,"(+/- 4662 )",779772,"(+/- 8856 )",773622,"(+/- 6017 )",830801,"(+/- 10107 )"
People,Ancestry,American,36575,"(+/- 4963 )",37350,"(+/- 3751 )",28815,"(+/- 3386 )",37127,"(+/- 4984 )"
People,Ancestry,Arab,946,"(+/- 593 )",3236,"(+/- 1672 )",1815,"(+/- 1033 )",3052,"(+/- 2188 )"
People,Ancestry,Czech,1847,"(+/- 940 )",913,"(+/- 412 )",1641,"(+/- 810 )",2263,"(+/- 1103 )"
People,Ancestry,Danish,32413,"(+/- 3785 )",39179,"(+/- 6031 )",37467,"(+/- 4163 )",32847,"(+/- 5050 )"
People,Ancestry,Dutch,15260,"(+/- 2665 )",12407,"(+/- 2034 )",12840,"(+/- 2392 )",16949,"(+/- 4365 )"
People,Ancestry,English,172668,"(+/- 8783 )",174397,"(+/- 9672 )",188218,"(+/- 9417 )",166633,"(+/- 10200 )"
People,Ancestry,"French (except Basque)",14819,"(+/- 2678 )",14090,"(+/- 2530 )",14524,"(+/- 2430 )",14925,"(+/- 4137 )"
People,Ancestry,"French Canadian",1662,"(+/- 727 )",1086,"(+/- 515 )",1938,"(+/- 718 )",1377,"(+/- 659 )"
People,Ancestry,German,75759,"(+/- 6330 )",75644,"(+/- 6746 )",81669,"(+/- 6334 )",80388,"(+/- 8948 )"
People,Ancestry,Greek,3281,"(+/- 1413 )",2588,"(+/- 827 )",3594,"(+/- 976 )",3957,"(+/- 1412 )"
People,Ancestry,Hungarian,2168,"(+/- 1204 )",1615,"(+/- 1170 )",1490,"(+/- 613 )",1782,"(+/- 1035 )"
People,Ancestry,Irish,43388,"(+/- 5427 )",49772,"(+/- 6502 )",45201,"(+/- 5924 )",40817,"(+/- 4652 )"
People,Ancestry,Italian,20931,"(+/- 3530 )",21849,"(+/- 3557 )",20762,"(+/- 2902 )",19728,"(+/- 3547 )"
People,Ancestry,Lithuanian,559,"(+/- 490 )",1014,"(+/- 416 )",417,"(+/- 248 )",111,"(+/- 103 )"
People,Ancestry,Norwegian,17341,"(+/- 3421 )",17645,"(+/- 2928 )",20506,"(+/- 2601 )",19757,"(+/- 3689 )"
People,Ancestry,Polish,5811,"(+/- 1455 )",7214,"(+/- 1632 )",7465,"(+/- 1500 )",5081,"(+/- 1821 )"
People,Ancestry,Portuguese,1013,"(+/- 529 )",938,"(+/- 482 )",1497,"(+/- 794 )",1904,"(+/- 1087 )"
