Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",626299,(*****)
People,"Sex and Age",Male,308118,"(+/- 1251 )"
People,"Sex and Age",Female,318181,"(+/- 1251 )"
People,"Sex and Age","Under 5 years",28810,"(+/- 710 )"
People,"Sex and Age","5 to 9 years",32019,"(+/- 2107 )"
People,"Sex and Age","10 to 14 years",33938,"(+/- 2111 )"
People,"Sex and Age","15 to 19 years",42229,"(+/- 1476 )"
People,"Sex and Age","20 to 24 years",43479,"(+/- 1542 )"
People,"Sex and Age","25 to 34 years",75058,"(+/- 1361 )"
People,"Sex and Age","35 to 44 years",70113,"(+/- 941 )"
People,"Sex and Age","45 to 54 years",80695,"(+/- 1105 )"
People,"Sex and Age","55 to 59 years",47049,"(+/- 2289 )"
People,"Sex and Age","60 to 64 years",49034,"(+/- 2099 )"
People,"Sex and Age","65 to 74 years",75755,"(+/- 1067 )"
People,"Sex and Age","75 to 84 years",34971,"(+/- 1302 )"
People,"Sex and Age","85 years and over",13149,"(+/- 1257 )"
People,"Sex and Age","Median age (years)",43.1,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",510772,"(+/- 898 )"
People,"Sex and Age","65 years and over",123875,"(+/- 1108 )"
People,Race,"Total population",626299,(*****)
People,Race,"One race",613514,"(+/- 1710 )"
People,Race,White,589337,"(+/- 1241 )"
People,Race,"Black or African American",7621,"(+/- 1306 )"
People,Race,"American Indian and Alaska Native",1743,"(+/- 729 )"
People,Race,Asian,11859,"(+/- 1196 )"
People,Race,"Native Hawaiian and Other Pacific Islander",139,"(+/- 220 )"
People,Race,"Some other race",2815,"(+/- 938 )"
People,Race,"Two or more races",12785,"(+/- 1710 )"
People,"Hispanic or Latino and Race","Total population",626299,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",12450,"(+/- 575 )"
People,"Hispanic or Latino and Race",Mexican,3467,"(+/- 849 )"
People,"Hispanic or Latino and Race","Puerto Rican",2231,"(+/- 700 )"
People,"Hispanic or Latino and Race",Cuban,786,"(+/- 474 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",5966,"(+/- 800 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",613849,"(+/- 575 )"
People,"Place of Birth","Total population",626299,(*****)
People,"Place of Birth",Native,595486,"(+/- 2783 )"
People,"Place of Birth","Born in United States",589849,"(+/- 2922 )"
People,"Place of Birth","State of residence",308380,"(+/- 6617 )"
People,"Place of Birth","Different state",281469,"(+/- 6358 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5637,"(+/- 1061 )"
People,"Place of Birth","Foreign born",30813,"(+/- 2783 )"
People,Ancestry,"Total population",626299,(*****)
People,Ancestry,American,49048,"(+/- 4389 )"
People,Ancestry,Arab,1205,"(+/- 535 )"
People,Ancestry,Czech,1269,"(+/- 530 )"
People,Ancestry,Danish,1981,"(+/- 470 )"
People,Ancestry,Dutch,7760,"(+/- 1427 )"
People,Ancestry,English,101697,"(+/- 5154 )"
People,Ancestry,"French (except Basque)",64221,"(+/- 4158 )"
People,Ancestry,"French Canadian",53965,"(+/- 4494 )"
People,Ancestry,German,57543,"(+/- 4231 )"
People,Ancestry,Greek,3585,"(+/- 947 )"
People,Ancestry,Hungarian,3531,"(+/- 883 )"
People,Ancestry,Irish,104411,"(+/- 5773 )"
People,Ancestry,Italian,42737,"(+/- 3185 )"
People,Ancestry,Lithuanian,2519,"(+/- 742 )"
People,Ancestry,Norwegian,6235,"(+/- 1770 )"
People,Ancestry,Polish,23274,"(+/- 2941 )"
People,Ancestry,Portuguese,2810,"(+/- 750 )"
People,Ancestry,Russian,6993,"(+/- 1492 )"
People,Ancestry,Scotch-Irish,6679,"(+/- 1220 )"
People,Ancestry,Scottish,24006,"(+/- 1990 )"
People,Ancestry,Slovak,902,"(+/- 487 )"
People,Ancestry,"Subsaharan African",2991,"(+/- 1122 )"
People,Ancestry,Swedish,11692,"(+/- 1722 )"
People,Ancestry,Swiss,2244,"(+/- 713 )"
People,Ancestry,Ukrainian,1887,"(+/- 731 )"
People,Ancestry,Welsh,6506,"(+/- 1271 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1984,"(+/- 880 )"
People,"Veteran Status","Civilian population 18 years and over",510015,"(+/- 953 )"
People,"Veteran Status","Civilian veterans",33986,"(+/- 1883 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",620066,"(+/- 406 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90217,"(+/- 4801 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",115220,"(+/- 903 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7502,"(+/- 1516 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",384281,"(+/- 1415 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",44257,"(+/- 3406 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",120565,"(+/- 1141 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",38458,"(+/- 2450 )"
People,"Residence 1 Year Ago","Population 1 year and over",621681,"(+/- 937 )"
People,"Residence 1 Year Ago","Same house",542177,"(+/- 5046 )"
People,"Residence 1 Year Ago","Different house in the U.S.",77124,"(+/- 4856 )"
People,"Residence 1 Year Ago","Same county",37669,"(+/- 3961 )"
People,"Residence 1 Year Ago","Different county",39455,"(+/- 4316 )"
People,"Residence 1 Year Ago","Same state",13149,"(+/- 2223 )"
People,"Residence 1 Year Ago","Different state",26306,"(+/- 3523 )"
People,"Residence 1 Year Ago",Abroad,2380,"(+/- 890 )"
Workers,"Employment Status","Population 16 years and over",525088,"(+/- 1400 )"
Workers,"Employment Status","In labor force",344832,"(+/- 4752 )"
Workers,"Employment Status","Civilian labor force",344075,"(+/- 4777 )"
Workers,"Employment Status",Employed,330947,"(+/- 5124 )"
Workers,"Employment Status",Unemployed,13128,"(+/- 1549 )"
Workers,"Employment Status","Armed Forces",757,"(+/- 406 )"
Workers,"Employment Status","Not in labor force",180256,"(+/- 4618 )"
Workers,"Employment Status","Civilian labor force",344075,"(+/- 4777 )"
Workers,"Employment Status","Unemployment Rate",3.8,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",324340,"(+/- 4911 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",244457,"(+/- 5454 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",29202,"(+/- 2495 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2776,"(+/- 701 )"
Workers,"Commuting to Work",Walked,16920,"(+/- 2105 )"
