Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Sex and Age","Total population",813878,"(+/- 12085 )",743410,"(+/- 7535 )",744804,"(+/- 9841 )",747291,"(+/- 14044 )",739410,"(+/- 7201 )",755437,"(+/- 4432 )",812385,"(+/- 11828 )",795467,"(+/- 13109 )",704831,"(+/- 4788 )",862308,"(+/- 10803 )",798464,"(+/- 18220 )"
People,"Sex and Age",Male,402022,"(+/- 7665 )",368693,"(+/- 4718 )",362348,"(+/- 5562 )",362363,"(+/- 8576 )",362094,"(+/- 5427 )",366278,"(+/- 3787 )",395800,"(+/- 7158 )",390982,"(+/- 7173 )",351127,"(+/- 3671 )",431724,"(+/- 6048 )",397307,"(+/- 10557 )"
People,"Sex and Age",Female,411856,"(+/- 6174 )",374717,"(+/- 4571 )",382456,"(+/- 6432 )",384928,"(+/- 7153 )",377316,"(+/- 4365 )",389159,"(+/- 3261 )",416585,"(+/- 6504 )",404485,"(+/- 7519 )",353704,"(+/- 4062 )",430584,"(+/- 6660 )",401157,"(+/- 9558 )"
People,"Sex and Age","Under 5 years",49399,"(+/- 2657 )",44679,"(+/- 1875 )",48993,"(+/- 2336 )",41811,"(+/- 2917 )",37334,"(+/- 2281 )",39672,"(+/- 1537 )",48957,"(+/- 2617 )",52854,"(+/- 2640 )",30064,"(+/- 1504 )",55747,"(+/- 2422 )",52592,"(+/- 3301 )"
People,"Sex and Age","5 to 9 years",52501,"(+/- 3502 )",44279,"(+/- 3031 )",45801,"(+/- 2709 )",41602,"(+/- 3806 )",40672,"(+/- 3189 )",43890,"(+/- 2519 )",50923,"(+/- 3634 )",47281,"(+/- 3808 )",36428,"(+/- 2974 )",61482,"(+/- 2966 )",49920,"(+/- 3840 )"
People,"Sex and Age","10 to 14 years",59588,"(+/- 3402 )",42838,"(+/- 2975 )",47201,"(+/- 2953 )",40773,"(+/- 2963 )",41690,"(+/- 3502 )",43735,"(+/- 2861 )",55980,"(+/- 3496 )",42121,"(+/- 3388 )",36385,"(+/- 2439 )",69032,"(+/- 3527 )",55071,"(+/- 3739 )"
People,"Sex and Age","15 to 19 years",53528,"(+/- 3246 )",47295,"(+/- 3091 )",49308,"(+/- 2921 )",48370,"(+/- 2955 )",50395,"(+/- 3433 )",57634,"(+/- 2585 )",53749,"(+/- 2692 )",35892,"(+/- 2807 )",51862,"(+/- 2399 )",61368,"(+/- 2560 )",55266,"(+/- 3415 )"
People,"Sex and Age","20 to 24 years",51767,"(+/- 2958 )",62894,"(+/- 3300 )",60228,"(+/- 3963 )",48962,"(+/- 2966 )",49128,"(+/- 3300 )",59481,"(+/- 2980 )",48163,"(+/- 3604 )",47442,"(+/- 3130 )",54186,"(+/- 2897 )",45711,"(+/- 3020 )",51754,"(+/- 3964 )"
People,"Sex and Age","25 to 34 years",101422,"(+/- 4467 )",117969,"(+/- 3141 )",122054,"(+/- 3581 )",114376,"(+/- 4398 )",84447,"(+/- 3396 )",91350,"(+/- 3310 )",100982,"(+/- 4077 )",150504,"(+/- 4129 )",81437,"(+/- 2756 )",93092,"(+/- 3291 )",112555,"(+/- 4653 )"
People,"Sex and Age","35 to 44 years",103282,"(+/- 3996 )",91862,"(+/- 2632 )",91788,"(+/- 3562 )",95219,"(+/- 4303 )",84453,"(+/- 3117 )",82632,"(+/- 3150 )",108730,"(+/- 4439 )",133286,"(+/- 4329 )",75704,"(+/- 2506 )",131446,"(+/- 3785 )",116164,"(+/- 4622 )"
