Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",606136,"(+/- 3873 )",624120,"(+/- 3697 )",575576,"(+/- 1416 )"
People,"Sex and Age",Male,302832,"(+/- 2695 )",308616,"(+/- 2754 )",283209,"(+/- 1728 )"
People,"Sex and Age",Female,303304,"(+/- 2897 )",315504,"(+/- 3361 )",292367,"(+/- 1985 )"
People,"Sex and Age","Under 5 years",31032,"(+/- 1252 )",33716,"(+/- 1457 )",29174,"(+/- 1059 )"
People,"Sex and Age","5 to 9 years",29904,"(+/- 2362 )",37116,"(+/- 2773 )",30183,"(+/- 2188 )"
People,"Sex and Age","10 to 14 years",34919,"(+/- 2281 )",36737,"(+/- 2747 )",35734,"(+/- 2293 )"
People,"Sex and Age","15 to 19 years",38655,"(+/- 1877 )",38687,"(+/- 2150 )",35434,"(+/- 2130 )"
People,"Sex and Age","20 to 24 years",44420,"(+/- 1825 )",34684,"(+/- 2085 )",34656,"(+/- 1858 )"
People,"Sex and Age","25 to 34 years",74676,"(+/- 1872 )",73300,"(+/- 2530 )",61026,"(+/- 2397 )"
People,"Sex and Age","35 to 44 years",71759,"(+/- 1906 )",75752,"(+/- 1947 )",71292,"(+/- 2160 )"
People,"Sex and Age","45 to 54 years",76031,"(+/- 1840 )",83392,"(+/- 1896 )",73686,"(+/- 1214 )"
People,"Sex and Age","55 to 59 years",43061,"(+/- 2340 )",44940,"(+/- 3209 )",39448,"(+/- 2464 )"
People,"Sex and Age","60 to 64 years",41460,"(+/- 2113 )",45441,"(+/- 3205 )",44301,"(+/- 2554 )"
People,"Sex and Age","65 to 74 years",69690,"(+/- 1437 )",72927,"(+/- 1887 )",72673,"(+/- 1193 )"
People,"Sex and Age","75 to 84 years",36409,"(+/- 1720 )",34443,"(+/- 1924 )",34855,"(+/- 1921 )"
